Gene	SUN.A.6.7.1.D2	SUN.A.6.8.1.D3	SUN.A.6.9.1.D4	SUN.A.7.13.1.F3	SUN.A.7.14.1.F4	Min	Max	Median	Mean	Std
IFT88	28	24	23	21	26	21	28	24	24.4	2.70185121722126
IGBP1	162	142	135	138	145	135	162	142	144.4	10.5498815159223
IGDCC4	0	0	2	1	0	0	2	0	0.6	0.894427190999916
IGF1	601	472	453	406	453	406	601	453	477	73.4744853673709
IGF1R	54	48	46	41	51	41	54	48	48	4.94974746830583
IGF2	1	0	0	0	2	0	2	0	0.6	0.894427190999916
IGF2-AS	0	0	0	0	0	0	0	0	0	0
IGF2BP1	1	1	0	0	0	0	1	0	0.4	0.547722557505166
IGF2BP2	49	51	32	45	36	32	51	45	42.6	8.26438140455775
IGF2BP3	20	17	10	12	12	10	20	12	14.2	4.14728827066554
IGF2R	108	66	68	63	63	63	108	66	73.6	19.3468343663763
IGFBP1	1	0	1	0	0	0	1	0	0.4	0.547722557505166
IGFBP2	10	4	8	7	8	4	10	8	7.4	2.19089023002066
IGFBP3	3048	2436	2446	1942	1867	1867	3048	2436	2347.8	475.274867839653
IGFBP4	209	138	146	151	133	133	209	146	155.4	30.7619895325384
IGFBP5	46	27	29	37	31	27	46	31	34	7.68114574786861
IGFBP6	12	24	18	23	17	12	24	18	18.8	4.86826457785523
IGFBP7	2562	1559	1954	1536	1379	1379	2562	1559	1798	476.801321306894
IGFBPL1	0	1	0	2	1	0	2	1	0.8	0.836660026534076
IGFL2	2	0	0	1	0	0	2	0	0.6	0.894427190999916
IGFL3	0	0	0	0	0	0	0	0	0	0
IGFLR1	3	1	2	0	4	0	4	2	2	1.58113883008419
IGFN1	0	0	0	0	0	0	0	0	0	0
IGHMBP2	6	1	2	1	3	1	6	2	2.6	2.07364413533277
IGIP	20	14	14	12	10	10	20	14	14	3.74165738677394
IGJ	1	0	0	4	2	0	4	1	1.4	1.67332005306815
IGLL3P	0	0	0	0	0	0	0	0	0	0
IGLL5	0	0	0	0	0	0	0	0	0	0
IGLON5	0	0	0	0	0	0	0	0	0	0
IGSF10	0	1	0	0	0	0	1	0	0.2	0.447213595499958
IGSF11	0	0	0	0	0	0	0	0	0	0
IGSF22	0	0	0	0	0	0	0	0	0	0
IGSF23	0	0	0	0	0	0	0	0	0	0
IGSF3	7	5	7	8	5	5	8	7	6.4	1.34164078649987
IGSF5	0	0	0	0	0	0	0	0	0	0
IGSF6	1	0	0	0	0	0	1	0	0.2	0.447213595499958
IGSF8	5	5	5	3	5	3	5	5	4.6	0.894427190999916
IGSF9	0	0	0	0	0	0	0	0	0	0
IGSF9B	0	0	0	0	0	0	0	0	0	0
IHH	1	0	0	1	0	0	1	0	0.4	0.547722557505166
IK	341	256	241	205	237	205	341	241	256	51.0196040752964
IKBIP	177	111	144	102	121	102	177	121	131	30.1081384346492
IKBKAP	14	16	9	10	11	9	16	11	12	2.91547594742265
IKBKB	5	1	4	8	2	1	8	4	4	2.73861278752583
IKBKE	9	2	1	0	2	0	9	2	2.8	3.56370593624109
IKBKG	12	2	7	6	5	2	12	6	6.4	3.64691650576209
IKZF1	0	0	0	0	0	0	0	0	0	0
IKZF2	3	2	2	1	4	1	4	2	2.4	1.14017542509914
IKZF3	29	18	10	24	26	10	29	24	21.4	7.53657747256671
IKZF4	1	5	4	1	3	1	5	3	2.8	1.78885438199983
IKZF5	22	18	19	8	18	8	22	18	17	5.29150262212918
IL10	5	4	7	4	5	4	7	5	5	1.22474487139159
IL10RA	0	0	0	0	0	0	0	0	0	0
IL10RB	25	22	14	22	22	14	25	22	21	4.12310562561766
IL10RB-AS1	2	0	0	0	0	0	2	0	0.4	0.894427190999916
IL11	10	4	10	14	7	4	14	10	9	3.74165738677394
IL11RA	7	6	5	3	8	3	8	6	5.8	1.92353840616713
IL12A	0	1	0	0	0	0	1	0	0.2	0.447213595499958
IL12RB1	5	3	13	11	9	3	13	9	8.2	4.14728827066554
IL12RB2	5	2	3	4	7	2	7	4	4.2	1.92353840616713
IL13RA1	26	17	24	26	19	17	26	24	22.4	4.15932686861708
IL13RA2	2	0	2	0	1	0	2	1	1	1
IL15	3	3	3	3	6	3	6	3	3.6	1.34164078649987
IL15RA	8	7	5	3	8	3	8	7	6.2	2.16794833886788
IL16	10	6	5	4	15	4	15	6	8	4.52769256906871
IL17B	0	0	0	1	0	0	1	0	0.2	0.447213595499958
IL17D	4	0	2	2	3	0	4	2	2.2	1.48323969741913
IL17RA	10	4	6	6	4	4	10	6	6	2.44948974278318
IL17RB	3	0	0	0	0	0	3	0	0.6	1.34164078649987
IL17RC	1	1	0	1	2	0	2	1	1	0.707106781186548
IL17RD	16	8	19	25	20	8	25	19	17.6	6.26897120746299
IL17RE	0	0	0	0	0	0	0	0	0	0
IL18	9	0	4	6	1	0	9	4	4	3.67423461417477
IL18BP	1	0	0	1	0	0	1	0	0.4	0.547722557505166
IL18R1	3	1	7	5	2	1	7	3	3.6	2.40831891575846
IL18RAP	0	0	0	0	0	0	0	0	0	0
IL1A	1	1	2	0	1	0	2	1	1	0.707106781186548
IL1B	2	1	0	1	0	0	2	1	0.8	0.836660026534076
IL1R1	25	19	22	22	24	19	25	22	22.4	2.30217288664427
IL1R2	0	0	0	0	1	0	1	0	0.2	0.447213595499958
IL1RAP	65	52	47	50	53	47	65	52	53.4	6.87749954561976
IL1RAPL1	0	0	0	0	0	0	0	0	0	0
IL1RAPL2	0	0	0	0	0	0	0	0	0	0
IL1RL1	10	13	7	10	9	7	13	10	9.8	2.16794833886788
IL1RL2	0	0	0	0	0	0	0	0	0	0
IL1RN	0	0	0	0	0	0	0	0	0	0
IL20	0	0	0	0	0	0	0	0	0	0
IL20RA	0	1	0	0	1	0	1	0	0.4	0.547722557505166
IL20RB	9	9	7	11	6	6	11	9	8.4	1.94935886896179
IL21R	1	0	1	0	0	0	1	0	0.4	0.547722557505166
IL21R-AS1	3	0	5	1	2	0	5	2	2.2	1.92353840616713
IL22	0	0	0	0	0	0	0	0	0	0
IL22RA1	0	0	0	0	0	0	0	0	0	0
IL22RA2	0	0	0	0	0	0	0	0	0	0
IL23A	0	1	0	2	0	0	2	0	0.6	0.894427190999916
IL23R	1	0	1	2	2	0	2	1	1.2	0.836660026534076
IL24	0	0	0	0	0	0	0	0	0	0
IL26	5	5	2	5	2	2	5	5	3.8	1.6431676725155
IL27RA	1	1	0	5	1	0	5	1	1.6	1.94935886896179
IL2RA	0	0	0	0	0	0	0	0	0	0
IL2RB	1	0	0	0	0	0	1	0	0.2	0.447213595499958
IL2RG	0	0	0	0	0	0	0	0	0	0
IL31RA	5	0	1	1	4	0	5	1	2.2	2.16794833886788
IL32	59	39	38	27	27	27	59	38	38	13.076696830622
IL33	6	7	5	8	12	5	12	7	7.6	2.70185121722126
IL34	0	0	0	0	0	0	0	0	0	0
IL36A	0	0	0	0	0	0	0	0	0	0
IL36B	0	0	0	0	0	0	0	0	0	0
IL36RN	0	0	0	0	0	0	0	0	0	0
IL37	0	0	0	0	0	0	0	0	0	0
IL3RA	0	1	3	0	1	0	3	1	1	1.22474487139159
IL4	0	0	0	0	0	0	0	0	0	0
IL4I1	0	0	0	0	0	0	0	0	0	0
IL4R	8	6	13	9	15	6	15	9	10.2	3.70135110466435
IL6	66	39	40	63	71	39	71	63	55.8	15.1558569536665
IL6R	4	2	4	3	7	2	7	4	4	1.87082869338697
IL6ST	175	171	126	142	151	126	175	151	153	20.3838171106395
IL7	3	4	2	2	5	2	5	3	3.2	1.30384048104053
IL7R	0	0	0	0	0	0	0	0	0	0
IL8	6	10	6	9	9	6	10	9	8	1.87082869338697
IL9R	0	1	0	0	0	0	1	0	0.2	0.447213595499958
ILDR2	0	0	0	0	0	0	0	0	0	0
ILF2	482	335	315	249	276	249	482	315	331.4	90.5831110086201
ILF3	77	44	72	53	48	44	77	53	58.8	14.7885090526395
ILF3-AS1	22	23	22	20	25	20	25	22	22.4	1.8165902124585
ILK	110	76	85	82	76	76	110	82	85.8	14.0783521763025
ILKAP	3	5	2	1	5	1	5	3	3.2	1.78885438199983
ILVBL	13	11	12	15	11	11	15	12	12.4	1.67332005306815
IMMP1L	53	32	29	37	38	29	53	37	37.8	9.25742944882649
IMMP2L	49	22	25	30	32	22	49	30	31.6	10.5023806824929
IMMT	132	107	99	74	86	74	132	99	99.6	22.0522107735256
IMP3	70	51	48	27	39	27	70	48	47	15.8902485820707
IMP4	20	11	13	10	13	10	20	13	13.4	3.91152144312159
IMPA1	29	22	17	23	23	17	29	23	22.8	4.26614580154031
IMPA2	6	1	1	4	1	1	6	1	2.6	2.30217288664427
IMPACT	15	22	25	21	21	15	25	21	20.8	3.63318042491699
IMPAD1	78	63	67	44	45	44	78	63	59.4	14.6731046476197
IMPDH1	7	9	9	8	6	6	9	8	7.8	1.30384048104053
IMPDH2	675	497	520	494	520	494	675	520	541.2	75.8003957773309
IMPG1	0	0	0	0	0	0	0	0	0	0
IMPG2	7	1	5	6	7	1	7	6	5.2	2.48997991959775
INA	0	0	0	0	0	0	0	0	0	0
INADL	13	14	13	11	13	11	14	13	12.8	1.09544511501033
INCA1	4	6	3	2	0	0	6	3	3	2.23606797749979
INCENP	1	0	0	0	3	0	3	0	0.8	1.30384048104053
INE1	1	0	0	0	1	0	1	0	0.4	0.547722557505166
INE2	1	1	4	2	2	1	4	2	2	1.22474487139159
INF2	12	3	6	4	5	3	12	5	6	3.53553390593274
ING1	7	9	5	3	7	3	9	7	6.2	2.28035085019828
ING2	12	10	9	8	7	7	12	9	9.2	1.92353840616713
ING3	51	37	47	27	18	18	51	37	36	13.7113092008021
ING4	52	39	44	27	37	27	52	39	39.8	9.20326029187483
ING5	9	9	8	10	13	8	13	9	9.8	1.92353840616713
INGX	0	1	3	1	4	0	4	1	1.8	1.6431676725155
INHA	0	0	0	0	1	0	1	0	0.2	0.447213595499958
INHBA	404	277	318	208	193	193	404	277	280	85.9970929741233
INHBA-AS1	5	2	8	11	5	2	11	5	6.2	3.42052627529741
INHBB	3	4	0	2	0	0	4	2	1.8	1.78885438199983
INHBE	5	1	2	7	5	1	7	5	4	2.44948974278318
INIP	51	35	48	37	39	35	51	39	42	7.07106781186548
INMT	133	95	85	92	99	85	133	95	100.8	18.7136313953225
INMT-FAM188B	1	0	0	1	0	0	1	0	0.4	0.547722557505166
INO80	10	9	12	12	11	9	12	11	10.8	1.30384048104053
INO80B	0	0	0	0	1	0	1	0	0.2	0.447213595499958
INO80C	38	10	21	17	25	10	38	21	22.2	10.4259292151827
INO80D	19	16	23	27	18	16	27	19	20.6	4.39317652729776
INO80E	2	1	0	1	0	0	2	1	0.8	0.836660026534076
INPP1	10	3	6	7	4	3	10	6	6	2.73861278752583
INPP4A	7	5	2	9	11	2	11	7	6.8	3.4928498393146
INPP4B	16	13	12	22	20	12	22	16	16.6	4.33589667773576
INPP5A	10	5	12	4	4	4	12	5	7	3.74165738677394
INPP5B	11	6	10	6	6	6	11	6	7.8	2.48997991959775
INPP5D	0	0	3	0	0	0	3	0	0.6	1.34164078649987
INPP5E	0	2	3	1	0	0	3	1	1.2	1.30384048104053
INPP5F	7	3	10	4	4	3	10	4	5.6	2.88097205817759
INPP5J	0	0	0	0	1	0	1	0	0.2	0.447213595499958
INPP5K	9	1	8	5	4	1	9	5	5.4	3.20936130717624
INPPL1	5	4	7	3	10	3	10	5	5.8	2.77488738510232
INS-IGF2	0	0	0	0	0	0	0	0	0	0
INSC	0	0	0	0	0	0	0	0	0	0
INSIG1	13	5	3	6	9	3	13	6	7.2	3.89871773792359
INSIG2	69	59	45	48	32	32	69	48	50.6	14.0819032804518
INSL3	0	0	0	0	0	0	0	0	0	0
INSL5	0	0	0	0	0	0	0	0	0	0
INSM1	0	0	0	0	0	0	0	0	0	0
INSM2	0	0	0	0	0	0	0	0	0	0
INSR	115	66	75	52	53	52	115	66	72.2	25.7623756668518
INSRR	0	0	0	0	0	0	0	0	0	0
INTS1	2	7	2	5	8	2	8	5	4.8	2.77488738510232
INTS10	34	18	20	21	19	18	34	20	22.4	6.58027355054484
INTS12	48	32	41	37	32	32	48	37	38	6.74536878161602
INTS2	15	11	12	22	10	10	22	12	14	4.84767985741633
INTS3	9	12	11	11	10	9	12	11	10.6	1.14017542509914
INTS4	9	21	25	22	17	9	25	21	18.8	6.18061485614498
INTS4L2	0	0	0	0	0	0	0	0	0	0
INTS5	9	3	9	3	6	3	9	6	6	3
INTS6	14	14	10	15	13	10	15	14	13.2	1.92353840616713
INTS6-AS1	0	1	0	0	1	0	1	0	0.4	0.547722557505166
INTS7	25	10	16	12	21	10	25	16	16.8	6.22093240599832
INTS8	9	11	9	4	7	4	11	9	8	2.64575131106459
INTS9	17	26	11	13	22	11	26	17	17.8	6.22093240599832
INTU	19	5	15	6	10	5	19	10	11	5.95818764390649
INVS	3	9	5	4	3	3	9	4	4.8	2.48997991959775
IP6K1	23	11	18	15	15	11	23	15	16.4	4.4497190922574
IP6K2	110	77	96	74	74	74	110	77	86.2	16.1616830806695
IP6K3	0	0	0	0	0	0	0	0	0	0
IPCEF1	0	0	0	1	1	0	1	0	0.4	0.547722557505166
IPMK	3	6	3	3	4	3	6	3	3.8	1.30384048104053
IPO11	3	0	0	1	0	0	3	0	0.8	1.30384048104053
IPO13	3	6	8	6	3	3	8	6	5.2	2.16794833886788
IPO4	22	18	17	16	9	9	22	17	16.4	4.72228758124704
IPO5	121	95	96	70	67	67	121	95	89.8	22.0839308095275
IPO7	113	76	77	89	75	75	113	77	86	16.1245154965971
IPO8	8	8	7	8	9	7	9	8	8	0.707106781186548
IPO9	46	22	43	40	40	22	46	40	38.2	9.39148550549912
IPP	21	10	6	17	17	6	21	17	14.2	6.05805249234438
IPPK	0	0	2	0	0	0	2	0	0.4	0.894427190999916
IPW	15	16	11	12	9	9	16	12	12.6	2.88097205817759
IQCA1	2	1	5	7	1	1	7	2	3.2	2.68328157299975
IQCB1	51	33	31	38	44	31	51	38	39.4	8.20365772079747
IQCC	9	5	5	4	4	4	9	5	5.4	2.07364413533277
IQCD	6	2	0	0	8	0	8	2	3.2	3.63318042491699
IQCE	10	4	10	2	6	2	10	6	6.4	3.57770876399966
IQCF1	0	0	0	0	0	0	0	0	0	0
IQCF3	0	0	0	0	0	0	0	0	0	0
IQCG	29	14	26	25	20	14	29	25	22.8	5.89067059000926
IQCH	2	0	2	4	3	0	4	2	2.2	1.48323969741913
IQCH-AS1	15	8	7	10	13	7	15	10	10.6	3.36154726279432
IQCK	53	34	36	25	40	25	53	36	37.6	10.2127371453494
IQGAP1	222	156	184	140	124	124	222	156	165.2	38.7195041290562
IQGAP2	0	2	0	2	1	0	2	1	1	1
IQGAP3	1	0	0	0	1	0	1	0	0.4	0.547722557505166
IQSEC1	7	6	9	7	6	6	9	7	7	1.22474487139159
IQSEC2	1	0	2	0	2	0	2	1	1	1
IQSEC3	0	0	0	1	0	0	1	0	0.2	0.447213595499958
IQUB	1	1	1	3	2	1	3	1	1.6	0.894427190999916
IRAK1	15	22	16	19	17	15	22	17	17.8	2.77488738510232
IRAK1BP1	1	0	2	1	2	0	2	1	1.2	0.836660026534076
IRAK2	3	3	3	3	1	1	3	3	2.6	0.894427190999916
IRAK3	13	11	12	12	14	11	14	12	12.4	1.14017542509914
IRAK4	61	25	34	36	36	25	61	36	38.4	13.4275835502893
IREB2	26	27	18	25	25	18	27	25	24.2	3.56370593624109
IRF1	33	7	6	15	20	6	33	15	16.2	11.0317722964173
IRF2	68	64	47	44	37	37	68	47	52	13.3603892158874
IRF2BP1	0	0	0	1	0	0	1	0	0.2	0.447213595499958
IRF2BP2	83	53	62	64	58	53	83	62	64	11.4236596587959
IRF2BPL	36	19	20	17	25	17	36	20	23.4	7.63544366752843
IRF3	4	5	7	4	6	4	7	5	5.2	1.30384048104053
IRF4	0	0	0	1	1	0	1	0	0.4	0.547722557505166
IRF5	0	0	1	0	0	0	1	0	0.2	0.447213595499958
IRF6	0	1	0	0	0	0	1	0	0.2	0.447213595499958
IRF7	3	1	2	1	1	1	3	1	1.6	0.894427190999916
IRF8	0	0	0	0	0	0	0	0	0	0
IRF9	20	21	15	12	20	12	21	20	17.6	3.91152144312159
IRGM	1	0	0	0	0	0	1	0	0.2	0.447213595499958
IRGQ	38	35	27	19	52	19	52	35	34.2	12.397580409096
IRS1	3	4	4	4	4	3	4	4	3.8	0.447213595499958
IRS2	24	24	24	16	19	16	24	24	21.4	3.71483512420134
IRX1	0	0	0	0	0	0	0	0	0	0
IRX2	0	0	0	1	1	0	1	0	0.4	0.547722557505166
IRX3	2	1	1	1	2	1	2	1	1.4	0.547722557505166
IRX5	3	0	5	4	2	0	5	3	2.8	1.92353840616713
ISCA1	34	27	37	19	40	19	40	34	31.4	8.44393273303382
ISCA2	14	6	5	9	9	5	14	9	8.6	3.50713558335004
ISCU	292	168	193	193	210	168	292	193	211.2	47.5888642436442
ISG15	28	14	20	11	10	10	28	14	16.6	7.46993975879324
ISG20	3	4	6	0	0	0	6	3	2.6	2.60768096208106
ISG20L2	22	17	18	23	12	12	23	18	18.4	4.39317652729776
ISL2	0	0	0	0	0	0	0	0	0	0
ISLR	128	92	115	91	106	91	128	106	106.4	15.6939478780834
ISLR2	3	0	2	1	1	0	3	1	1.4	1.14017542509914
ISM1	0	0	0	0	0	0	0	0	0	0
ISM2	1	1	0	0	0	0	1	0	0.4	0.547722557505166
ISOC1	8	12	4	6	7	4	12	7	7.4	2.96647939483827
ISOC2	25	11	14	8	10	8	25	11	13.6	6.73052746818554
ISPD	5	3	4	7	4	3	7	4	4.6	1.51657508881031
IST1	197	135	128	93	123	93	197	128	135.2	38.0814915674268
ISY1	83	53	54	48	60	48	83	54	59.6	13.7586336530922
ISYNA1	4	6	2	10	7	2	10	6	5.8	3.03315017762062
ITCH	79	52	52	49	44	44	79	52	55.2	13.7003649586425
ITFG1	51	31	49	43	50	31	51	49	44.8	8.31865373723417
ITFG2	33	23	13	14	22	13	33	22	21	8.09320702811932
ITFG3	55	49	42	38	40	38	55	42	44.8	7.04982269280583
ITGA1	11	17	14	10	21	10	21	14	14.6	4.50555213042752
ITGA10	0	0	1	1	0	0	1	0	0.4	0.547722557505166
ITGA11	313	209	252	231	190	190	313	231	239	47.4605099003371
ITGA2	35	21	33	27	24	21	35	27	28	5.91607978309962
ITGA3	4	5	5	4	2	2	5	4	4	1.22474487139159
ITGA4	2	3	8	1	1	1	8	2	3	2.91547594742265
ITGA5	72	49	70	57	61	49	72	61	61.8	9.47100839404126
ITGA6	2	2	4	2	1	1	4	2	2.2	1.09544511501033
ITGA7	9	3	9	14	5	3	14	9	8	4.24264068711928
ITGA8	11	8	4	12	18	4	18	11	10.6	5.17687164221791
ITGA9	0	0	0	0	0	0	0	0	0	0
ITGAE	220	133	160	131	139	131	220	139	156.6	37.2598980138164
ITGAL	4	3	7	2	5	2	7	4	4.2	1.92353840616713
ITGAM	0	0	0	0	0	0	0	0	0	0
ITGAV	183	176	158	138	116	116	183	158	154.2	27.5717246468189
ITGAX	0	2	0	2	5	0	5	2	1.8	2.04939015319192
ITGB1	1731	1343	1340	1122	1163	1122	1731	1340	1339.8	240.698358947459
ITGB1BP1	110	78	70	68	70	68	110	70	79.2	17.64086165696
ITGB1BP2	0	0	0	0	0	0	0	0	0	0
ITGB2	1	0	0	0	0	0	1	0	0.2	0.447213595499958
ITGB2-AS1	0	0	0	0	0	0	0	0	0	0
ITGB3	2	2	0	0	2	0	2	2	1.2	1.09544511501033
ITGB3BP	50	43	39	42	44	39	50	43	43.6	4.03732584763727
ITGB4	0	0	0	0	0	0	0	0	0	0
ITGB5	282	141	183	175	156	141	282	175	187.4	55.3651514944193
ITGB7	0	0	0	0	0	0	0	0	0	0
ITGB8	24	25	25	8	13	8	25	24	19	7.96868872525461
ITGBL1	414	280	345	342	278	278	414	342	331.8	56.1533614309954
ITIH1	0	0	0	0	0	0	0	0	0	0
ITIH2	0	0	0	0	0	0	0	0	0	0
ITIH3	0	0	2	0	0	0	2	0	0.4	0.894427190999916
ITIH4	0	0	1	1	0	0	1	0	0.4	0.547722557505166
ITIH5	47	38	35	45	49	35	49	45	42.8	6.01664358259653
ITLN1	20	17	7	10	5	5	20	10	11.8	6.45755371638518
ITLN2	66	45	57	45	55	45	66	55	53.6	8.87693640846886
ITM2A	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ITM2B	579	346	462	288	294	288	579	346	393.8	124.88875049419
ITM2C	17	11	24	18	15	11	24	17	17	4.74341649025257
ITPA	7	8	13	4	7	4	13	7	7.8	3.27108544675923
ITPK1	15	9	10	4	2	2	15	9	8	5.1478150704935
ITPK1-AS1	6	0	2	6	2	0	6	2	3.2	2.68328157299975
ITPKA	0	0	0	0	0	0	0	0	0	0
ITPKB	6	3	2	2	0	0	6	2	2.6	2.19089023002066
ITPKB-IT1	0	0	0	0	0	0	0	0	0	0
ITPKC	3	6	1	4	2	1	6	3	3.2	1.92353840616713
ITPR1	37	22	20	19	20	19	37	20	23.6	7.56967634711023
ITPR2	21	12	12	15	10	10	21	12	14	4.30116263352131
ITPR3	21	7	16	11	13	7	21	13	13.6	5.27257053058563
ITPRIP	20	15	14	14	21	14	21	15	16.8	3.42052627529741
ITPRIPL2	109	48	76	58	68	48	109	68	71.8	23.3066514111315
ITSN1	76	71	84	40	64	40	84	71	67	16.7630546142402
ITSN2	22	17	15	10	16	10	22	16	16	4.30116263352131
IVD	68	32	45	33	46	32	68	45	44.8	14.5155089473294
IVNS1ABP	62	48	49	49	48	48	62	49	51.2	6.05805249234438
IWS1	61	46	48	55	47	46	61	48	51.4	6.42650760522385
IYD	13	4	6	7	21	4	21	7	10.2	6.9065186599328
JAG1	44	40	33	19	31	19	44	33	33.4	9.60728889958036
JAG2	0	0	0	0	1	0	1	0	0.2	0.447213595499958
JAGN1	30	23	24	23	25	23	30	24	25	2.91547594742265
JAK1	94	66	88	60	78	60	94	78	77.2	14.324803663576
JAK2	3	0	2	5	4	0	5	3	2.8	1.92353840616713
JAK3	9	7	8	7	8	7	9	8	7.8	0.836660026534076
JAKMIP2	3	8	5	6	9	3	9	6	6.2	2.38746727726266
JAKMIP3	0	0	0	0	0	0	0	0	0	0
JAM2	34	28	25	13	22	13	34	25	24.4	7.76530746332687
JAM3	115	85	86	72	85	72	115	85	88.6	15.8524446064322
JARID2	7	4	4	8	7	4	8	7	6	1.87082869338697
JAZF1	15	11	6	10	8	6	15	10	10	3.39116499156263
JAZF1-AS1	0	0	0	0	0	0	0	0	0	0
JDP2	12	8	11	11	14	8	14	11	11.2	2.16794833886788
JHDM1D	3	4	1	5	5	1	5	4	3.6	1.67332005306815
JKAMP	274	200	210	190	225	190	274	210	219.8	32.9423739278152
JMJD1C	267	177	167	233	228	167	267	228	214.4	41.662933166065
JMJD1C-AS1	1	0	0	0	0	0	1	0	0.2	0.447213595499958
JMJD4	4	1	2	4	2	1	4	2	2.6	1.34164078649987
JMJD6	23	15	29	21	21	15	29	21	21.8	5.01996015920445
JMJD7	10	9	10	14	13	9	14	10	11.2	2.16794833886788
JMJD8	7	7	9	16	8	7	16	8	9.4	3.78153408023781
JMY	28	27	21	25	21	21	28	25	24.4	3.286335345031
JOSD1	43	24	30	29	35	24	43	30	32.2	7.19027120489902
JOSD2	12	12	10	12	13	10	13	12	11.8	1.09544511501033
JPH1	0	0	0	0	0	0	0	0	0	0
JPH2	0	0	1	0	2	0	2	0	0.6	0.894427190999916
JPH3	0	0	0	0	0	0	0	0	0	0
JPH4	0	0	0	0	0	0	0	0	0	0
JPX	32	18	22	32	30	18	32	30	26.8	6.41872261435249
JRK	3	2	7	5	7	2	7	5	4.8	2.28035085019828
JRKL	45	36	40	23	20	20	45	36	32.8	10.8489630840924
JTB	180	109	128	121	119	109	180	121	131.4	28.0053566304734
JUN	39	20	39	16	33	16	39	33	29.4	10.7842477716343
JUNB	12	9	2	11	5	2	12	9	7.8	4.20713679359253
JUND	50	27	39	29	25	25	50	29	34	10.4403065089106
JUP	10	19	8	16	12	8	19	12	13	4.47213595499958
KAAG1	0	0	0	0	0	0	0	0	0	0
KAL1	24	12	20	18	22	12	24	20	19.2	4.60434577328853
KALRN	5	2	0	1	1	0	5	1	1.8	1.92353840616713
KANK1	46	40	55	25	43	25	55	43	41.8	10.9407495172863
KANK2	50	35	42	43	52	35	52	43	44.4	6.8044103344816
KANK3	1	0	0	0	0	0	1	0	0.2	0.447213595499958
KANK4	5	4	3	1	4	1	5	4	3.4	1.51657508881031
KANSL1	17	11	13	16	16	11	17	16	14.6	2.50998007960223
KANSL1-AS1	7	4	7	4	5	4	7	5	5.4	1.51657508881031
KANSL1L	4	5	1	7	1	1	7	4	3.6	2.60768096208106
KANSL2	49	19	26	14	17	14	49	19	25	14.1244468918255
KANSL3	30	24	20	21	19	19	30	21	22.8	4.43846820423443
KARS	163	94	125	122	98	94	163	122	120.4	27.5553987450735
KAT2A	5	4	2	4	1	1	5	4	3.2	1.6431676725155
KAT2B	4	4	4	7	7	4	7	4	5.2	1.6431676725155
KAT5	0	1	2	0	0	0	2	0	0.6	0.894427190999916
KAT6A	23	22	26	17	22	17	26	22	22	3.24037034920393
KAT6B	35	22	28	17	28	17	35	28	26	6.81909084849293
KAT7	19	11	9	8	11	8	19	11	11.6	4.33589667773576
KAT8	7	2	5	6	3	2	7	5	4.6	2.07364413533277
KATNA1	34	26	20	28	25	20	34	26	26.6	5.07937003968012
KATNAL1	17	18	13	13	16	13	18	16	15.4	2.30217288664427
KATNAL2	1	0	3	0	1	0	3	1	1	1.22474487139159
KATNB1	5	6	2	7	2	2	7	5	4.4	2.30217288664427
KATNBL1	37	21	25	30	23	21	37	25	27.2	6.41872261435249
KAZALD1	0	3	3	1	1	0	3	1	1.6	1.34164078649987
KAZN	5	6	7	5	6	5	7	6	5.8	0.836660026534076
KBTBD11	2	0	0	3	3	0	3	2	1.6	1.51657508881031
KBTBD12	7	7	11	12	11	7	12	11	9.6	2.40831891575846
KBTBD2	17	22	14	22	22	14	22	22	19.4	3.71483512420134
KBTBD3	34	27	21	29	31	21	34	29	28.4	4.87852436706019
KBTBD4	0	1	0	1	1	0	1	1	0.6	0.547722557505166
KBTBD6	20	7	9	8	11	7	20	9	11	5.24404424085076
KBTBD7	12	9	7	6	11	6	12	9	9	2.54950975679639
KBTBD8	2	1	0	0	2	0	2	1	1	1
KCMF1	49	29	38	34	29	29	49	34	35.8	8.28854631404084
KCNA1	0	0	0	0	0	0	0	0	0	0
KCNA2	0	0	0	0	0	0	0	0	0	0
KCNA3	0	0	0	0	0	0	0	0	0	0
KCNA4	0	0	0	0	0	0	0	0	0	0
KCNA5	2	0	0	0	0	0	2	0	0.4	0.894427190999916
KCNA6	0	0	0	0	1	0	1	0	0.2	0.447213595499958
KCNA7	12	3	8	5	6	3	12	6	6.8	3.42052627529741
KCNAB1	15	21	14	11	11	11	21	14	14.4	4.09878030638384
KCNAB1-AS2	0	0	0	0	0	0	0	0	0	0
KCNAB2	2	3	6	1	1	1	6	2	2.6	2.07364413533277
KCNAB3	0	0	0	0	0	0	0	0	0	0
KCNB1	0	0	0	0	0	0	0	0	0	0
KCNC1	0	0	0	0	0	0	0	0	0	0
KCNC3	0	0	0	0	0	0	0	0	0	0
KCNC4	3	0	0	0	2	0	3	0	1	1.4142135623731
KCND1	1	0	0	0	0	0	1	0	0.2	0.447213595499958
KCND2	1	0	0	0	0	0	1	0	0.2	0.447213595499958
KCND3	0	0	0	0	0	0	0	0	0	0
KCNE1	0	0	0	0	0	0	0	0	0	0
KCNE1L	0	0	0	0	0	0	0	0	0	0
KCNE2	0	0	0	1	1	0	1	0	0.4	0.547722557505166
KCNE3	2	0	4	5	2	0	5	2	2.6	1.94935886896179
