Gene	TRS+DOM.A.4.15.1.B9	TRS+DOM.A.4.16.1.B10	TRS+DOM.A.5.12.1.C8	Min	Max	Median	Mean	Std
KRTAP7-1	0	0	0	0	0	0	0	0
KRTCAP2	3258	571	213	213	3258	571	1347.33333333333	1664.3396087738
KRTCAP3	2	0	0	0	2	0	0.666666666666667	1.15470053837925
KRTDAP	0	0	0	0	0	0	0	0
KSR1	3	1	1	1	3	1	1.66666666666667	1.15470053837925
KSR2	0	0	0	0	0	0	0	0
KTI12	0	0	0	0	0	0	0	0
KTN1	860	161	101	101	860	161	374	421.956158860136
KTN1-AS1	3	0	0	0	3	0	1	1.73205080756888
KXD1	248	62	12	12	248	62	107.333333333333	124.359693362976
KY	0	0	0	0	0	0	0	0
KYNU	2	0	0	0	2	0	0.666666666666667	1.15470053837925
L1TD1	40	15	2	2	40	15	19	19.313207915828
L2HGDH	22	8	2	2	22	8	10.6666666666667	10.2632028788938
L3HYPDH	53	11	2	2	53	11	22	27.2213151776324
L3MBTL1	2	4	0	0	4	2	2	2
L3MBTL2	101	18	4	4	101	18	41	52.4309069156733
L3MBTL3	46	8	6	6	46	8	20	22.5388553391693
L3MBTL4	0	0	0	0	0	0	0	0
LACC1	281	61	28	28	281	61	123.333333333333	137.536661779081
LACE1	15	2	2	2	15	2	6.33333333333333	7.50555349946513
LACTB	215	49	17	17	215	49	93.6666666666667	106.288914442351
LACTB2	172	22	18	18	172	22	70.6666666666667	87.7800281005499
LAG3	0	0	0	0	0	0	0	0
LAGE3	411	85	43	43	411	85	179.666666666667	201.4381625545
LAIR1	69	18	3	3	69	18	30	34.5976877840124
LAMA1	28	8	3	3	28	8	13	13.228756555323
LAMA2	237	74	26	26	237	74	112.333333333333	110.599879445383
LAMA3	3	3	0	0	3	3	2	1.73205080756888
LAMA4	81	13	6	6	81	13	33.3333333333333	41.4286535302963
LAMA5	11	4	3	3	11	4	6	4.35889894354067
LAMB1	311	93	44	44	311	93	149.333333333333	142.134912436506
LAMB2	219	53	21	21	219	53	97.6666666666667	106.288914442351
LAMB2P1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LAMB3	5	0	1	0	5	1	2	2.64575131106459
LAMB4	0	0	0	0	0	0	0	0
LAMC1	891	318	130	130	891	318	446.333333333333	396.399209551852
LAMC2	42	10	3	3	42	10	18.3333333333333	20.7926268983343
LAMC3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LAMP1	275	108	20	20	275	108	134.333333333333	129.523485643853
LAMP2	3065	499	197	197	3065	499	1253.66666666667	1575.91158804463
LAMP3	39	6	1	1	39	6	15.3333333333333	20.6478408879314
LAMP5	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LAMTOR1	390	66	33	33	390	66	163	197.278990265056
LAMTOR2	1216	172	85	85	1216	172	491	629.37349801211
LAMTOR3	805	134	47	47	805	134	328.666666666667	414.803969765639
LAMTOR4	1931	345	128	128	1931	345	801.333333333333	984.318207356408
LAMTOR5	3131	475	209	209	3131	475	1271.66666666667	1615.71325838879
LAMTOR5-AS1	4	0	0	0	4	0	1.33333333333333	2.3094010767585
LANCL1	191	43	27	27	191	43	87	90.4212364436585
LANCL2	111	31	17	17	111	31	53	50.7148893324239
LANCL3	9	2	0	0	9	2	3.66666666666667	4.72581562625261
LAP3	478	83	30	30	478	83	197	244.791748226937
LAPTM4A	10639	1822	614	614	10639	1822	4358.33333333333	5472.64984567196
LAPTM4B	91	25	11	11	91	25	42.3333333333333	42.7239199200323
LAPTM5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LARGE	16	3	1	1	16	3	6.66666666666667	8.14452781524708
LARGE-AS1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LARP1	313	91	31	31	313	91	145	148.553020837679
LARP1B	126	22	6	6	126	22	51.3333333333333	65.1562225219766
LARP4	351	63	21	21	351	63	145	179.632959113855
LARP4B	110	32	6	6	110	32	49.3333333333333	54.1233159861195
LARP6	141	42	14	14	141	42	65.6666666666667	66.7258071014007
LARP7	755	133	45	45	755	133	311	387.024547025121
LARS	1374	236	128	128	1374	236	579.333333333333	690.316835470013
LARS2	30	5	4	4	30	5	13	14.7309198626562
LARS2-AS1	11	5	2	2	11	5	6	4.58257569495584
LAS1L	213	31	10	10	213	31	84.6666666666667	111.634821329786
LASP1	353	99	42	42	353	99	164.666666666667	165.572743328524
LAT	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LAT2	0	0	0	0	0	0	0	0
LATS1	58	21	7	7	58	21	28.6666666666667	26.3502055652956
LATS2	84	29	13	13	84	29	42	37.2424488990721
LAX1	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LAYN	75	7	8	7	75	8	30	38.9743505398102
LBH	1309	209	80	80	1309	209	532.666666666667	675.411232756262
LBP	0	0	0	0	0	0	0	0
LBR	80	11	5	5	80	11	32	41.6773319683494
LBX2	1	1	1	1	1	1	1	0
LBX2-AS1	7	1	0	0	7	1	2.66666666666667	3.78593889720018
LCA5	90	17	4	4	90	17	37	46.357307945997
LCA5L	7	1	1	1	7	1	3	3.46410161513775
LCAT	14	4	1	1	14	4	6.33333333333333	6.80685928555405
LCK	0	0	0	0	0	0	0	0
LCLAT1	101	12	13	12	101	13	42	51.0979451641649
LCMT1	498	93	36	36	498	93	209	251.898789199154
LCMT2	23	5	2	2	23	5	10	11.3578166916005
LCN1	0	0	0	0	0	0	0	0
LCN12	0	0	0	0	0	0	0	0
LCN2	0	0	0	0	0	0	0	0
LCNL1	0	0	0	0	0	0	0	0
LCOR	56	7	10	7	56	10	24.3333333333333	27.4651294068194
LCORL	31	4	1	1	31	4	12	16.5227116418583
LCP1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LCP2	0	0	0	0	0	0	0	0
LCTL	11	1	1	1	11	1	4.33333333333333	5.77350269189626
LDB1	22	6	2	2	22	6	10	10.5830052442584
LDB2	54	12	3	3	54	12	23	27.2213151776324
LDB3	6	2	0	0	6	2	2.66666666666667	3.05505046330389
LDHA	18843	3629	1267	1267	18843	3629	7913	9539.04796088163
LDHAL6A	3	2	0	0	3	2	1.66666666666667	1.52752523165195
LDHAL6B	0	0	0	0	0	0	0	0
LDHB	4589	777	304	304	4589	777	1890	2349.33671490487
LDHC	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LDHD	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LDLR	120	18	8	8	120	18	48.6666666666667	61.9784908926745
LDLRAD1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LDLRAD3	6	2	0	0	6	2	2.66666666666667	3.05505046330389
LDLRAD4	22	6	3	3	22	6	10.3333333333333	10.2143689640297
LDLRAD4-AS1	0	0	0	0	0	0	0	0
LDLRAP1	16	4	1	1	16	4	7	7.93725393319377
LDOC1	100	16	8	8	100	16	41.3333333333333	50.9640396096437
LDOC1L	36	13	4	4	36	13	17.6666666666667	16.5025250593154
LEAP2	1	3	0	0	3	1	1.33333333333333	1.52752523165195
LECT2	0	0	0	0	0	0	0	0
LEF1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LEFTY1	0	0	0	0	0	0	0	0
LEFTY2	17	1	3	1	17	3	7	8.71779788708135
LEKR1	2	0	1	0	2	1	1	1
LEMD1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LEMD1-AS1	24	6	1	1	24	6	10.3333333333333	12.0968315410827
LEMD2	26	3	5	3	26	5	11.3333333333333	12.7410099024109
LEMD3	46	9	2	2	46	9	19	23.6431808350738
LENG1	55	13	2	2	55	13	23.3333333333333	27.9702222610642
LENG8	8	0	0	0	8	0	2.66666666666667	4.61880215351701
LENG9	0	0	0	0	0	0	0	0
LEO1	440	66	34	34	440	66	180	225.734357154599
LEP	253	82	23	23	253	82	119.333333333333	119.458500464945
LEPR	53	15	2	2	53	15	23.3333333333333	26.5015722804013
LEPRE1	90	19	11	11	90	19	40	43.4856298103178
LEPREL1	6	5	2	2	6	5	4.33333333333333	2.08166599946613
LEPREL2	33	12	3	3	33	12	16	15.3948043183407
LEPREL4	185	45	19	19	185	45	83	89.2860571421989
LEPROT	2016	399	125	125	2016	399	846.666666666667	1021.89741820465
LEPROTL1	418	77	32	32	418	77	175.666666666667	211.06949882286
LETM1	86	18	8	8	86	18	37.3333333333333	42.442117446392
LETM2	5	0	1	0	5	1	2	2.64575131106459
LETMD1	403	79	23	23	403	79	168.333333333333	205.14710169372
LFNG	32	4	1	1	32	4	12.3333333333333	17.0977581376429
LGALS1	38011	6086	2262	2262	38011	6086	15453	19629.1433078471
LGALS12	0	0	0	0	0	0	0	0
LGALS2	0	0	0	0	0	0	0	0
LGALS3	834	145	53	53	834	145	344	426.838376906295
LGALS3BP	415	87	49	49	415	87	183.666666666667	201.239492479318
LGALS4	0	0	0	0	0	0	0	0
LGALS7	0	0	0	0	0	0	0	0
LGALS8	329	60	25	25	329	60	138	166.334001334664
LGALS8-AS1	0	0	0	0	0	0	0	0
LGALS9	0	0	0	0	0	0	0	0
LGALSL	61	6	4	4	61	6	23.6666666666667	32.3470761172217
LGI1	3	0	0	0	3	0	1	1.73205080756888
LGI2	0	0	0	0	0	0	0	0
LGI4	0	0	0	0	0	0	0	0
LGMN	182	39	12	12	182	39	77.6666666666667	91.3582691021088
LGR4	157	45	8	8	157	45	70	77.5822144566653
LGR5	2	1	0	0	2	1	1	1
LGSN	3	0	0	0	3	0	1	1.73205080756888
LHCGR	0	0	0	0	0	0	0	0
LHFP	384	62	31	31	384	62	159	195.471225503909
LHFPL1	3	0	0	0	3	0	1	1.73205080756888
LHFPL2	32	9	4	4	32	9	15	14.9331845230681
LHFPL3-AS2	0	0	0	0	0	0	0	0
LHFPL4	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LHFPL5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LHPP	11	4	0	0	11	4	5	5.56776436283002
LHX1	0	0	0	0	0	0	0	0
LHX4	0	0	0	0	0	0	0	0
LHX5	0	0	0	0	0	0	0	0
LHX6	0	0	0	0	0	0	0	0
LHX8	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LIAS	98	16	6	6	98	16	40	50.4777178564959
LIF	6	1	1	1	6	1	2.66666666666667	2.88675134594813
LIFR	31	9	4	4	31	9	14.6666666666667	14.3643076176102
LIFR-AS1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LIG1	11	1	2	1	11	2	4.66666666666667	5.5075705472861
LIG3	53	8	9	8	53	9	23.3333333333333	25.6969518296107
LIG4	51	12	7	7	51	12	23.3333333333333	24.0901086202062
LILRA5	2	3	0	0	3	2	1.66666666666667	1.52752523165195
LILRA6	8	3	4	3	8	4	5	2.64575131106459
LILRB1	8	7	0	0	8	7	5	4.35889894354067
LILRB2	0	0	0	0	0	0	0	0
LILRB3	61	14	5	5	61	14	26.6666666666667	30.0721354967241
LILRB4	0	0	0	0	0	0	0	0
LILRB5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LIMA1	2111	333	139	139	2111	333	861	1086.86889733767
LIMCH1	798	136	70	70	798	136	334.666666666667	402.613131098991
LIMD1	27	11	4	4	27	11	14	11.7898261225516
LIMD2	0	0	0	0	0	0	0	0
LIME1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LIMK1	9	1	0	0	9	1	3.33333333333333	4.93288286231625
LIMK2	95	30	13	13	95	30	46	43.2781700167648
LIMS1	482	95	49	49	482	95	208.666666666667	237.828369488027
LIMS2	62	14	8	8	62	14	28	29.5972971738975
LIMS3	7	3	3	3	7	3	4.33333333333333	2.3094010767585
LIMS3-LOC440895	7	1	0	0	7	1	2.66666666666667	3.78593889720018
LIMS3L	12	2	0	0	12	2	4.66666666666667	6.42910050732864
LIN28A	5	3	1	1	5	3	3	2
LIN28B	0	0	0	0	0	0	0	0
LIN37	123	19	9	9	123	19	50.3333333333333	63.1294965395205
LIN52	52	7	3	3	52	7	20.6666666666667	27.20906711619
LIN54	44	13	0	0	44	13	19	22.6053091109146
LIN7A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LIN7B	30	8	1	1	30	8	13	15.1327459504216
LIN7C	385	54	34	34	385	54	157.666666666667	197.130244593095
LIN9	38	3	1	1	38	3	14	20.8086520466848
LINC-ROR	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00032	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00035	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00085	41	5	2	2	41	5	16	21.7025344142107
LINC00087	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00092	3	3	0	0	3	3	2	1.73205080756888
LINC00094	75	15	5	5	75	15	31.6666666666667	37.8593889720018
LINC00102	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00114	0	0	0	0	0	0	0	0
LINC00115	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LINC00116	167	36	10	10	167	36	71	84.1486779456457
LINC00152	299	55	14	14	299	55	122.666666666667	154.078984074186
LINC00160	0	0	0	0	0	0	0	0
LINC00167	6	2	0	0	6	2	2.66666666666667	3.05505046330389
LINC00174	2	1	0	0	2	1	1	1
LINC00184	0	0	0	0	0	0	0	0
LINC00189	0	0	0	0	0	0	0	0
LINC00202-1	0	0	0	0	0	0	0	0
LINC00202-2	0	0	0	0	0	0	0	0
LINC00221	3	0	0	0	3	0	1	1.73205080756888
LINC00222	0	0	0	0	0	0	0	0
LINC00238	0	0	0	0	0	0	0	0
LINC00239	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00240	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LINC00242	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00260	4	0	0	0	4	0	1.33333333333333	2.3094010767585
LINC00261	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00263	53	5	3	3	53	5	20.3333333333333	28.3078316607495
LINC00264	0	0	0	0	0	0	0	0
LINC00265	6	3	2	2	6	3	3.66666666666667	2.08166599946613
LINC00266-1	0	0	0	0	0	0	0	0
LINC00269	6	0	1	0	6	1	2.33333333333333	3.21455025366432
LINC00271	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00276	0	0	0	0	0	0	0	0
LINC00277	0	0	0	0	0	0	0	0
LINC00278	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00282	0	0	0	0	0	0	0	0
LINC00284	0	0	0	0	0	0	0	0
LINC00290	0	0	0	0	0	0	0	0
LINC00294	96	20	14	14	96	20	43.3333333333333	45.7092259104585
LINC00303	0	0	0	0	0	0	0	0
LINC00304	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LINC00305	0	0	0	0	0	0	0	0
LINC00310	15	3	2	2	15	3	6.66666666666667	7.23417813807023
LINC00311	9	0	0	0	9	0	3	5.19615242270663
LINC00312	14	7	1	1	14	7	7.33333333333333	6.50640709864771
LINC00313	0	0	0	0	0	0	0	0
LINC00314	0	0	0	0	0	0	0	0
LINC00319	0	0	0	0	0	0	0	0
LINC00320	0	0	0	0	0	0	0	0
LINC00323	3	1	0	0	3	1	1.33333333333333	1.52752523165195
LINC00324	17	2	3	2	17	3	7.33333333333333	8.38649708360608
LINC00327	6	2	0	0	6	2	2.66666666666667	3.05505046330389
LINC00330	53	12	1	1	53	12	22	27.4043792120894
LINC00336	0	0	0	0	0	0	0	0
LINC00337	3	0	0	0	3	0	1	1.73205080756888
LINC00338	69	22	5	5	69	22	32	33.1511689085016
LINC00339	146	12	11	11	146	12	56.3333333333333	77.6552209019673
LINC00340	6	2	0	0	6	2	2.66666666666667	3.05505046330389
LINC00341	14	1	1	1	14	1	5.33333333333333	7.50555349946513
LINC00342	45	14	8	8	45	14	22.3333333333333	19.8578280114753
LINC00346	13	0	0	0	13	0	4.33333333333333	7.50555349946513
LINC00348	0	0	0	0	0	0	0	0
LINC00353	0	0	0	0	0	0	0	0
LINC00366	0	0	0	0	0	0	0	0
LINC00371	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00398	0	0	0	0	0	0	0	0
LINC00410	0	0	0	0	0	0	0	0
LINC00426	0	0	0	0	0	0	0	0
LINC00441	0	0	0	0	0	0	0	0
LINC00460	0	0	0	0	0	0	0	0
LINC00461	0	0	0	0	0	0	0	0
LINC00462	0	0	0	0	0	0	0	0
LINC00466	5	0	0	0	5	0	1.66666666666667	2.88675134594813
LINC00467	47	6	1	1	47	6	18	25.2388589282479
LINC00470	20	5	3	3	20	5	9.33333333333333	9.29157324317757
LINC00471	10	3	0	0	10	3	4.33333333333333	5.13160143944688
LINC00472	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LINC00475	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00476	69	17	4	4	69	17	30	34.3947670438397
LINC00477	0	0	0	0	0	0	0	0
LINC00478	53	5	6	5	53	6	21.3333333333333	27.4286954362276
LINC00479	0	0	0	0	0	0	0	0
LINC00482	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00483	3	2	1	1	3	2	2	1
LINC00485	10	1	0	0	10	1	3.66666666666667	5.5075705472861
LINC00488	0	0	0	0	0	0	0	0
LINC00491	0	0	0	0	0	0	0	0
LINC00493	2232	372	148	148	2232	372	917.333333333333	1144.03030262897
LINC00511	0	0	0	0	0	0	0	0
LINC00514	33	11	2	2	33	11	15.3333333333333	15.9478316185409
LINC00515	5	0	0	0	5	0	1.66666666666667	2.88675134594813
LINC00518	0	0	0	0	0	0	0	0
LINC00520	3	0	0	0	3	0	1	1.73205080756888
LINC00525	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00526	5	1	1	1	5	1	2.33333333333333	2.3094010767585
LINC00528	0	0	0	0	0	0	0	0
LINC00534	0	0	0	0	0	0	0	0
LINC00535	0	0	0	0	0	0	0	0
LINC00536	0	0	0	0	0	0	0	0
LINC00540	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00545	4	0	1	0	4	1	1.66666666666667	2.08166599946613
LINC00547	5	0	1	0	5	1	2	2.64575131106459
LINC00548	0	0	0	0	0	0	0	0
LINC00551	0	0	0	0	0	0	0	0
LINC00559	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00563	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00565	0	0	0	0	0	0	0	0
LINC00568	3	1	0	0	3	1	1.33333333333333	1.52752523165195
LINC00570	3	0	0	0	3	0	1	1.73205080756888
LINC00571	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LINC00574	21	5	1	1	21	5	9	10.5830052442584
LINC00578	4	0	0	0	4	0	1.33333333333333	2.3094010767585
LINC00581	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00582	0	0	0	0	0	0	0	0
LINC00588	0	0	0	0	0	0	0	0
LINC00592	16	4	1	1	16	4	7	7.93725393319377
LINC00595	0	0	0	0	0	0	0	0
LINC00597	2	3	1	1	3	2	2	1
LINC00598	32	5	1	1	32	5	12.6666666666667	16.8621864932557
LINC00601	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00607	37	7	1	1	37	7	15	19.2873015219859
LINC00612	0	0	0	0	0	0	0	0
LINC00616	0	0	0	0	0	0	0	0
LINC00617	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00619	0	0	0	0	0	0	0	0
LINC00620	0	0	0	0	0	0	0	0
LINC00622	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LINC00623	10	4	2	2	10	4	5.33333333333333	4.16333199893227
LINC00626	0	0	0	0	0	0	0	0
LINC00629	5	0	0	0	5	0	1.66666666666667	2.88675134594813
LINC00630	15	0	1	0	15	1	5.33333333333333	8.38649708360608
LINC00632	2	0	1	0	2	1	1	1
LINC00637	9	2	1	1	9	2	4	4.35889894354067
LINC00638	3	2	0	0	3	2	1.66666666666667	1.52752523165195
LINC00639	0	0	0	0	0	0	0	0
LINC00640	2	1	0	0	2	1	1	1
LINC00641	19	7	1	1	19	7	9	9.16515138991168
LINC00643	3	1	0	0	3	1	1.33333333333333	1.52752523165195
LINC00645	0	0	0	0	0	0	0	0
LINC00649	12	1	2	1	12	2	5	6.08276253029822
LINC00652	2	1	0	0	2	1	1	1
LINC00654	0	0	0	0	0	0	0	0
LINC00657	803	212	80	80	803	212	365	385.018181388879
LINC00662	54	12	7	7	54	12	24.3333333333333	25.8134331953991
LINC00663	55	10	3	3	55	10	22.6666666666667	28.2193786843958
LINC00664	0	0	0	0	0	0	0	0
LINC00665	42	13	2	2	42	13	19	20.6639783197718
LINC00667	65	19	7	7	65	19	30.3333333333333	30.6159000085468
LINC00668	0	0	0	0	0	0	0	0
LINC00669	0	0	0	0	0	0	0	0
LINC00670	4	0	0	0	4	0	1.33333333333333	2.3094010767585
LINC00671	28	9	0	0	28	9	12.3333333333333	14.2945210949277
LINC00672	31	5	1	1	31	5	12.3333333333333	16.2890556304942
LINC00673	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LINC00674	172	48	14	14	172	48	78	83.1624915451672
LINC00678	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00685	11	1	1	1	11	1	4.33333333333333	5.77350269189626
LINC00689	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LINC00691	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00693	0	0	0	0	0	0	0	0
LINC00696	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00700	12	5	1	1	12	5	6	5.56776436283002
LINC00704	5	0	2	0	5	2	2.33333333333333	2.51661147842358
LINC00705	0	0	0	0	0	0	0	0
LINC00707	0	0	0	0	0	0	0	0
LINC00710	0	0	0	0	0	0	0	0
LINC00837	0	0	0	0	0	0	0	0
LINC00839	17	5	2	2	17	5	8	7.93725393319377
LINC00842	98	20	9	9	98	20	42.3333333333333	48.5214729097678
LINC00847	83	16	4	4	83	16	34.3333333333333	42.5715084690845
LINC00852	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LINC00853	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LINC00854	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00856	7	0	0	0	7	0	2.33333333333333	4.04145188432738
LINC00857	4	2	0	0	4	2	2	2
LINC00858	0	0	0	0	0	0	0	0
LINC00861	5	2	1	1	5	2	2.66666666666667	2.08166599946613
LINC00862	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LINC00864	0	0	0	0	0	0	0	0
LINC00865	0	0	0	0	0	0	0	0
LINC00869	8	0	0	0	8	0	2.66666666666667	4.61880215351701
LINC00870	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00875	5	0	0	0	5	0	1.66666666666667	2.88675134594813
LINC00880	0	0	0	0	0	0	0	0
LINC00881	15	1	0	0	15	1	5.33333333333333	8.38649708360608
LINC00882	18	3	2	2	18	3	7.66666666666667	8.9628864398325
LINC00883	80	13	9	9	80	13	34	39.8873413503583
LINC00884	4	0	1	0	4	1	1.66666666666667	2.08166599946613
LINC00886	16	3	2	2	16	3	7	7.81024967590665
LINC00887	5	1	0	0	5	1	2	2.64575131106459
LINC00888	33	10	4	4	33	10	15.6666666666667	15.3079500042734
LINC00889	0	0	0	0	0	0	0	0
LINC00890	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00893	3	0	0	0	3	0	1	1.73205080756888
LINC00894	0	0	0	0	0	0	0	0
LINC00896	2	3	0	0	3	2	1.66666666666667	1.52752523165195
LINC00899	8	0	0	0	8	0	2.66666666666667	4.61880215351701
LINC00900	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00904	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00906	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LINC00907	17	5	3	3	17	5	8.33333333333333	7.57187779440036
LINC00908	11	0	0	0	11	0	3.66666666666667	6.35085296108588
LINC00909	73	10	4	4	73	10	29	38.2230297072328
LINC00910	28	9	2	2	28	9	13	13.4536240470737
LINC00911	0	0	0	0	0	0	0	0
LINC00918	0	0	0	0	0	0	0	0
LINC00920	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LINC00921	27	5	1	1	27	5	11	14
LINC00922	5	3	0	0	5	3	2.66666666666667	2.51661147842358
LINC00923	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00924	42	4	4	4	42	4	16.6666666666667	21.9393102292058
LINC00926	15	5	0	0	15	5	6.66666666666667	7.63762615825973
LINC00927	3	0	0	0	3	0	1	1.73205080756888
LINC00933	3	0	0	0	3	0	1	1.73205080756888
LINC00934	10	1	0	0	10	1	3.66666666666667	5.5075705472861
LINC00935	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00936	4	7	2	2	7	4	4.33333333333333	2.51661147842358
LINC00937	0	0	0	0	0	0	0	0
LINC00938	22	0	1	0	22	1	7.66666666666667	12.4230967690561
LINC00939	6	0	0	0	6	0	2	3.46410161513775
LINC00941	54	9	2	2	54	9	21.6666666666667	28.2193786843958
LINC00942	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LINC00943	0	0	0	0	0	0	0	0
LINC00948	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00950	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LINC00954	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00957	0	0	0	0	0	0	0	0
LINC00958	14	6	1	1	14	6	7	6.557438524302
LINC00959	20	6	1	1	20	6	9	9.8488578017961
LINC00960	2	0	1	0	2	1	1	1
LINC00961	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LINC00963	71	10	3	3	71	10	28	37.4032084185301
LINC00964	8	1	1	1	8	1	3.33333333333333	4.04145188432738
LINC00965	21	5	4	4	21	5	10	9.53939201416946
LINC00967	0	0	0	0	0	0	0	0
LINC00968	68	8	1	1	68	8	25.6666666666667	36.8284310463171
LINC00971	33	10	2	2	33	10	15	16.0934769394311
LINC00974	0	0	0	0	0	0	0	0
LINGO1	0	0	0	0	0	0	0	0
LINS	59	14	1	1	59	14	24.6666666666667	30.4357246231026
LIPA	182	34	15	15	182	34	77	91.427566958768
LIPC	12	2	3	2	12	3	5.66666666666667	5.5075705472861
LIPE	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LIPE-AS1	0	0	0	0	0	0	0	0
LIPG	0	0	0	0	0	0	0	0
LIPH	25	0	1	0	25	1	8.66666666666667	14.1539158303748
LIPI	0	0	0	0	0	0	0	0
LIPJ	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LIPM	0	0	0	0	0	0	0	0
LIPT1	129	23	4	4	129	23	52	67.3572564761956
LIPT2	3	3	0	0	3	3	2	1.73205080756888
LITAF	1341	233	98	98	1341	233	557.333333333333	682.023704377885
LIX1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LIX1L	18	1	3	1	18	3	7.33333333333333	9.29157324317757
LLGL1	74	22	3	3	74	22	33	36.7559518989782
LLGL2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LLPH	788	138	54	54	788	138	326.666666666667	401.727934469752
LMAN1	3193	419	157	157	3193	419	1256.33333333333	1682.31071248249
LMAN2	195	40	15	15	195	40	83.3333333333333	97.5106831754005
LMAN2L	115	37	11	11	115	37	54.3333333333333	54.1233159861195
LMBR1	39	9	4	4	39	9	17.3333333333333	18.9296944860009
LMBR1L	18	7	1	1	18	7	8.66666666666667	8.62167810425171
LMBRD1	381	83	25	25	381	83	163	191.007853241693
LMBRD2	33	4	3	3	33	4	13.3333333333333	17.0391705588427
LMCD1	336	75	22	22	336	75	144.333333333333	168.090253534621
LMCD1-AS1	6	3	1	1	6	3	3.33333333333333	2.51661147842358
LMF1	26	7	2	2	26	7	11.6666666666667	12.6622799421484
LMF2	18	7	0	0	18	7	8.33333333333333	9.07377172587747
LMLN	24	1	2	1	24	2	9	13
LMNA	397	74	29	29	397	74	166.666666666667	200.739466307284
