Gene	TRS+LOP.A.4.10.1.B4	TRS+LOP.A.4.11.1.B5	TRS+LOP.A.4.12.1.B6	Min	Max	Median	Mean	Std
LRRC8C	1	0	2	0	2	1	1	1
LRRC8D	11	5	7	5	11	7	7.66666666666667	3.05505046330389
LRRC8E	2	3	1	1	3	2	2	1
LRRC9	0	0	0	0	0	0	0	0
LRRCC1	3	6	4	3	6	4	4.33333333333333	1.52752523165195
LRRD1	0	0	0	0	0	0	0	0
LRRFIP1	168	151	131	131	168	151	150	18.5202591774521
LRRFIP2	40	25	19	19	40	25	28	10.816653826392
LRRIQ1	1	1	4	1	4	1	2	1.73205080756888
LRRIQ3	0	7	1	0	7	1	2.66666666666667	3.78593889720018
LRRIQ4	0	0	0	0	0	0	0	0
LRRK1	1	1	4	1	4	1	2	1.73205080756888
LRRK2	1	4	1	1	4	1	2	1.73205080756888
LRRN1	0	0	0	0	0	0	0	0
LRRN2	0	0	0	0	0	0	0	0
LRRN3	0	0	0	0	0	0	0	0
LRRN4	0	0	0	0	0	0	0	0
LRRN4CL	6	9	9	6	9	9	8	1.73205080756888
LRRTM2	1	3	0	0	3	1	1.33333333333333	1.52752523165195
LRRTM4	0	0	0	0	0	0	0	0
LRSAM1	42	22	13	13	42	22	25.6666666666667	14.8436293854749
LRTM1	0	0	0	0	0	0	0	0
LRTOMT	46	55	48	46	55	48	49.6666666666667	4.72581562625261
LRWD1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LSAMP	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LSG1	22	19	20	19	22	20	20.3333333333333	1.52752523165195
LSM1	102	84	79	79	102	84	88.3333333333333	12.0968315410827
LSM10	34	25	29	25	34	29	29.3333333333333	4.50924975282289
LSM11	0	0	0	0	0	0	0	0
LSM12	80	75	77	75	80	77	77.3333333333333	2.51661147842358
LSM14A	50	64	46	46	64	50	53.3333333333333	9.45163125250522
LSM14B	3	2	5	2	5	3	3.33333333333333	1.52752523165195
LSM2	65	46	47	46	65	47	52.6666666666667	10.6926766215636
LSM3	433	322	344	322	433	344	366.333333333333	58.7735768295016
LSM4	19	12	11	11	19	12	14	4.35889894354067
LSM5	344	261	262	261	344	262	289	47.6340214552582
LSM6	103	86	83	83	103	86	90.6666666666667	10.785793124909
LSM7	46	26	33	26	46	33	35	10.1488915650922
LSMD1	262	219	224	219	262	224	235	23.5159520326097
LSMEM1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LSP1	0	0	0	0	0	0	0	0
LSR	1	3	2	1	3	2	2	1
LSS	8	11	14	8	14	11	11	3
LST1	0	0	0	0	0	0	0	0
LTA	0	0	0	0	0	0	0	0
LTA4H	173	113	112	112	173	113	132.666666666667	34.9332697200439
LTB	0	0	0	0	0	0	0	0
LTB4R	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LTBP1	217	194	163	163	217	194	191.333333333333	27.0985854489369
LTBP2	426	357	325	325	426	357	369.333333333333	51.6171806023279
LTBP3	16	14	14	14	16	14	14.6666666666667	1.15470053837925
LTBP4	3	4	4	3	4	4	3.66666666666667	0.577350269189626
LTBR	10	11	9	9	11	10	10	1
LTC4S	2	0	1	0	2	1	1	1
LTF	0	0	0	0	0	0	0	0
LTK	0	0	0	0	0	0	0	0
LTN1	48	45	26	26	48	45	39.6666666666667	11.9303534454489
LTV1	96	78	60	60	96	78	78	18
LUC7L	26	14	21	14	26	21	20.3333333333333	6.02771377334171
LUC7L2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LUC7L3	141	137	138	137	141	138	138.666666666667	2.08166599946613
LUCAT1	0	0	0	0	0	0	0	0
LUM	1307	947	923	923	1307	947	1059	215.10927455598
LURAP1	0	0	0	0	0	0	0	0
LURAP1L	29	13	18	13	29	18	20	8.18535277187245
LUZP1	93	72	107	72	107	93	90.6666666666667	17.6162803489651
LUZP2	6	3	4	3	6	4	4.33333333333333	1.52752523165195
LXN	27	17	27	17	27	27	23.6666666666667	5.77350269189626
LY6E	24	15	29	15	29	24	22.6666666666667	7.09459888459759
LY6G5B	0	0	0	0	0	0	0	0
LY6G5C	1	1	1	1	1	1	1	0
LY6G6C	0	0	0	0	0	0	0	0
LY6G6D	0	0	0	0	0	0	0	0
LY6K	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LY75	4	2	2	2	4	2	2.66666666666667	1.15470053837925
LY75-CD302	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LY86	0	0	0	0	0	0	0	0
LY86-AS1	14	17	17	14	17	17	16	1.73205080756888
LY9	1	3	3	1	3	3	2.33333333333333	1.15470053837925
LY96	99	58	65	58	99	65	74	21.9317121994613
LYAR	12	6	10	6	12	10	9.33333333333333	3.05505046330389
LYG1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LYG2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LYL1	0	0	0	0	0	0	0	0
LYN	10	5	8	5	10	8	7.66666666666667	2.51661147842358
LYNX1	1	4	2	1	4	2	2.33333333333333	1.52752523165195
LYPD1	0	0	0	0	0	0	0	0
LYPD3	0	0	0	0	0	0	0	0
LYPD5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LYPLA1	65	60	71	60	71	65	65.3333333333333	5.5075705472861
LYPLA2	3	4	3	3	4	3	3.33333333333333	0.577350269189626
LYPLAL1	80	52	78	52	80	78	70	15.6204993518133
LYRM1	43	36	30	30	43	36	36.3333333333333	6.50640709864771
LYRM2	129	86	105	86	129	105	106.666666666667	21.548395145192
LYRM4	108	79	82	79	108	82	89.6666666666667	15.9478316185409
LYRM5	75	41	43	41	75	43	53	19.0787840283389
LYRM7	49	40	47	40	49	47	45.3333333333333	4.72581562625261
LYRM9	3	5	4	3	5	4	4	1
LYSMD1	2	6	8	2	8	6	5.33333333333333	3.05505046330389
LYSMD2	0	0	0	0	0	0	0	0
LYSMD3	41	36	35	35	41	36	37.3333333333333	3.21455025366432
LYSMD4	4	3	3	3	4	3	3.33333333333333	0.577350269189626
LYST	32	45	24	24	45	32	33.6666666666667	10.5987420637231
LYVE1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LYZ	9	10	14	9	14	10	11	2.64575131106459
LYZL1	0	0	0	0	0	0	0	0
LYZL4	0	0	0	0	0	0	0	0
LZIC	67	54	56	54	67	56	59	7
LZTFL1	34	32	32	32	34	32	32.6666666666667	1.15470053837925
LZTR1	4	2	3	2	4	3	3	1
LZTS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LZTS2	22	19	10	10	22	19	17	6.2449979983984
LZTS3	4	2	2	2	4	2	2.66666666666667	1.15470053837925
M1AP	0	1	0	0	1	0	0.333333333333333	0.577350269189626
M6PR	27	20	16	16	27	20	21	5.56776436283002
MAATS1	0	1	2	0	2	1	1	1
MAB21L1	1	0	2	0	2	1	1	1
MAB21L2	0	0	0	0	0	0	0	0
MAB21L3	18	10	21	10	21	18	16.3333333333333	5.68624070307733
MACC1	7	7	5	5	7	7	6.33333333333333	1.15470053837925
MACF1	189	212	189	189	212	189	196.666666666667	13.2790561913614
MACROD1	2	1	1	1	2	1	1.33333333333333	0.577350269189626
MACROD2	0	0	0	0	0	0	0	0
MAD1L1	1	3	3	1	3	3	2.33333333333333	1.15470053837925
MAD2L1	11	10	8	8	11	10	9.66666666666667	1.52752523165195
MAD2L1BP	60	54	50	50	60	54	54.6666666666667	5.03322295684717
MAD2L2	7	4	6	4	7	6	5.66666666666667	1.52752523165195
MADCAM1	0	0	0	0	0	0	0	0
MADD	4	4	3	3	4	4	3.66666666666667	0.577350269189626
MAEA	113	109	111	109	113	111	111	2
MAF	7	12	11	7	12	11	10	2.64575131106459
MAF1	20	15	7	7	20	15	14	6.557438524302
MAFA	0	0	0	0	0	0	0	0
MAFB	1	1	3	1	3	1	1.66666666666667	1.15470053837925
MAFF	7	2	3	2	7	3	4	2.64575131106459
MAFG	25	20	11	11	25	20	18.6666666666667	7.09459888459759
MAFG-AS1	1	2	0	0	2	1	1	1
MAFIP	11	4	6	4	11	6	7	3.60555127546399
MAFK	0	1	0	0	1	0	0.333333333333333	0.577350269189626
MAGEA1	0	0	0	0	0	0	0	0
MAGEA10	0	2	7	0	7	2	3	3.60555127546399
MAGEA3	0	0	0	0	0	0	0	0
MAGEB10	2	0	2	0	2	2	1.33333333333333	1.15470053837925
MAGEB3	0	0	0	0	0	0	0	0
MAGEC1	0	0	0	0	0	0	0	0
MAGEC2	0	0	0	0	0	0	0	0
MAGED1	212	162	182	162	212	182	185.333333333333	25.1661147842358
MAGED2	496	367	376	367	496	376	413	72.0208303201234
MAGED4	0	0	0	0	0	0	0	0
MAGEE1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
MAGEE2	0	0	0	0	0	0	0	0
MAGEF1	12	13	22	12	22	13	15.6666666666667	5.5075705472861
MAGEH1	72	66	47	47	72	66	61.6666666666667	13.0511813003013
MAGEL2	0	0	0	0	0	0	0	0
MAGI1	26	14	27	14	27	26	22.3333333333333	7.23417813807024
MAGI1-AS1	1	2	2	1	2	2	1.66666666666667	0.577350269189626
MAGI2	1	0	4	0	4	1	1.66666666666667	2.08166599946613
MAGI2-AS2	0	0	0	0	0	0	0	0
MAGI2-AS3	48	47	49	47	49	48	48	1
MAGI3	13	15	10	10	15	13	12.6666666666667	2.51661147842358
MAGIX	0	0	1	0	1	0	0.333333333333333	0.577350269189626
MAGOH	74	64	63	63	74	64	67	6.08276253029822
MAGOH2	0	0	0	0	0	0	0	0
MAGOHB	100	61	76	61	100	76	79	19.672315572906
MAGT1	99	85	76	76	99	85	86.6666666666667	11.5902257671425
MAK	7	7	11	7	11	7	8.33333333333333	2.3094010767585
MAK16	47	28	36	28	47	36	37	9.53939201416946
MAL	0	0	0	0	0	0	0	0
MAL2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
MALAT1	31092	23605	27477	23605	31092	27477	27391.3333333333	3744.23507987056
MALL	4	0	2	0	4	2	2	2
MALSU1	30	22	19	19	30	22	23.6666666666667	5.68624070307733
MALT1	17	5	18	5	18	17	13.3333333333333	7.23417813807024
MAMDC2	172	149	161	149	172	161	160.666666666667	11.5036226178249
MAMDC2-AS1	1	1	5	1	5	1	2.33333333333333	2.3094010767585
MAMDC4	0	1	0	0	1	0	0.333333333333333	0.577350269189626
MAML1	6	9	5	5	9	6	6.66666666666667	2.08166599946613
MAML2	9	13	12	9	13	12	11.3333333333333	2.08166599946613
MAML3	5	4	2	2	5	4	3.66666666666667	1.52752523165195
MAMLD1	11	7	4	4	11	7	7.33333333333333	3.51188458428425
MAMSTR	0	0	0	0	0	0	0	0
MAN1A1	45	16	17	16	45	17	26	16.4620776331543
MAN1A2	29	32	29	29	32	29	30	1.73205080756888
MAN1B1	17	20	10	10	20	17	15.6666666666667	5.13160143944688
MAN1B1-AS1	4	9	4	4	9	4	5.66666666666667	2.88675134594813
MAN1C1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
MAN2A1	10	11	10	10	11	10	10.3333333333333	0.577350269189626
MAN2A2	10	8	4	4	10	8	7.33333333333333	3.05505046330389
MAN2B1	12	14	10	10	14	12	12	2
MAN2B2	22	14	25	14	25	22	20.3333333333333	5.68624070307733
MAN2C1	7	4	7	4	7	7	6	1.73205080756888
MANBA	42	31	31	31	42	31	34.6666666666667	6.35085296108588
MANBAL	108	72	96	72	108	96	92	18.3303027798234
MANEA	21	18	21	18	21	21	20	1.73205080756888
MANEAL	13	3	10	3	13	10	8.66666666666667	5.13160143944688
MANF	26	31	43	26	43	31	33.3333333333333	8.73689494805411
MANSC1	5	7	4	4	7	5	5.33333333333333	1.52752523165195
MANSC4	0	0	0	0	0	0	0	0
MAOA	33	23	30	23	33	30	28.6666666666667	5.13160143944688
MAOB	3	2	3	2	3	3	2.66666666666667	0.577350269189626
MAP10	2	0	1	0	2	1	1	1
MAP1A	184	185	171	171	185	184	180	7.81024967590665
MAP1B	500	441	447	441	500	447	462.666666666667	32.4704994315353
MAP1LC3A	3	0	1	0	3	1	1.33333333333333	1.52752523165195
MAP1LC3B	91	76	69	69	91	76	78.6666666666667	11.2398102000582
MAP1LC3B2	0	0	0	0	0	0	0	0
MAP1LC3C	7	4	11	4	11	7	7.33333333333333	3.51188458428425
MAP1S	2	2	2	2	2	2	2	0
MAP2	4	9	1	1	9	4	4.66666666666667	4.04145188432738
MAP2K1	17	17	14	14	17	17	16	1.73205080756888
MAP2K2	10	10	12	10	12	10	10.6666666666667	1.15470053837925
MAP2K3	12	6	11	6	12	11	9.66666666666667	3.21455025366432
MAP2K4	11	11	8	8	11	11	10	1.73205080756888
MAP2K5	2	2	0	0	2	2	1.33333333333333	1.15470053837925
MAP2K6	1	1	0	0	1	1	0.666666666666667	0.577350269189626
MAP2K7	3	4	1	1	4	3	2.66666666666667	1.52752523165195
MAP3K1	3	1	4	1	4	3	2.66666666666667	1.52752523165195
MAP3K10	1	0	0	0	1	0	0.333333333333333	0.577350269189626
MAP3K11	1	1	3	1	3	1	1.66666666666667	1.15470053837925
MAP3K12	0	1	0	0	1	0	0.333333333333333	0.577350269189626
MAP3K13	101	89	79	79	101	89	89.6666666666667	11.0151410945722
MAP3K14	2	0	4	0	4	2	2	2
MAP3K14-AS1	0	0	0	0	0	0	0	0
MAP3K15	0	0	0	0	0	0	0	0
MAP3K19	0	0	0	0	0	0	0	0
MAP3K2	64	49	47	47	64	49	53.3333333333333	9.29157324317757
MAP3K3	5	6	9	5	9	6	6.66666666666667	2.08166599946613
MAP3K4	12	12	10	10	12	12	11.3333333333333	1.15470053837925
MAP3K5	5	2	5	2	5	5	4	1.73205080756888
MAP3K6	5	1	9	1	9	5	5	4
MAP3K7	39	45	23	23	45	39	35.6666666666667	11.3724814061547
MAP3K7CL	303	242	271	242	303	271	272	30.5122926047847
MAP3K8	9	9	6	6	9	9	8	1.73205080756888
MAP3K9	3	0	3	0	3	3	2	1.73205080756888
MAP4	313	271	244	244	313	271	276	34.7706773014274
MAP4K1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
MAP4K2	0	0	0	0	0	0	0	0
MAP4K3	19	21	20	19	21	20	20	1
MAP4K4	96	93	98	93	98	96	95.6666666666667	2.51661147842358
MAP4K5	48	37	42	37	48	42	42.3333333333333	5.5075705472861
MAP6	4	5	5	4	5	5	4.66666666666667	0.577350269189626
MAP6D1	2	1	0	0	2	1	1	1
MAP7	1	0	0	0	1	0	0.333333333333333	0.577350269189626
MAP7D1	30	25	30	25	30	30	28.3333333333333	2.88675134594813
MAP7D2	0	0	0	0	0	0	0	0
MAP7D3	36	37	41	36	41	37	38	2.64575131106459
MAP9	36	21	34	21	36	34	30.3333333333333	8.14452781524708
MAPK1	41	50	35	35	50	41	42	7.54983443527075
MAPK10	5	5	4	4	5	5	4.66666666666667	0.577350269189626
MAPK11	3	0	1	0	3	1	1.33333333333333	1.52752523165195
MAPK12	16	12	11	11	16	12	13	2.64575131106459
MAPK13	14	7	8	7	14	8	9.66666666666667	3.78593889720018
MAPK14	17	15	15	15	17	15	15.6666666666667	1.15470053837925
MAPK15	0	0	0	0	0	0	0	0
MAPK1IP1L	209	175	176	175	209	176	186.666666666667	19.3476958145753
MAPK3	5	7	4	4	7	5	5.33333333333333	1.52752523165195
MAPK4	0	0	0	0	0	0	0	0
MAPK6	41	34	29	29	41	34	34.6666666666667	6.02771377334171
MAPK7	5	11	7	5	11	7	7.66666666666667	3.05505046330389
MAPK8	16	14	8	8	16	14	12.6666666666667	4.16333199893227
MAPK8IP1	0	0	0	0	0	0	0	0
MAPK8IP2	0	0	0	0	0	0	0	0
MAPK8IP3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
MAPK9	10	16	14	10	16	14	13.3333333333333	3.05505046330389
MAPKAP1	35	22	16	16	35	22	24.3333333333333	9.71253485622231
MAPKAPK2	6	15	1	1	15	6	7.33333333333333	7.09459888459759
MAPKAPK3	3	6	7	3	7	6	5.33333333333333	2.08166599946613
MAPKAPK5	10	8	5	5	10	8	7.66666666666667	2.51661147842358
MAPKAPK5-AS1	35	29	17	17	35	29	27	9.16515138991168
MAPKBP1	4	3	4	3	4	4	3.66666666666667	0.577350269189626
MAPRE1	180	143	161	143	180	161	161.333333333333	18.5022521151706
MAPRE2	38	35	22	22	38	35	31.6666666666667	8.50490054811538
MAPRE3	0	4	1	0	4	1	1.66666666666667	2.08166599946613
MAPT	0	0	0	0	0	0	0	0
MAPT-IT1	0	0	0	0	0	0	0	0
MARC1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
MARC2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
MARCH1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
MARCH2	14	16	15	14	16	15	15	1
MARCH3	12	11	13	11	13	12	12	1
MARCH4	0	0	1	0	1	0	0.333333333333333	0.577350269189626
MARCH5	22	14	12	12	22	14	16	5.29150262212918
MARCH6	72	65	72	65	72	72	69.6666666666667	4.04145188432738
MARCH7	120	88	60	60	120	88	89.3333333333333	30.0222139978605
MARCH8	0	5	0	0	5	0	1.66666666666667	2.88675134594813
MARCH9	4	2	0	0	4	2	2	2
MARCKS	484	374	398	374	484	398	418.666666666667	57.8388566046506
MARCKSL1	24	19	16	16	24	19	19.6666666666667	4.04145188432738
MARCO	0	0	0	0	0	0	0	0
MARK1	0	0	0	0	0	0	0	0
MARK2	4	2	2	2	4	2	2.66666666666667	1.15470053837925
MARK2P9	0	0	0	0	0	0	0	0
MARK3	22	15	14	14	22	15	17	4.35889894354067
MARK4	3	6	7	3	7	6	5.33333333333333	2.08166599946613
MARS	96	92	95	92	96	95	94.3333333333333	2.08166599946613
MARS2	3	2	0	0	3	2	1.66666666666667	1.52752523165195
MARVELD1	32	41	32	32	41	32	35	5.19615242270663
MARVELD2	2	0	4	0	4	2	2	2
MARVELD3	7	10	12	7	12	10	9.66666666666667	2.51661147842358
MAS1	0	0	0	0	0	0	0	0
MASP1	45	32	33	32	45	33	36.6666666666667	7.23417813807024
MASP2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
MAST1	0	0	0	0	0	0	0	0
MAST2	6	7	2	2	7	6	5	2.64575131106459
MAST3	7	3	10	3	10	7	6.66666666666667	3.51188458428425
MAST4	13	13	7	7	13	13	11	3.46410161513775
MASTL	27	14	21	14	27	21	20.6666666666667	6.50640709864771
MAT2A	24	16	15	15	24	16	18.3333333333333	4.93288286231625
MAT2B	56	40	45	40	56	45	47	8.18535277187245
MATN1	0	0	0	0	0	0	0	0
MATN1-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
MATN2	11	7	8	7	11	8	8.66666666666667	2.08166599946613
MATN3	4	2	4	2	4	4	3.33333333333333	1.15470053837925
MATN4	0	0	0	0	0	0	0	0
MATR3	330	244	264	244	330	264	279.333333333333	45.0037035513005
MAU2	10	13	11	10	13	11	11.3333333333333	1.52752523165195
MAVS	50	52	50	50	52	50	50.6666666666667	1.15470053837925
MAX	31	27	27	27	31	27	28.3333333333333	2.3094010767585
MAZ	27	20	14	14	27	20	20.3333333333333	6.50640709864771
MB	0	0	0	0	0	0	0	0
MB21D1	8	3	1	1	8	3	4	3.60555127546399
MB21D2	11	9	10	9	11	10	10	1
MBD1	16	12	15	12	16	15	14.3333333333333	2.08166599946613
MBD2	22	15	14	14	22	15	17	4.35889894354067
MBD3	4	8	3	3	8	4	5	2.64575131106459
MBD4	32	35	36	32	36	35	34.3333333333333	2.08166599946613
MBD5	4	5	3	3	5	4	4	1
MBD6	3	2	1	1	3	2	2	1
MBIP	76	54	60	54	76	60	63.3333333333333	11.3724814061547
MBL1P	0	0	0	0	0	0	0	0
MBLAC1	0	0	0	0	0	0	0	0
MBLAC2	3	5	5	3	5	5	4.33333333333333	1.15470053837925
MBNL1	176	136	125	125	176	136	145.666666666667	26.8390263112009
MBNL1-AS1	6	4	2	2	6	4	4	2
MBNL2	150	95	107	95	150	107	117.333333333333	28.9194283023253
MBNL3	2	0	1	0	2	1	1	1
MBOAT1	5	8	8	5	8	8	7	1.73205080756888
MBOAT2	10	7	6	6	10	7	7.66666666666667	2.08166599946613
MBOAT4	0	0	0	0	0	0	0	0
MBOAT7	8	10	9	8	10	9	9	1
MBP	32	24	21	21	32	24	25.6666666666667	5.68624070307733
MBTD1	6	3	5	3	6	5	4.66666666666667	1.52752523165195
MBTPS1	65	59	57	57	65	59	60.3333333333333	4.16333199893227
MBTPS2	32	24	17	17	32	24	24.3333333333333	7.50555349946513
MC1R	0	2	1	0	2	1	1	1
MC2R	0	2	1	0	2	1	1	1
MC4R	0	0	0	0	0	0	0	0
MCAM	15	19	12	12	19	15	15.3333333333333	3.51188458428425
MCAT	2	3	7	2	7	3	4	2.64575131106459
MCC	25	21	18	18	25	21	21.3333333333333	3.51188458428425
MCCC1	7	4	7	4	7	7	6	1.73205080756888
MCCC2	6	6	7	6	7	6	6.33333333333333	0.577350269189626
MCEE	55	41	35	35	55	41	43.6666666666667	10.2632028788938
MCF2	0	0	0	0	0	0	0	0
MCF2L	0	0	0	0	0	0	0	0
MCF2L-AS1	0	0	0	0	0	0	0	0
MCF2L2	1	2	4	1	4	2	2.33333333333333	1.52752523165195
MCFD2	236	169	185	169	236	185	196.666666666667	34.9904748943671
MCHR1	0	0	0	0	0	0	0	0
MCHR2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
MCL1	45	42	41	41	45	42	42.6666666666667	2.08166599946613
MCM10	0	0	0	0	0	0	0	0
MCM2	0	3	3	0	3	3	2	1.73205080756888
MCM3	18	17	13	13	18	17	16	2.64575131106459
MCM3AP	7	17	9	7	17	9	11	5.29150262212918
MCM3AP-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
MCM4	7	8	11	7	11	8	8.66666666666667	2.08166599946613
MCM5	2	1	0	0	2	1	1	1
MCM6	5	4	2	2	5	4	3.66666666666667	1.52752523165195
MCM7	6	14	15	6	15	14	11.6666666666667	4.93288286231625
MCM8	3	2	1	1	3	2	2	1
MCM9	3	4	3	3	4	3	3.33333333333333	0.577350269189626
MCMBP	20	20	27	20	27	20	22.3333333333333	4.04145188432738
MCMDC2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
MCOLN1	1	1	1	1	1	1	1	0
MCOLN2	0	0	0	0	0	0	0	0
MCOLN3	0	0	0	0	0	0	0	0
MCPH1	30	30	19	19	30	30	26.3333333333333	6.35085296108588
MCRS1	47	39	36	36	47	39	40.6666666666667	5.68624070307733
MCTP1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
MCTP2	0	0	0	0	0	0	0	0
MCTS1	135	86	96	86	135	96	105.666666666667	25.8907963055085
MCU	22	21	22	21	22	22	21.6666666666667	0.577350269189626
MCUR1	26	26	15	15	26	26	22.3333333333333	6.35085296108588
MDC1	7	3	10	3	10	7	6.66666666666667	3.51188458428425
MDFI	0	0	0	0	0	0	0	0
MDFIC	50	40	37	37	50	40	42.3333333333333	6.80685928555405
MDGA1	0	0	0	0	0	0	0	0
MDGA2	0	0	0	0	0	0	0	0
MDH1	394	297	296	296	394	297	329	56.2938717801503
MDH1B	3	3	2	2	3	3	2.66666666666667	0.577350269189626
MDH2	385	257	269	257	385	269	303.666666666667	70.691819422995
MDK	26	14	13	13	26	14	17.6666666666667	7.23417813807024
MDM1	21	17	13	13	21	17	17	4
MDM2	260	248	222	222	260	248	243.333333333333	19.4250697124446
MDM4	53	36	44	36	53	44	44.3333333333333	8.50490054811538
MDN1	29	20	23	20	29	23	24	4.58257569495584
MDP1	15	4	7	4	15	7	8.66666666666667	5.68624070307733
MDS2	1	1	1	1	1	1	1	0
ME1	15	17	10	10	17	15	14	3.60555127546399
ME2	23	24	15	15	24	23	20.6666666666667	4.93288286231625
ME3	2	4	2	2	4	2	2.66666666666667	1.15470053837925
MEA1	284	238	225	225	284	238	249	31
MEAF6	51	42	48	42	51	48	47	4.58257569495584
MECOM	26	35	29	26	35	29	30	4.58257569495584
MECP2	21	16	15	15	21	16	17.3333333333333	3.21455025366432
MECR	7	6	4	4	7	6	5.66666666666667	1.52752523165195
MED1	31	44	32	31	44	32	35.6666666666667	7.23417813807024
MED10	124	78	93	78	124	93	98.3333333333333	23.4591844132172
MED11	43	33	34	33	43	34	36.6666666666667	5.5075705472861
MED12	3	3	7	3	7	3	4.33333333333333	2.3094010767585
MED12L	0	0	0	0	0	0	0	0
MED13	35	39	28	28	39	35	34	5.56776436283002
MED13L	36	32	33	32	36	33	33.6666666666667	2.08166599946613
MED14	9	13	9	9	13	9	10.3333333333333	2.3094010767585
MED15	12	8	2	2	12	8	7.33333333333333	5.03322295684717
MED16	1	1	3	1	3	1	1.66666666666667	1.15470053837925
MED17	13	4	11	4	13	11	9.33333333333333	4.72581562625261
MED18	48	57	69	48	69	57	58	10.5356537528527
MED19	31	28	28	28	31	28	29	1.73205080756888
MED20	18	10	17	10	18	17	15	4.35889894354067
MED21	108	77	107	77	108	107	97.3333333333333	17.6162803489651
MED22	2	5	3	2	5	3	3.33333333333333	1.52752523165195
MED23	23	20	14	14	23	20	19	4.58257569495584
MED24	1	2	4	1	4	2	2.33333333333333	1.52752523165195
MED25	0	1	1	0	1	1	0.666666666666667	0.577350269189626
MED26	4	4	4	4	4	4	4	0
MED27	98	65	67	65	98	67	76.6666666666667	18.5022521151706
MED28	102	70	69	69	102	70	80.3333333333333	18.7705443004015
MED29	35	18	25	18	35	25	26	8.54400374531753
MED30	11	7	11	7	11	11	9.66666666666667	2.3094010767585
MED31	65	35	40	35	65	40	46.6666666666667	16.0727512683216
MED4	191	148	118	118	191	148	152.333333333333	36.6924152016917
MED4-AS1	0	0	0	0	0	0	0	0
MED6	44	20	27	20	44	27	30.3333333333333	12.3423390543824
MED7	51	40	39	39	51	40	43.3333333333333	6.65832811847939
MED8	108	76	87	76	108	87	90.3333333333333	16.2583311976763
MED9	3	2	5	2	5	3	3.33333333333333	1.52752523165195
MEDAG	39	27	30	27	39	30	32	6.2449979983984
MEF2A	90	48	74	48	90	74	70.6666666666667	21.1974841274462
MEF2BNB	4	7	6	4	7	6	5.66666666666667	1.52752523165195
MEF2BNB-MEF2B	0	0	0	0	0	0	0	0
MEF2C	11	13	9	9	13	11	11	2
MEF2D	4	6	3	3	6	4	4.33333333333333	1.52752523165195
MEFV	17	15	22	15	22	17	18	3.60555127546399
MEG3	198	124	158	124	198	158	160	37.0405183549043
MEG8	0	0	0	0	0	0	0	0
MEG9	0	1	0	0	1	0	0.333333333333333	0.577350269189626
MEGF10	0	0	0	0	0	0	0	0
MEGF11	0	0	0	0	0	0	0	0
MEGF6	97	102	90	90	102	97	96.3333333333333	6.02771377334171
MEGF8	15	7	19	7	19	15	13.6666666666667	6.11010092660779
MEGF9	12	9	15	9	15	12	12	3
MEI1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
MEIG1	1	2	4	1	4	2	2.33333333333333	1.52752523165195
MEIOB	0	0	0	0	0	0	0	0
MEIS1	37	23	25	23	37	25	28.3333333333333	7.57187779440036
MEIS1-AS3	0	0	0	0	0	0	0	0
MEIS2	17	19	19	17	19	19	18.3333333333333	1.15470053837925
MEIS3	1	3	1	1	3	1	1.66666666666667	1.15470053837925
MEIS3P1	2	3	3	2	3	3	2.66666666666667	0.577350269189626
MELK	6	2	2	2	6	2	3.33333333333333	2.3094010767585
MEMO1	23	13	9	9	23	13	15	7.21110255092798
MEN1	8	5	2	2	8	5	5	3
MEOX1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
MEOX2	0	0	0	0	0	0	0	0
MEPCE	7	9	5	5	9	7	7	2
MERTK	0	0	0	0	0	0	0	0
MESDC1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
MESDC2	218	197	221	197	221	218	212	13.076696830622
MESP1	0	0	0	0	0	0	0	0
MESP2	0	0	0	0	0	0	0	0
