Gene	SUN+LOP.A.7.15.1.F5	SUN+LOP.A.7.16.1.F6	SUN+LOP.A.8.12.1.G9	Min	Max	Median	Mean	Std
LINC00271	0	0	0	0	0	0	0	0
LINC00276	0	0	0	0	0	0	0	0
LINC00277	0	0	0	0	0	0	0	0
LINC00278	0	0	0	0	0	0	0	0
LINC00282	0	0	0	0	0	0	0	0
LINC00284	0	0	0	0	0	0	0	0
LINC00290	0	0	0	0	0	0	0	0
LINC00294	26	9	2	2	26	9	12.3333333333333	12.3423390543824
LINC00303	0	0	0	0	0	0	0	0
LINC00304	0	0	0	0	0	0	0	0
LINC00305	0	0	0	0	0	0	0	0
LINC00310	2	1	0	0	2	1	1	1
LINC00311	3	0	1	0	3	1	1.33333333333333	1.52752523165195
LINC00312	4	3	0	0	4	3	2.33333333333333	2.08166599946613
LINC00313	0	0	0	0	0	0	0	0
LINC00314	0	0	0	0	0	0	0	0
LINC00319	0	0	0	0	0	0	0	0
LINC00320	0	0	0	0	0	0	0	0
LINC00323	0	0	0	0	0	0	0	0
LINC00324	2	1	0	0	2	1	1	1
LINC00327	1	3	0	0	3	1	1.33333333333333	1.52752523165195
LINC00330	8	6	5	5	8	6	6.33333333333333	1.52752523165195
LINC00336	0	0	0	0	0	0	0	0
LINC00337	0	0	0	0	0	0	0	0
LINC00338	11	11	1	1	11	11	7.66666666666667	5.77350269189626
LINC00339	20	19	3	3	20	19	14	9.53939201416946
LINC00340	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LINC00341	4	1	1	1	4	1	2	1.73205080756888
LINC00342	13	8	0	0	13	8	7	6.557438524302
LINC00346	2	0	1	0	2	1	1	1
LINC00348	0	0	0	0	0	0	0	0
LINC00353	0	0	0	0	0	0	0	0
LINC00366	0	0	0	0	0	0	0	0
LINC00371	0	0	0	0	0	0	0	0
LINC00398	0	0	0	0	0	0	0	0
LINC00410	0	0	0	0	0	0	0	0
LINC00426	0	0	0	0	0	0	0	0
LINC00441	0	0	0	0	0	0	0	0
LINC00460	0	0	0	0	0	0	0	0
LINC00461	0	0	0	0	0	0	0	0
LINC00462	0	0	0	0	0	0	0	0
LINC00466	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LINC00467	4	3	1	1	4	3	2.66666666666667	1.52752523165195
LINC00470	5	3	2	2	5	3	3.33333333333333	1.52752523165195
LINC00471	2	4	1	1	4	2	2.33333333333333	1.52752523165195
LINC00472	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00475	0	0	0	0	0	0	0	0
LINC00476	7	7	3	3	7	7	5.66666666666667	2.3094010767585
LINC00477	0	0	0	0	0	0	0	0
LINC00478	7	10	0	0	10	7	5.66666666666667	5.13160143944688
LINC00479	0	0	0	0	0	0	0	0
LINC00482	0	0	0	0	0	0	0	0
LINC00483	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LINC00485	4	5	0	0	5	4	3	2.64575131106459
LINC00488	0	0	0	0	0	0	0	0
LINC00491	0	0	0	0	0	0	0	0
LINC00493	370	254	53	53	370	254	225.666666666667	160.388071044368
LINC00511	0	0	0	0	0	0	0	0
LINC00514	8	1	3	1	8	3	4	3.60555127546399
LINC00515	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LINC00518	0	0	0	0	0	0	0	0
LINC00520	0	0	0	0	0	0	0	0
LINC00525	0	0	0	0	0	0	0	0
LINC00526	2	1	3	1	3	2	2	1
LINC00528	0	0	0	0	0	0	0	0
LINC00534	0	0	0	0	0	0	0	0
LINC00535	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00536	0	0	0	0	0	0	0	0
LINC00540	0	0	0	0	0	0	0	0
LINC00545	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LINC00547	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00548	0	0	0	0	0	0	0	0
LINC00551	0	0	0	0	0	0	0	0
LINC00559	0	0	0	0	0	0	0	0
LINC00563	0	0	0	0	0	0	0	0
LINC00565	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LINC00568	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LINC00570	0	0	0	0	0	0	0	0
LINC00571	0	0	0	0	0	0	0	0
LINC00574	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LINC00578	0	0	0	0	0	0	0	0
LINC00581	0	0	0	0	0	0	0	0
LINC00582	0	0	0	0	0	0	0	0
LINC00588	0	0	0	0	0	0	0	0
LINC00592	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LINC00595	0	0	0	0	0	0	0	0
LINC00597	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00598	5	2	1	1	5	2	2.66666666666667	2.08166599946613
LINC00601	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LINC00607	9	3	0	0	9	3	4	4.58257569495584
LINC00612	0	0	0	0	0	0	0	0
LINC00616	0	0	0	0	0	0	0	0
LINC00617	0	0	0	0	0	0	0	0
LINC00619	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00620	0	0	0	0	0	0	0	0
LINC00622	3	0	1	0	3	1	1.33333333333333	1.52752523165195
LINC00623	3	0	0	0	3	0	1	1.73205080756888
LINC00626	0	0	0	0	0	0	0	0
LINC00629	1	3	0	0	3	1	1.33333333333333	1.52752523165195
LINC00630	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LINC00632	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00637	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LINC00638	1	1	1	1	1	1	1	0
LINC00639	0	0	0	0	0	0	0	0
LINC00640	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00641	4	6	0	0	6	4	3.33333333333333	3.05505046330389
LINC00643	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00645	0	0	0	0	0	0	0	0
LINC00649	1	2	4	1	4	2	2.33333333333333	1.52752523165195
LINC00652	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00654	0	0	0	0	0	0	0	0
LINC00657	134	75	15	15	134	75	74.6666666666667	59.5007002759912
LINC00662	16	2	0	0	16	2	6	8.71779788708135
LINC00663	10	7	1	1	10	7	6	4.58257569495584
LINC00664	0	0	0	0	0	0	0	0
LINC00665	10	5	1	1	10	5	5.33333333333333	4.50924975282289
LINC00667	8	6	2	2	8	6	5.33333333333333	3.05505046330389
LINC00668	0	0	0	0	0	0	0	0
LINC00669	0	0	0	0	0	0	0	0
LINC00670	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LINC00671	8	3	0	0	8	3	3.66666666666667	4.04145188432738
LINC00672	12	5	0	0	12	5	5.66666666666667	6.02771377334171
LINC00673	0	0	0	0	0	0	0	0
LINC00674	25	20	4	4	25	20	16.3333333333333	10.9696551146029
LINC00678	0	0	0	0	0	0	0	0
LINC00685	2	3	0	0	3	2	1.66666666666667	1.52752523165195
LINC00689	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00691	0	0	0	0	0	0	0	0
LINC00693	0	0	0	0	0	0	0	0
LINC00696	0	0	0	0	0	0	0	0
LINC00700	2	4	1	1	4	2	2.33333333333333	1.52752523165195
LINC00704	2	1	0	0	2	1	1	1
LINC00705	0	0	0	0	0	0	0	0
LINC00707	0	0	0	0	0	0	0	0
LINC00710	0	0	0	0	0	0	0	0
LINC00837	0	0	0	0	0	0	0	0
LINC00839	7	3	0	0	7	3	3.33333333333333	3.51188458428425
LINC00842	18	6	1	1	18	6	8.33333333333333	8.7368949480541
LINC00847	12	18	4	4	18	12	11.3333333333333	7.02376916856849
LINC00852	0	0	0	0	0	0	0	0
LINC00853	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00854	0	0	0	0	0	0	0	0
LINC00856	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00857	0	0	0	0	0	0	0	0
LINC00858	0	0	0	0	0	0	0	0
LINC00861	0	0	0	0	0	0	0	0
LINC00862	2	1	0	0	2	1	1	1
LINC00864	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LINC00865	0	0	0	0	0	0	0	0
LINC00869	2	1	0	0	2	1	1	1
LINC00870	0	0	0	0	0	0	0	0
LINC00875	0	0	0	0	0	0	0	0
LINC00880	0	0	0	0	0	0	0	0
LINC00881	2	1	0	0	2	1	1	1
LINC00882	6	2	1	1	6	2	3	2.64575131106459
LINC00883	8	11	3	3	11	8	7.33333333333333	4.04145188432738
LINC00884	2	2	1	1	2	2	1.66666666666667	0.577350269189626
LINC00886	7	1	0	0	7	1	2.66666666666667	3.78593889720018
LINC00887	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LINC00888	5	6	0	0	6	5	3.66666666666667	3.21455025366432
LINC00889	0	0	0	0	0	0	0	0
LINC00890	0	0	0	0	0	0	0	0
LINC00893	0	0	0	0	0	0	0	0
LINC00894	0	0	0	0	0	0	0	0
LINC00896	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LINC00899	1	3	0	0	3	1	1.33333333333333	1.52752523165195
LINC00900	0	0	0	0	0	0	0	0
LINC00904	0	0	0	0	0	0	0	0
LINC00906	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00907	5	1	0	0	5	1	2	2.64575131106459
LINC00908	2	3	0	0	3	2	1.66666666666667	1.52752523165195
LINC00909	10	7	1	1	10	7	6	4.58257569495584
LINC00910	7	3	0	0	7	3	3.33333333333333	3.51188458428425
LINC00911	0	0	0	0	0	0	0	0
LINC00918	0	0	0	0	0	0	0	0
LINC00920	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00921	1	1	1	1	1	1	1	0
LINC00922	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00923	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00924	5	4	2	2	5	4	3.66666666666667	1.52752523165195
LINC00926	3	1	0	0	3	1	1.33333333333333	1.52752523165195
LINC00927	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00933	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LINC00934	1	2	0	0	2	1	1	1
LINC00935	0	0	0	0	0	0	0	0
LINC00936	3	0	0	0	3	0	1	1.73205080756888
LINC00937	0	0	0	0	0	0	0	0
LINC00938	7	3	2	2	7	3	4	2.64575131106459
LINC00939	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00941	3	2	5	2	5	3	3.33333333333333	1.52752523165195
LINC00942	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00943	0	0	0	0	0	0	0	0
LINC00948	0	0	0	0	0	0	0	0
LINC00950	2	1	0	0	2	1	1	1
LINC00954	0	0	0	0	0	0	0	0
LINC00957	0	0	0	0	0	0	0	0
LINC00958	3	1	0	0	3	1	1.33333333333333	1.52752523165195
LINC00959	2	4	0	0	4	2	2	2
LINC00960	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00961	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00963	8	6	3	3	8	6	5.66666666666667	2.51661147842358
LINC00964	2	1	0	0	2	1	1	1
LINC00965	7	2	0	0	7	2	3	3.60555127546399
LINC00967	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00968	5	5	2	2	5	5	4	1.73205080756888
LINC00971	8	1	1	1	8	1	3.33333333333333	4.04145188432738
LINC00974	0	0	0	0	0	0	0	0
LINGO1	0	0	0	0	0	0	0	0
LINS	5	7	3	3	7	5	5	2
LIPA	25	15	4	4	25	15	14.6666666666667	10.5039675043925
LIPC	4	0	0	0	4	0	1.33333333333333	2.3094010767585
LIPE	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LIPE-AS1	0	0	0	0	0	0	0	0
LIPG	0	0	0	0	0	0	0	0
LIPH	0	0	0	0	0	0	0	0
LIPI	0	0	0	0	0	0	0	0
LIPJ	0	0	0	0	0	0	0	0
LIPM	0	0	0	0	0	0	0	0
LIPT1	20	13	2	2	20	13	11.6666666666667	9.07377172587747
LIPT2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LITAF	178	109	23	23	178	109	103.333333333333	77.6552209019673
LIX1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LIX1L	3	0	0	0	3	0	1	1.73205080756888
LLGL1	13	10	4	4	13	10	9	4.58257569495584
LLGL2	0	0	0	0	0	0	0	0
LLPH	124	87	13	13	124	87	74.6666666666667	56.518433571122
LMAN1	387	185	43	43	387	185	205	172.869893272368
LMAN2	35	24	3	3	35	24	20.6666666666667	16.2583311976763
LMAN2L	21	10	5	5	21	10	12	8.18535277187245
LMBR1	10	5	0	0	10	5	5	5
LMBR1L	4	3	1	1	4	3	2.66666666666667	1.52752523165195
LMBRD1	63	42	10	10	63	42	38.3333333333333	26.6895734947813
LMBRD2	3	2	1	1	3	2	2	1
LMCD1	49	29	13	13	49	29	30.3333333333333	18.0369990112916
LMCD1-AS1	1	2	0	0	2	1	1	1
LMF1	5	3	0	0	5	3	2.66666666666667	2.51661147842358
LMF2	5	2	1	1	5	2	2.66666666666667	2.08166599946613
LMLN	5	5	0	0	5	5	3.33333333333333	2.88675134594813
LMNA	57	28	6	6	57	28	30.3333333333333	25.5799400572662
LMNB1	0	0	0	0	0	0	0	0
LMNB2	4	2	0	0	4	2	2	2
LMO2	0	0	0	0	0	0	0	0
LMO3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LMO4	50	34	4	4	50	34	29.3333333333333	23.3523731841827
LMO7	157	100	18	18	157	100	91.6666666666667	69.8736955751829
LMOD1	43	32	1	1	43	32	25.3333333333333	21.7791949652262
LMOD3	2	1	1	1	2	1	1.33333333333333	0.577350269189626
LMTK2	5	11	0	0	11	5	5.33333333333333	5.5075705472861
LMTK3	0	0	0	0	0	0	0	0
LMX1B	3	2	0	0	3	2	1.66666666666667	1.52752523165195
LNP1	5	1	1	1	5	1	2.33333333333333	2.3094010767585
LNPEP	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LNX1	22	10	1	1	22	10	11	10.5356537528527
LNX2	7	5	1	1	7	5	4.33333333333333	3.05505046330389
LOC100126784	1	2	0	0	2	1	1	1
LOC100127983	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100128164	0	0	0	0	0	0	0	0
LOC100128176	0	0	0	0	0	0	0	0
LOC100128233	3	3	1	1	3	3	2.33333333333333	1.15470053837925
LOC100128239	0	0	0	0	0	0	0	0
LOC100128264	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100128288	4	5	0	0	5	4	3	2.64575131106459
LOC100128361	0	0	0	0	0	0	0	0
LOC100128398	8	4	0	0	8	4	4	4
LOC100128505	0	0	0	0	0	0	0	0
LOC100128531	2	3	0	0	3	2	1.66666666666667	1.52752523165195
LOC100128568	0	0	0	0	0	0	0	0
LOC100128573	1	0	2	0	2	1	1	1
LOC100128593	0	0	0	0	0	0	0	0
LOC100128682	0	0	0	0	0	0	0	0
LOC100128714	0	0	0	0	0	0	0	0
LOC100128770	0	0	0	0	0	0	0	0
LOC100128822	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100128881	0	0	0	0	0	0	0	0
LOC100128885	0	0	0	0	0	0	0	0
LOC100129027	0	0	0	0	0	0	0	0
LOC100129034	15	10	4	4	15	10	9.66666666666667	5.5075705472861
LOC100129046	0	0	0	0	0	0	0	0
LOC100129055	0	0	0	0	0	0	0	0
LOC100129138	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100129195	35	23	6	6	35	23	21.3333333333333	14.5716619962629
LOC100129269	5	4	1	1	5	4	3.33333333333333	2.08166599946613
LOC100129316	0	0	0	0	0	0	0	0
LOC100129361	53	28	8	8	53	28	29.6666666666667	22.5462487641145
LOC100129427	0	0	0	0	0	0	0	0
LOC100129518	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100129534	0	0	0	0	0	0	0	0
LOC100129550	4	4	0	0	4	4	2.66666666666667	2.3094010767585
LOC100129617	0	0	0	0	0	0	0	0
LOC100129726	0	0	0	0	0	0	0	0
LOC100129858	3	1	1	1	3	1	1.66666666666667	1.15470053837925
LOC100129917	2	3	1	1	3	2	2	1
LOC100129924	0	0	0	0	0	0	0	0
LOC100129931	4	2	1	1	4	2	2.33333333333333	1.52752523165195
LOC100129935	0	0	0	0	0	0	0	0
LOC100129961	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100129973	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130000	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100130075	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130093	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130275	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100130301	0	0	0	0	0	0	0	0
LOC100130348	0	0	0	0	0	0	0	0
LOC100130357	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100130417	0	0	0	0	0	0	0	0
LOC100130451	0	0	0	0	0	0	0	0
LOC100130476	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130480	0	0	0	0	0	0	0	0
LOC100130539	0	0	0	0	0	0	0	0
LOC100130557	3	1	1	1	3	1	1.66666666666667	1.15470053837925
LOC100130691	1	2	0	0	2	1	1	1
LOC100130705	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130744	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130849	0	0	0	0	0	0	0	0
LOC100130872	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LOC100130880	0	0	0	0	0	0	0	0
LOC100130899	3	3	0	0	3	3	2	1.73205080756888
LOC100130950	0	0	0	0	0	0	0	0
LOC100130954	15	6	4	4	15	6	8.33333333333333	5.85946527708232
LOC100130987	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130992	0	0	0	0	0	0	0	0
LOC100131060	0	0	0	0	0	0	0	0
LOC100131067	8	3	2	2	8	3	4.33333333333333	3.21455025366432
LOC100131257	21	15	3	3	21	15	13	9.16515138991168
LOC100131347	0	3	0	0	3	0	1	1.73205080756888
LOC100131496	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LOC100131564	22	8	2	2	22	8	10.6666666666667	10.2632028788938
LOC100131655	0	0	0	0	0	0	0	0
LOC100131691	2	1	0	0	2	1	1	1
LOC100132077	2	0	1	0	2	1	1	1
LOC100132078	0	0	0	0	0	0	0	0
LOC100132111	0	0	0	0	0	0	0	0
LOC100132215	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100132352	8	8	2	2	8	8	6	3.46410161513775
LOC100132354	0	0	0	0	0	0	0	0
LOC100132356	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100132707	3	1	2	1	3	2	2	1
LOC100132735	0	0	0	0	0	0	0	0
LOC100132781	0	0	0	0	0	0	0	0
LOC100132815	6	5	2	2	6	5	4.33333333333333	2.08166599946613
LOC100132832	0	0	0	0	0	0	0	0
LOC100132891	39	26	13	13	39	26	26	13
LOC100133050	0	0	0	0	0	0	0	0
LOC100133091	0	0	0	0	0	0	0	0
LOC100133286	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100133315	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LOC100133612	2	4	0	0	4	2	2	2
LOC100133669	0	0	0	0	0	0	0	0
LOC100133920	0	0	0	0	0	0	0	0
LOC100133957	0	0	0	0	0	0	0	0
LOC100133985	0	0	0	0	0	0	0	0
LOC100134229	1	2	0	0	2	1	1	1
LOC100134259	0	0	0	0	0	0	0	0
LOC100134368	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100134868	6	6	1	1	6	6	4.33333333333333	2.88675134594813
LOC100144595	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LOC100144602	2	2	2	2	2	2	2	0
LOC100188947	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100190940	0	0	0	0	0	0	0	0
LOC100190986	28	18	5	5	28	18	17	11.5325625946708
LOC100216479	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100216545	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LOC100216546	9	10	0	0	10	9	6.33333333333333	5.5075705472861
LOC100233156	10	2	0	0	10	2	4	5.29150262212918
LOC100240734	0	0	0	0	0	0	0	0
LOC100240735	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100268168	8	8	1	1	8	8	5.66666666666667	4.04145188432738
LOC100270746	0	0	0	0	0	0	0	0
LOC100270804	3	0	0	0	3	0	1	1.73205080756888
LOC100271832	0	0	0	0	0	0	0	0
LOC100271836	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100272216	0	0	0	0	0	0	0	0
LOC100272217	0	2	1	0	2	1	1	1
LOC100287015	7	6	0	0	7	6	4.33333333333333	3.78593889720018
LOC100287036	0	0	0	0	0	0	0	0
LOC100287042	1	2	0	0	2	1	1	1
LOC100287072	0	0	0	0	0	0	0	0
LOC100287177	2	0	1	0	2	1	1	1
LOC100287225	0	0	0	0	0	0	0	0
LOC100287632	0	0	0	0	0	0	0	0
LOC100287728	0	0	0	0	0	0	0	0
LOC100287792	2	3	0	0	3	2	1.66666666666667	1.52752523165195
LOC100287846	0	0	0	0	0	0	0	0
LOC100288069	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100288079	0	0	0	0	0	0	0	0
LOC100288142	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100288181	0	0	0	0	0	0	0	0
LOC100288198	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100288255	0	0	0	0	0	0	0	0
LOC100288637	2	1	0	0	2	1	1	1
LOC100288748	3	1	0	0	3	1	1.33333333333333	1.52752523165195
LOC100288778	0	0	0	0	0	0	0	0
LOC100288842	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100288846	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100288911	2	1	0	0	2	1	1	1
LOC100288974	0	0	0	0	0	0	0	0
LOC100289019	7	2	0	0	7	2	3	3.60555127546399
LOC100289092	0	0	0	0	0	0	0	0
LOC100289187	2	1	0	0	2	1	1	1
LOC100289230	0	2	1	0	2	1	1	1
LOC100289361	5	0	0	0	5	0	1.66666666666667	2.88675134594813
LOC100289473	0	0	0	0	0	0	0	0
LOC100289495	1	3	0	0	3	1	1.33333333333333	1.52752523165195
LOC100289511	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100289561	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100289580	0	0	0	0	0	0	0	0
LOC100289650	0	0	0	0	0	0	0	0
LOC100289656	0	0	0	0	0	0	0	0
LOC100294145	10	9	1	1	10	9	6.66666666666667	4.93288286231625
LOC100294362	1	2	0	0	2	1	1	1
LOC100303749	0	0	0	0	0	0	0	0
LOC100335030	5	4	1	1	5	4	3.33333333333333	2.08166599946613
LOC100379224	0	0	0	0	0	0	0	0
LOC100499183	0	0	0	0	0	0	0	0
LOC100499194	0	0	0	0	0	0	0	0
LOC100499405	0	0	0	0	0	0	0	0
LOC100499484	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100499489	2	1	0	0	2	1	1	1
LOC100500773	0	0	0	0	0	0	0	0
LOC100505478	0	0	0	0	0	0	0	0
LOC100505495	43	25	11	11	43	25	26.3333333333333	16.0416125540213
LOC100505545	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505549	3	1	0	0	3	1	1.33333333333333	1.52752523165195
LOC100505622	3	0	0	0	3	0	1	1.73205080756888
LOC100505625	0	0	0	0	0	0	0	0
LOC100505633	139	91	28	28	139	91	86	55.6686626388671
LOC100505636	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100505658	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LOC100505666	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100505676	6	0	0	0	6	0	2	3.46410161513775
LOC100505679	0	0	0	0	0	0	0	0
LOC100505695	5	4	0	0	5	4	3	2.64575131106459
LOC100505702	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100505715	9	8	1	1	9	8	6	4.35889894354067
LOC100505716	0	0	0	0	0	0	0	0
LOC100505718	0	0	0	0	0	0	0	0
LOC100505738	69	52	11	11	69	52	44	29.8161030317511
LOC100505761	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LOC100505768	0	0	0	0	0	0	0	0
LOC100505776	0	0	0	0	0	0	0	0
LOC100505782	0	0	0	0	0	0	0	0
LOC100505795	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505806	13	5	2	2	13	5	6.66666666666667	5.68624070307733
LOC100505812	7	1	1	1	7	1	3	3.46410161513775
LOC100505835	0	0	0	0	0	0	0	0
LOC100505841	0	0	0	0	0	0	0	0
LOC100505875	0	0	0	0	0	0	0	0
LOC100505876	84	57	10	10	84	57	50.3333333333333	37.4477413649119
LOC100505912	0	0	0	0	0	0	0	0
LOC100505918	0	0	0	0	0	0	0	0
LOC100505978	0	0	0	0	0	0	0	0
LOC100505984	0	0	0	0	0	0	0	0
LOC100505989	4	4	1	1	4	4	3	1.73205080756888
LOC100506013	0	0	0	0	0	0	0	0
LOC100506023	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LOC100506025	0	0	0	0	0	0	0	0
LOC100506035	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100506050	0	0	0	0	0	0	0	0
LOC100506054	34	15	3	3	34	15	17.3333333333333	15.6311654502578
LOC100506060	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506071	0	0	0	0	0	0	0	0
LOC100506076	0	0	0	0	0	0	0	0
LOC100506082	0	0	0	0	0	0	0	0
LOC100506083	4	2	0	0	4	2	2	2
LOC100506085	2	1	1	1	2	1	1.33333333333333	0.577350269189626
LOC100506100	9	7	2	2	9	7	6	3.60555127546399
LOC100506123	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506124	0	0	0	0	0	0	0	0
LOC100506134	0	0	0	0	0	0	0	0
LOC100506136	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100506172	0	0	0	0	0	0	0	0
LOC100506178	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100506207	2	1	0	0	2	1	1	1
LOC100506241	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100506314	6	4	0	0	6	4	3.33333333333333	3.05505046330389
LOC100506321	0	0	0	0	0	0	0	0
LOC100506343	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506368	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506385	25	16	1	1	25	16	14	12.1243556529821
LOC100506388	17	17	1	1	17	17	11.6666666666667	9.23760430703401
LOC100506392	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100506394	22	14	6	6	22	14	14	8
LOC100506413	0	0	0	0	0	0	0	0
LOC100506421	0	0	0	0	0	0	0	0
LOC100506422	0	0	0	0	0	0	0	0
LOC100506469	3	1	0	0	3	1	1.33333333333333	1.52752523165195
LOC100506472	4	5	0	0	5	4	3	2.64575131106459
LOC100506474	4	0	0	0	4	0	1.33333333333333	2.3094010767585
LOC100506497	0	0	0	0	0	0	0	0
LOC100506499	0	0	0	0	0	0	0	0
LOC100506548	41	22	4	4	41	22	22.3333333333333	18.5022521151706
LOC100506551	11	4	4	4	11	4	6.33333333333333	4.04145188432738
LOC100506639	0	0	0	0	0	0	0	0
LOC100506655	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506688	5	4	2	2	5	4	3.66666666666667	1.52752523165195
LOC100506710	46	26	3	3	46	26	25	21.51743479135
LOC100506713	6	1	1	1	6	1	2.66666666666667	2.88675134594813
LOC100506714	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100506730	5	2	0	0	5	2	2.33333333333333	2.51661147842358
LOC100506746	3	2	0	0	3	2	1.66666666666667	1.52752523165195
