Gene	DTP.A.7.9.1.E11	DTP.A.7.10.1.E12	DTP.A.8.5.1.G3	Min	Max	Median	Mean	Std
LINC00920	1	0	2	0	2	1	1	1
LINC00921	9	4	6	4	9	6	6.33333333333333	2.51661147842358
LINC00922	5	0	1	0	5	1	2	2.64575131106459
LINC00923	0	0	0	0	0	0	0	0
LINC00924	12	3	5	3	12	5	6.66666666666667	4.72581562625261
LINC00926	5	3	1	1	5	3	3	2
LINC00927	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00933	1	0	2	0	2	1	1	1
LINC00934	4	1	2	1	4	2	2.33333333333333	1.52752523165195
LINC00935	0	0	0	0	0	0	0	0
LINC00936	7	0	3	0	7	3	3.33333333333333	3.51188458428425
LINC00937	0	0	0	0	0	0	0	0
LINC00938	2	1	2	1	2	2	1.66666666666667	0.577350269189626
LINC00939	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LINC00941	16	4	4	4	16	4	8	6.92820323027551
LINC00942	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00943	0	0	0	0	0	0	0	0
LINC00948	0	0	0	0	0	0	0	0
LINC00950	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LINC00954	0	0	0	0	0	0	0	0
LINC00957	0	0	0	0	0	0	0	0
LINC00958	9	2	0	0	9	2	3.66666666666667	4.72581562625261
LINC00959	6	2	3	2	6	3	3.66666666666667	2.08166599946613
LINC00960	0	0	0	0	0	0	0	0
LINC00961	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00963	29	7	16	7	29	16	17.3333333333333	11.060440015358
LINC00964	2	3	0	0	3	2	1.66666666666667	1.52752523165195
LINC00965	8	2	0	0	8	2	3.33333333333333	4.16333199893227
LINC00967	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00968	14	5	12	5	14	12	10.3333333333333	4.72581562625261
LINC00971	12	5	8	5	12	8	8.33333333333333	3.51188458428425
LINC00974	0	0	0	0	0	0	0	0
LINGO1	0	0	0	0	0	0	0	0
LINS	11	8	7	7	11	8	8.66666666666667	2.08166599946613
LIPA	58	18	31	18	58	31	35.6666666666667	20.4042479237372
LIPC	2	1	4	1	4	2	2.33333333333333	1.52752523165195
LIPE	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LIPE-AS1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LIPG	0	0	0	0	0	0	0	0
LIPH	4	1	9	1	9	4	4.66666666666667	4.04145188432738
LIPI	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LIPJ	0	0	0	0	0	0	0	0
LIPM	0	0	0	0	0	0	0	0
LIPT1	25	10	26	10	26	25	20.3333333333333	8.9628864398325
LIPT2	0	0	0	0	0	0	0	0
LITAF	359	163	210	163	359	210	244	102.327904307672
LIX1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LIX1L	8	1	5	1	8	5	4.66666666666667	3.51188458428425
LLGL1	35	13	8	8	35	13	18.6666666666667	14.3643076176102
LLGL2	0	0	0	0	0	0	0	0
LLPH	241	84	125	84	241	125	150	81.4309523461442
LMAN1	863	355	295	295	863	355	504.333333333333	312.059823324524
LMAN2	68	22	28	22	68	28	39.3333333333333	25.0066657780147
LMAN2L	32	16	21	16	32	21	23	8.18535277187245
LMBR1	11	10	6	6	11	10	9	2.64575131106459
LMBR1L	7	4	2	2	7	4	4.33333333333333	2.51661147842358
LMBRD1	104	47	70	47	104	70	73.6666666666667	28.6763549520042
LMBRD2	17	7	5	5	17	7	9.66666666666667	6.42910050732864
LMCD1	121	47	67	47	121	67	78.3333333333333	38.2796725865482
LMCD1-AS1	2	0	2	0	2	2	1.33333333333333	1.15470053837925
LMF1	7	3	2	2	7	3	4	2.64575131106459
LMF2	6	2	5	2	6	5	4.33333333333333	2.08166599946613
LMLN	7	3	3	3	7	3	4.33333333333333	2.3094010767585
LMNA	138	37	45	37	138	45	73.3333333333333	56.1456439390745
LMNB1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LMNB2	11	4	3	3	11	4	6	4.35889894354067
LMO2	0	0	0	0	0	0	0	0
LMO3	0	0	0	0	0	0	0	0
LMO4	77	33	23	23	77	33	44.3333333333333	28.7286152352203
LMO7	285	135	126	126	285	135	182	89.3140526457063
LMOD1	153	44	36	36	153	44	77.6666666666667	65.363088462322
LMOD3	5	3	2	2	5	3	3.33333333333333	1.52752523165195
LMTK2	26	12	8	8	26	12	15.3333333333333	9.45163125250522
LMTK3	0	0	0	0	0	0	0	0
LMX1B	10	3	5	3	10	5	6	3.60555127546399
LNP1	5	4	3	3	5	4	4	1
LNPEP	14	4	11	4	14	11	9.66666666666667	5.13160143944688
LNX1	35	13	10	10	35	13	19.3333333333333	13.6503968196288
LNX2	17	7	3	3	17	7	9	7.21110255092798
LOC100126784	3	0	1	0	3	1	1.33333333333333	1.52752523165195
LOC100127983	4	1	4	1	4	4	3	1.73205080756888
LOC100128164	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100128176	0	0	0	0	0	0	0	0
LOC100128233	13	5	6	5	13	6	8	4.35889894354067
LOC100128239	0	0	0	0	0	0	0	0
LOC100128264	0	0	0	0	0	0	0	0
LOC100128288	7	6	0	0	7	6	4.33333333333333	3.78593889720018
LOC100128361	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100128398	5	2	1	1	5	2	2.66666666666667	2.08166599946613
LOC100128505	0	0	0	0	0	0	0	0
LOC100128531	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LOC100128568	0	0	0	0	0	0	0	0
LOC100128573	9	2	1	1	9	2	4	4.35889894354067
LOC100128593	0	0	0	0	0	0	0	0
LOC100128682	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LOC100128714	0	0	0	0	0	0	0	0
LOC100128770	0	0	0	0	0	0	0	0
LOC100128822	2	4	1	1	4	2	2.33333333333333	1.52752523165195
LOC100128881	0	0	0	0	0	0	0	0
LOC100128885	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100129027	0	0	0	0	0	0	0	0
LOC100129034	26	18	10	10	26	18	18	8
LOC100129046	0	0	0	0	0	0	0	0
LOC100129055	0	0	0	0	0	0	0	0
LOC100129138	1	1	1	1	1	1	1	0
LOC100129195	54	27	44	27	54	44	41.6666666666667	13.6503968196288
LOC100129269	6	2	1	1	6	2	3	2.64575131106459
LOC100129316	0	0	0	0	0	0	0	0
LOC100129361	91	25	35	25	91	35	50.3333333333333	35.5715241918776
LOC100129427	0	0	0	0	0	0	0	0
LOC100129518	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100129534	3	1	1	1	3	1	1.66666666666667	1.15470053837925
LOC100129550	12	7	3	3	12	7	7.33333333333333	4.50924975282289
LOC100129617	0	0	0	0	0	0	0	0
LOC100129726	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOC100129858	8	2	6	2	8	6	5.33333333333333	3.05505046330389
LOC100129917	7	2	2	2	7	2	3.66666666666667	2.88675134594813
LOC100129924	0	0	0	0	0	0	0	0
LOC100129931	3	3	1	1	3	3	2.33333333333333	1.15470053837925
LOC100129935	12	4	3	3	12	4	6.33333333333333	4.93288286231625
LOC100129961	2	0	1	0	2	1	1	1
LOC100129973	0	0	0	0	0	0	0	0
LOC100130000	2	1	4	1	4	2	2.33333333333333	1.52752523165195
LOC100130075	0	0	0	0	0	0	0	0
LOC100130093	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130275	3	1	5	1	5	3	3	2
LOC100130301	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100130348	0	0	0	0	0	0	0	0
LOC100130357	1	1	1	1	1	1	1	0
LOC100130417	0	0	0	0	0	0	0	0
LOC100130451	1	1	1	1	1	1	1	0
LOC100130476	0	0	0	0	0	0	0	0
LOC100130480	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100130539	0	0	0	0	0	0	0	0
LOC100130557	6	3	6	3	6	6	5	1.73205080756888
LOC100130691	6	3	2	2	6	3	3.66666666666667	2.08166599946613
LOC100130705	0	0	0	0	0	0	0	0
LOC100130744	3	0	0	0	3	0	1	1.73205080756888
LOC100130849	0	0	0	0	0	0	0	0
LOC100130872	5	7	1	1	7	5	4.33333333333333	3.05505046330389
LOC100130880	1	2	0	0	2	1	1	1
LOC100130899	18	5	2	2	18	5	8.33333333333333	8.50490054811538
LOC100130950	3	4	3	3	4	3	3.33333333333333	0.577350269189626
LOC100130954	15	9	4	4	15	9	9.33333333333333	5.5075705472861
LOC100130987	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130992	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100131060	0	0	0	0	0	0	0	0
LOC100131067	19	7	5	5	19	7	10.3333333333333	7.57187779440036
LOC100131257	53	35	13	13	53	35	33.6666666666667	20.0333056017556
LOC100131347	2	1	3	1	3	2	2	1
LOC100131496	8	1	1	1	8	1	3.33333333333333	4.04145188432738
LOC100131564	37	23	18	18	37	23	26	9.8488578017961
LOC100131655	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100131691	2	1	2	1	2	2	1.66666666666667	0.577350269189626
LOC100132077	2	1	0	0	2	1	1	1
LOC100132078	0	0	0	0	0	0	0	0
LOC100132111	0	0	0	0	0	0	0	0
LOC100132215	3	2	3	2	3	3	2.66666666666667	0.577350269189626
LOC100132352	39	12	19	12	39	19	23.3333333333333	14.0118997046558
LOC100132354	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100132356	1	0	2	0	2	1	1	1
LOC100132707	9	4	2	2	9	4	5	3.60555127546399
LOC100132735	0	0	0	0	0	0	0	0
LOC100132781	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100132815	20	9	3	3	20	9	10.6666666666667	8.62167810425171
LOC100132832	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100132891	96	40	66	40	96	66	67.3333333333333	28.0237994093116
LOC100133050	0	0	0	0	0	0	0	0
LOC100133091	2	3	2	2	3	2	2.33333333333333	0.577350269189626
LOC100133286	2	1	0	0	2	1	1	1
LOC100133315	4	1	3	1	4	3	2.66666666666667	1.52752523165195
LOC100133612	6	5	3	3	6	5	4.66666666666667	1.52752523165195
LOC100133669	0	0	0	0	0	0	0	0
LOC100133920	0	0	0	0	0	0	0	0
LOC100133957	0	0	0	0	0	0	0	0
LOC100133985	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100134229	5	0	4	0	5	4	3	2.64575131106459
LOC100134259	3	0	1	0	3	1	1.33333333333333	1.52752523165195
LOC100134368	2	0	2	0	2	2	1.33333333333333	1.15470053837925
LOC100134868	12	13	5	5	13	12	10	4.35889894354067
LOC100144595	9	0	4	0	9	4	4.33333333333333	4.50924975282289
LOC100144602	3	0	2	0	3	2	1.66666666666667	1.52752523165195
LOC100188947	4	2	2	2	4	2	2.66666666666667	1.15470053837925
LOC100190940	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100190986	51	31	14	14	51	31	32	18.5202591774521
LOC100216479	7	2	2	2	7	2	3.66666666666667	2.88675134594813
LOC100216545	9	4	2	2	9	4	5	3.60555127546399
LOC100216546	19	5	3	3	19	5	9	8.71779788708135
LOC100233156	16	7	8	7	16	8	10.3333333333333	4.93288286231625
LOC100240734	0	0	0	0	0	0	0	0
LOC100240735	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100268168	14	15	10	10	15	14	13	2.64575131106459
LOC100270746	2	3	0	0	3	2	1.66666666666667	1.52752523165195
LOC100270804	4	0	2	0	4	2	2	2
LOC100271832	0	0	0	0	0	0	0	0
LOC100271836	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100272216	0	0	0	0	0	0	0	0
LOC100272217	4	2	1	1	4	2	2.33333333333333	1.52752523165195
LOC100287015	15	8	6	6	15	8	9.66666666666667	4.72581562625261
LOC100287036	0	0	0	0	0	0	0	0
LOC100287042	2	3	0	0	3	2	1.66666666666667	1.52752523165195
LOC100287072	0	0	0	0	0	0	0	0
LOC100287177	9	1	1	1	9	1	3.66666666666667	4.61880215351701
LOC100287225	2	0	1	0	2	1	1	1
LOC100287632	0	0	0	0	0	0	0	0
LOC100287728	0	0	0	0	0	0	0	0
LOC100287792	6	2	3	2	6	3	3.66666666666667	2.08166599946613
LOC100287846	2	1	0	0	2	1	1	1
LOC100288069	5	0	1	0	5	1	2	2.64575131106459
LOC100288079	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100288142	0	0	0	0	0	0	0	0
LOC100288181	0	0	0	0	0	0	0	0
LOC100288198	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100288255	0	0	0	0	0	0	0	0
LOC100288637	2	1	3	1	3	2	2	1
LOC100288748	8	2	3	2	8	3	4.33333333333333	3.21455025366432
LOC100288778	0	0	0	0	0	0	0	0
LOC100288842	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100288846	0	0	0	0	0	0	0	0
LOC100288911	6	1	2	1	6	2	3	2.64575131106459
LOC100288974	0	0	0	0	0	0	0	0
LOC100289019	8	4	3	3	8	4	5	2.64575131106459
LOC100289092	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100289187	3	0	0	0	3	0	1	1.73205080756888
LOC100289230	2	1	0	0	2	1	1	1
LOC100289361	3	1	2	1	3	2	2	1
LOC100289473	0	0	0	0	0	0	0	0
LOC100289495	0	1	2	0	2	1	1	1
LOC100289511	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100289561	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100289580	0	0	0	0	0	0	0	0
LOC100289650	0	0	0	0	0	0	0	0
LOC100289656	0	0	0	0	0	0	0	0
LOC100294145	20	8	8	8	20	8	12	6.92820323027551
LOC100294362	3	1	0	0	3	1	1.33333333333333	1.52752523165195
LOC100303749	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100335030	16	4	2	2	16	4	7.33333333333333	7.57187779440037
LOC100379224	5	1	5	1	5	5	3.66666666666667	2.3094010767585
LOC100499183	0	0	0	0	0	0	0	0
LOC100499194	0	0	0	0	0	0	0	0
LOC100499405	0	0	0	0	0	0	0	0
LOC100499484	0	0	0	0	0	0	0	0
LOC100499489	6	3	1	1	6	3	3.33333333333333	2.51661147842358
LOC100500773	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505478	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100505495	74	31	47	31	74	47	50.6666666666667	21.733231083604
LOC100505545	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100505549	8	5	1	1	8	5	4.66666666666667	3.51188458428425
LOC100505622	3	1	0	0	3	1	1.33333333333333	1.52752523165195
LOC100505625	0	0	0	0	0	0	0	0
LOC100505633	368	137	136	136	368	137	213.666666666667	133.657522546744
LOC100505636	4	0	2	0	4	2	2	2
LOC100505658	0	0	0	0	0	0	0	0
LOC100505666	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505676	11	5	2	2	11	5	6	4.58257569495584
LOC100505679	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100505695	3	5	3	3	5	3	3.66666666666667	1.15470053837925
LOC100505702	8	1	4	1	8	4	4.33333333333333	3.51188458428425
LOC100505715	26	10	9	9	26	10	15	9.53939201416946
LOC100505716	0	0	0	0	0	0	0	0
LOC100505718	0	0	0	0	0	0	0	0
LOC100505738	155	61	100	61	155	100	105.333333333333	47.2264050435065
LOC100505761	5	1	2	1	5	2	2.66666666666667	2.08166599946613
LOC100505768	0	0	0	0	0	0	0	0
LOC100505776	0	0	0	0	0	0	0	0
LOC100505782	0	0	0	0	0	0	0	0
LOC100505795	0	0	0	0	0	0	0	0
LOC100505806	45	13	10	10	45	13	22.6666666666667	19.399312702602
LOC100505812	8	3	5	3	8	5	5.33333333333333	2.51661147842358
LOC100505835	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505841	0	0	0	0	0	0	0	0
LOC100505875	2	2	1	1	2	2	1.66666666666667	0.577350269189626
LOC100505876	165	67	91	67	165	91	107.666666666667	51.0816340119747
LOC100505912	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505918	0	0	0	0	0	0	0	0
LOC100505978	0	0	0	0	0	0	0	0
LOC100505984	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505989	12	6	1	1	12	6	6.33333333333333	5.5075705472861
LOC100506013	0	0	0	0	0	0	0	0
LOC100506023	3	1	1	1	3	1	1.66666666666667	1.15470053837925
LOC100506025	0	0	0	0	0	0	0	0
LOC100506035	0	0	0	0	0	0	0	0
LOC100506050	0	0	0	0	0	0	0	0
LOC100506054	69	20	34	20	69	34	41	25.2388589282479
LOC100506060	4	0	0	0	4	0	1.33333333333333	2.3094010767585
LOC100506071	0	0	0	0	0	0	0	0
LOC100506076	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LOC100506082	0	0	0	0	0	0	0	0
LOC100506083	15	6	5	5	15	6	8.66666666666667	5.5075705472861
LOC100506085	9	3	1	1	9	3	4.33333333333333	4.16333199893227
LOC100506100	17	4	14	4	17	14	11.6666666666667	6.80685928555405
LOC100506123	5	3	0	0	5	3	2.66666666666667	2.51661147842358
LOC100506124	0	0	0	0	0	0	0	0
LOC100506134	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506136	3	0	1	0	3	1	1.33333333333333	1.52752523165195
LOC100506172	0	0	0	0	0	0	0	0
LOC100506178	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506207	1	1	1	1	1	1	1	0
LOC100506241	3	0	0	0	3	0	1	1.73205080756888
LOC100506314	6	5	3	3	6	5	4.66666666666667	1.52752523165195
LOC100506321	0	0	0	0	0	0	0	0
LOC100506343	6	3	1	1	6	3	3.33333333333333	2.51661147842358
LOC100506368	2	1	1	1	2	1	1.33333333333333	0.577350269189626
LOC100506385	36	18	20	18	36	20	24.6666666666667	9.8657657246325
LOC100506388	48	22	28	22	48	28	32.6666666666667	13.6137185711081
LOC100506392	7	3	2	2	7	3	4	2.64575131106459
LOC100506394	44	21	25	21	44	25	30	12.2882057274445
LOC100506413	0	0	0	0	0	0	0	0
LOC100506421	0	0	0	0	0	0	0	0
LOC100506422	0	0	0	0	0	0	0	0
LOC100506469	2	2	4	2	4	2	2.66666666666667	1.15470053837925
LOC100506472	7	11	5	5	11	7	7.66666666666667	3.05505046330389
LOC100506474	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506497	0	0	0	0	0	0	0	0
LOC100506499	0	0	0	0	0	0	0	0
LOC100506548	77	23	24	23	77	24	41.3333333333333	30.8922859842604
LOC100506551	22	8	3	3	22	8	11	9.8488578017961
LOC100506639	5	1	0	0	5	1	2	2.64575131106459
LOC100506655	0	0	0	0	0	0	0	0
LOC100506688	20	3	2	2	20	3	8.33333333333333	10.1159939369957
LOC100506710	96	46	41	41	96	46	61	30.4138126514911
LOC100506713	4	5	8	4	8	5	5.66666666666667	2.08166599946613
LOC100506714	4	0	5	0	5	4	3	2.64575131106459
LOC100506730	8	2	0	0	8	2	3.33333333333333	4.16333199893227
LOC100506746	13	8	6	6	13	8	9	3.60555127546399
LOC100506776	6	0	2	0	6	2	2.66666666666667	3.05505046330389
LOC100506795	7	6	5	5	7	6	6	1
LOC100506801	0	0	0	0	0	0	0	0
LOC100506804	1	1	3	1	3	1	1.66666666666667	1.15470053837925
LOC100506810	0	0	0	0	0	0	0	0
LOC100506834	8	5	5	5	8	5	6	1.73205080756888
LOC100506844	103	41	55	41	103	55	66.3333333333333	32.5166623953525
LOC100506895	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506963	0	0	0	0	0	0	0	0
LOC100506990	73	42	29	29	73	42	48	22.6053091109146
LOC100507032	7	3	0	0	7	3	3.33333333333333	3.51188458428425
LOC100507053	2	0	2	0	2	2	1.33333333333333	1.15470053837925
LOC100507066	0	0	0	0	0	0	0	0
LOC100507091	0	0	0	0	0	0	0	0
LOC100507117	4	2	3	2	4	3	3	1
LOC100507140	0	0	0	0	0	0	0	0
LOC100507156	5	1	1	1	5	1	2.33333333333333	2.3094010767585
LOC100507173	10	1	3	1	10	3	4.66666666666667	4.72581562625261
LOC100507217	37	29	33	29	37	33	33	4
LOC100507250	0	0	0	0	0	0	0	0
LOC100507254	50	19	36	19	50	36	35	15.52417469626
LOC100507351	10	4	0	0	10	4	4.66666666666667	5.03322295684717
LOC100507373	5	4	6	4	6	5	5	1
LOC100507377	0	0	0	0	0	0	0	0
LOC100507389	0	0	0	0	0	0	0	0
LOC100507412	5	3	3	3	5	3	3.66666666666667	1.15470053837925
LOC100507424	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100507462	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100507463	0	0	0	0	0	0	0	0
LOC100507489	0	0	0	0	0	0	0	0
LOC100507501	8	7	5	5	8	7	6.66666666666667	1.52752523165195
LOC100507506	0	0	0	0	0	0	0	0
LOC100507537	0	0	0	0	0	0	0	0
LOC100507547	2	1	2	1	2	2	1.66666666666667	0.577350269189626
LOC100507557	3	4	3	3	4	3	3.33333333333333	0.577350269189626
LOC100507564	3	1	3	1	3	3	2.33333333333333	1.15470053837925
LOC100507577	2	5	2	2	5	2	3	1.73205080756888
LOC100507584	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100507600	0	0	0	0	0	0	0	0
LOC100507602	25	14	7	7	25	14	15.3333333333333	9.07377172587747
LOC100507634	0	0	0	0	0	0	0	0
LOC100507651	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100508120	2	1	2	1	2	2	1.66666666666667	0.577350269189626
LOC100527964	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100616530	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100630918	1	1	1	1	1	1	1	0
LOC100630923	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100631378	0	0	0	0	0	0	0	0
LOC100652736	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100652739	0	0	0	0	0	0	0	0
LOC100652758	5	0	3	0	5	3	2.66666666666667	2.51661147842358
LOC100652768	5	0	1	0	5	1	2	2.64575131106459
LOC100652772	25	9	11	9	25	11	15	8.71779788708135
LOC100652824	0	0	0	0	0	0	0	0
LOC100653515	2	1	0	0	2	1	1	1
LOC100862671	0	1	2	0	2	1	1	1
LOC100996251	27	14	3	3	27	14	14.6666666666667	12.0138808606267
LOC100996255	40	15	15	15	40	15	23.3333333333333	14.4337567297406
LOC100996291	6	6	2	2	6	6	4.66666666666667	2.3094010767585
LOC100996455	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100996485	2	0	3	0	3	2	1.66666666666667	1.52752523165195
LOC100996634	0	0	0	0	0	0	0	0
LOC100996669	0	0	0	0	0	0	0	0
LOC100996702	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC101054525	0	0	0	0	0	0	0	0
LOC101241902	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC101409256	7	5	3	3	7	5	5	2
LOC101448202	0	0	0	0	0	0	0	0
LOC101559451	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC101593348	0	0	0	0	0	0	0	0
LOC113230	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC115110	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC143666	2	2	1	1	2	2	1.66666666666667	0.577350269189626
LOC145474	1	1	1	1	1	1	1	0
LOC145783	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC145837	0	0	0	0	0	0	0	0
LOC145845	0	0	0	0	0	0	0	0
LOC146880	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC148413	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LOC148696	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC148709	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC149134	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC150381	28	11	9	9	28	11	16	10.4403065089106
LOC150568	0	0	0	0	0	0	0	0
LOC150577	0	0	0	0	0	0	0	0
LOC150622	11	7	6	6	11	7	8	2.64575131106459
LOC150776	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC150935	0	0	0	0	0	0	0	0
LOC151009	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC151171	0	0	0	0	0	0	0	0
LOC151174	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOC151475	7	3	4	3	7	4	4.66666666666667	2.08166599946613
LOC152225	0	1	2	0	2	1	1	1
LOC152742	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC153684	1	2	2	1	2	2	1.66666666666667	0.577350269189626
LOC154092	0	0	0	0	0	0	0	0
LOC154449	0	0	0	0	0	0	0	0
LOC154761	22	8	20	8	22	20	16.6666666666667	7.57187779440036
LOC155060	3	1	1	1	3	1	1.66666666666667	1.15470053837925
LOC157273	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC158435	0	0	0	0	0	0	0	0
LOC158960	36	22	32	22	36	32	30	7.21110255092798
LOC201651	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC202181	0	0	0	0	0	0	0	0
LOC202781	7	6	0	0	7	6	4.33333333333333	3.78593889720018
LOC220729	10	2	2	2	10	2	4.66666666666667	4.61880215351701
LOC221122	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC253044	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC254128	17	8	8	8	17	8	11	5.19615242270663
LOC254896	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC255130	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC255167	4	4	3	3	4	4	3.66666666666667	0.577350269189626
LOC255654	0	0	0	0	0	0	0	0
LOC256880	7	2	0	0	7	2	3	3.60555127546399
LOC257358	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC257396	12	5	2	2	12	5	6.33333333333333	5.13160143944688
LOC283038	2	0	1	0	2	1	1	1
LOC283070	15	7	3	3	15	7	8.33333333333333	6.11010092660779
LOC283177	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC283214	0	0	0	0	0	0	0	0
LOC283299	7	3	4	3	7	4	4.66666666666667	2.08166599946613
LOC283335	3	4	1	1	4	3	2.66666666666667	1.52752523165195
LOC283440	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC283585	0	0	0	0	0	0	0	0
LOC283683	8	8	2	2	8	8	6	3.46410161513775
LOC283692	0	0	0	0	0	0	0	0
LOC283693	18	6	5	5	18	6	9.66666666666667	7.23417813807024
LOC283731	5	3	0	0	5	3	2.66666666666667	2.51661147842358
LOC283788	39	16	16	16	39	16	23.6666666666667	13.2790561913614
LOC283856	0	0	0	0	0	0	0	0
LOC283922	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC284009	0	0	0	0	0	0	0	0
LOC284023	20	17	5	5	20	17	14	7.93725393319377
LOC284080	0	0	0	0	0	0	0	0
LOC284344	0	0	0	0	0	0	0	0
LOC284379	7	4	2	2	7	4	4.33333333333333	2.51661147842358
LOC284395	0	0	0	0	0	0	0	0
LOC284412	61	23	37	23	61	37	40.3333333333333	19.2180470738661
LOC284454	46	18	16	16	46	18	26.6666666666667	16.7729941672122
LOC284551	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC284581	0	0	0	0	0	0	0	0
LOC284648	0	0	0	0	0	0	0	0
LOC284688	0	0	0	0	0	0	0	0
LOC284751	0	0	0	0	0	0	0	0
LOC284757	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC284798	0	0	0	0	0	0	0	0
LOC284801	0	0	0	0	0	0	0	0
LOC284837	0	0	0	0	0	0	0	0
LOC284865	7	5	1	1	7	5	4.33333333333333	3.05505046330389
