Gene	LOP.A.4.8.1.B2	LOP.A.4.9.1.B3	LOP.A.8.11.1.G8	Min	Max	Median	Mean	Std
LINC00466	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LINC00467	10	6	5	5	10	6	7	2.64575131106459
LINC00470	1	3	7	1	7	3	3.66666666666667	3.05505046330389
LINC00471	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LINC00472	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00475	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00476	13	5	14	5	14	13	10.6666666666667	4.93288286231625
LINC00477	0	0	0	0	0	0	0	0
LINC00478	10	5	11	5	11	10	8.66666666666667	3.21455025366432
LINC00479	0	0	0	0	0	0	0	0
LINC00482	0	0	0	0	0	0	0	0
LINC00483	0	0	0	0	0	0	0	0
LINC00485	5	2	5	2	5	5	4	1.73205080756888
LINC00488	0	0	0	0	0	0	0	0
LINC00491	0	0	0	0	0	0	0	0
LINC00493	344	299	341	299	344	341	328	25.1594912508182
LINC00511	0	0	0	0	0	0	0	0
LINC00514	9	9	4	4	9	9	7.33333333333333	2.88675134594813
LINC00515	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00518	0	0	0	0	0	0	0	0
LINC00520	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LINC00525	0	0	0	0	0	0	0	0
LINC00526	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LINC00528	0	0	0	0	0	0	0	0
LINC00534	0	0	0	0	0	0	0	0
LINC00535	0	0	0	0	0	0	0	0
LINC00536	0	0	0	0	0	0	0	0
LINC00540	0	0	0	0	0	0	0	0
LINC00545	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LINC00547	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LINC00548	0	0	0	0	0	0	0	0
LINC00551	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00559	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00563	0	0	0	0	0	0	0	0
LINC00565	4	0	0	0	4	0	1.33333333333333	2.3094010767585
LINC00568	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00570	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00571	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00574	5	1	3	1	5	3	3	2
LINC00578	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00581	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LINC00582	0	0	0	0	0	0	0	0
LINC00588	0	0	0	0	0	0	0	0
LINC00592	3	3	1	1	3	3	2.33333333333333	1.15470053837925
LINC00595	0	0	0	0	0	0	0	0
LINC00597	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LINC00598	4	4	7	4	7	4	5	1.73205080756888
LINC00601	0	0	0	0	0	0	0	0
LINC00607	6	3	7	3	7	6	5.33333333333333	2.08166599946613
LINC00612	0	0	0	0	0	0	0	0
LINC00616	0	0	0	0	0	0	0	0
LINC00617	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00619	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00620	0	0	0	0	0	0	0	0
LINC00622	3	1	1	1	3	1	1.66666666666667	1.15470053837925
LINC00623	2	3	3	2	3	3	2.66666666666667	0.577350269189626
LINC00626	0	0	0	0	0	0	0	0
LINC00629	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LINC00630	3	0	3	0	3	3	2	1.73205080756888
LINC00632	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00637	2	3	2	2	3	2	2.33333333333333	0.577350269189626
LINC00638	2	2	2	2	2	2	2	0
LINC00639	0	0	0	0	0	0	0	0
LINC00640	0	0	0	0	0	0	0	0
LINC00641	5	1	4	1	5	4	3.33333333333333	2.08166599946613
LINC00643	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LINC00645	0	0	0	0	0	0	0	0
LINC00649	1	0	2	0	2	1	1	1
LINC00652	0	0	0	0	0	0	0	0
LINC00654	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00657	217	143	129	129	217	143	163	47.2863616701476
LINC00662	3	8	13	3	13	8	8	5
LINC00663	15	3	11	3	15	11	9.66666666666667	6.11010092660779
LINC00664	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00665	6	7	11	6	11	7	8	2.64575131106459
LINC00667	13	8	10	8	13	10	10.3333333333333	2.51661147842358
LINC00668	0	0	0	0	0	0	0	0
LINC00669	0	0	0	0	0	0	0	0
LINC00670	0	1	3	0	3	1	1.33333333333333	1.52752523165195
LINC00671	7	4	6	4	7	6	5.66666666666667	1.52752523165195
LINC00672	4	5	9	4	9	5	6	2.64575131106459
LINC00673	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00674	39	38	28	28	39	38	35	6.08276253029822
LINC00678	0	0	0	0	0	0	0	0
LINC00685	6	4	2	2	6	4	4	2
LINC00689	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LINC00691	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00693	0	0	0	0	0	0	0	0
LINC00696	0	0	0	0	0	0	0	0
LINC00700	4	4	3	3	4	4	3.66666666666667	0.577350269189626
LINC00704	2	1	1	1	2	1	1.33333333333333	0.577350269189626
LINC00705	0	0	0	0	0	0	0	0
LINC00707	0	0	0	0	0	0	0	0
LINC00710	0	0	0	0	0	0	0	0
LINC00837	0	0	0	0	0	0	0	0
LINC00839	3	3	5	3	5	3	3.66666666666667	1.15470053837925
LINC00842	16	11	14	11	16	14	13.6666666666667	2.51661147842358
LINC00847	12	7	15	7	15	12	11.3333333333333	4.04145188432738
LINC00852	0	2	1	0	2	1	1	1
LINC00853	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00854	0	0	0	0	0	0	0	0
LINC00856	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LINC00857	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00858	0	0	0	0	0	0	0	0
LINC00861	2	4	2	2	4	2	2.66666666666667	1.15470053837925
LINC00862	0	0	3	0	3	0	1	1.73205080756888
LINC00864	0	0	0	0	0	0	0	0
LINC00865	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00869	0	0	0	0	0	0	0	0
LINC00870	0	0	0	0	0	0	0	0
LINC00875	1	0	2	0	2	1	1	1
LINC00880	0	0	0	0	0	0	0	0
LINC00881	3	2	2	2	3	2	2.33333333333333	0.577350269189626
LINC00882	3	1	5	1	5	3	3	2
LINC00883	12	9	12	9	12	12	11	1.73205080756888
LINC00884	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00886	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LINC00887	5	3	0	0	5	3	2.66666666666667	2.51661147842358
LINC00888	1	7	9	1	9	7	5.66666666666667	4.16333199893227
LINC00889	0	0	0	0	0	0	0	0
LINC00890	0	0	0	0	0	0	0	0
LINC00893	0	0	0	0	0	0	0	0
LINC00894	0	0	0	0	0	0	0	0
LINC00896	2	0	2	0	2	2	1.33333333333333	1.15470053837925
LINC00899	3	0	1	0	3	1	1.33333333333333	1.52752523165195
LINC00900	0	0	0	0	0	0	0	0
LINC00904	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00906	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LINC00907	3	3	5	3	5	3	3.66666666666667	1.15470053837925
LINC00908	1	2	0	0	2	1	1	1
LINC00909	12	16	22	12	22	16	16.6666666666667	5.03322295684717
LINC00910	4	5	5	4	5	5	4.66666666666667	0.577350269189626
LINC00911	0	0	0	0	0	0	0	0
LINC00918	0	0	0	0	0	0	0	0
LINC00920	2	1	1	1	2	1	1.33333333333333	0.577350269189626
LINC00921	3	7	6	3	7	6	5.33333333333333	2.08166599946613
LINC00922	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LINC00923	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00924	9	2	7	2	9	7	6	3.60555127546399
LINC00926	2	1	2	1	2	2	1.66666666666667	0.577350269189626
LINC00927	0	0	0	0	0	0	0	0
LINC00933	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00934	1	3	3	1	3	3	2.33333333333333	1.15470053837925
LINC00935	0	0	0	0	0	0	0	0
LINC00936	1	3	1	1	3	1	1.66666666666667	1.15470053837925
LINC00937	0	0	0	0	0	0	0	0
LINC00938	4	2	1	1	4	2	2.33333333333333	1.52752523165195
LINC00939	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00941	10	9	3	3	10	9	7.33333333333333	3.78593889720018
LINC00942	0	3	0	0	3	0	1	1.73205080756888
LINC00943	0	0	0	0	0	0	0	0
LINC00948	0	0	0	0	0	0	0	0
LINC00950	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LINC00954	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00957	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LINC00958	5	1	6	1	6	5	4	2.64575131106459
LINC00959	2	4	8	2	8	4	4.66666666666667	3.05505046330389
LINC00960	1	3	4	1	4	3	2.66666666666667	1.52752523165195
LINC00961	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LINC00963	14	10	7	7	14	10	10.3333333333333	3.51188458428425
LINC00964	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LINC00965	3	2	3	2	3	3	2.66666666666667	0.577350269189626
LINC00967	0	0	0	0	0	0	0	0
LINC00968	8	3	17	3	17	8	9.33333333333333	7.09459888459759
LINC00971	6	3	5	3	6	5	4.66666666666667	1.52752523165195
LINC00974	0	0	0	0	0	0	0	0
LINGO1	0	0	0	0	0	0	0	0
LINS	2	9	7	2	9	7	6	3.60555127546399
LIPA	33	19	32	19	33	32	28	7.81024967590665
LIPC	1	0	2	0	2	1	1	1
LIPE	0	0	0	0	0	0	0	0
LIPE-AS1	0	0	0	0	0	0	0	0
LIPG	0	0	0	0	0	0	0	0
LIPH	2	4	3	2	4	3	3	1
LIPI	0	0	0	0	0	0	0	0
LIPJ	0	0	0	0	0	0	0	0
LIPM	0	0	0	0	0	0	0	0
LIPT1	23	16	22	16	23	22	20.3333333333333	3.78593889720018
LIPT2	0	0	0	0	0	0	0	0
LITAF	201	160	211	160	211	201	190.666666666667	27.0246800782791
LIX1	0	0	0	0	0	0	0	0
LIX1L	2	3	4	2	4	3	3	1
LLGL1	11	11	11	11	11	11	11	0
LLGL2	0	0	0	0	0	0	0	0
LLPH	144	105	140	105	144	140	129.666666666667	21.4553800556721
LMAN1	437	291	336	291	437	336	354.666666666667	74.7685317050785
LMAN2	43	26	35	26	43	35	34.6666666666667	8.50490054811538
LMAN2L	28	17	36	17	36	28	27	9.53939201416946
LMBR1	11	9	10	9	11	10	10	1
LMBR1L	2	1	3	1	3	2	2	1
LMBRD1	54	39	67	39	67	54	53.3333333333333	14.0118997046558
LMBRD2	6	4	3	3	6	4	4.33333333333333	1.52752523165195
LMCD1	67	59	61	59	67	61	62.3333333333333	4.16333199893227
LMCD1-AS1	1	2	2	1	2	2	1.66666666666667	0.577350269189626
LMF1	3	4	1	1	4	3	2.66666666666667	1.52752523165195
LMF2	4	3	4	3	4	4	3.66666666666667	0.577350269189626
LMLN	2	1	7	1	7	2	3.33333333333333	3.21455025366432
LMNA	81	50	61	50	81	61	64	15.7162336455017
LMNB1	0	0	0	0	0	0	0	0
LMNB2	5	4	1	1	5	4	3.33333333333333	2.08166599946613
LMO2	0	0	0	0	0	0	0	0
LMO3	0	0	0	0	0	0	0	0
LMO4	49	31	39	31	49	39	39.6666666666667	9.01849950564579
LMO7	207	124	175	124	207	175	168.666666666667	41.8608807042247
LMOD1	73	42	52	42	73	52	55.6666666666667	15.8219257150744
LMOD3	3	4	2	2	4	3	3	1
LMTK2	11	10	6	6	11	10	9	2.64575131106459
LMTK3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LMX1B	6	4	3	3	6	4	4.33333333333333	1.52752523165195
LNP1	7	6	3	3	7	6	5.33333333333333	2.08166599946613
LNPEP	10	7	5	5	10	7	7.33333333333333	2.51661147842358
LNX1	22	16	14	14	22	16	17.3333333333333	4.16333199893227
LNX2	13	7	8	7	13	8	9.33333333333333	3.21455025366432
LOC100126784	1	2	2	1	2	2	1.66666666666667	0.577350269189626
LOC100127983	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LOC100128164	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100128176	0	0	0	0	0	0	0	0
LOC100128233	3	5	2	2	5	3	3.33333333333333	1.52752523165195
LOC100128239	0	0	0	0	0	0	0	0
LOC100128264	0	0	0	0	0	0	0	0
LOC100128288	6	5	1	1	6	5	4	2.64575131106459
LOC100128361	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100128398	5	2	2	2	5	2	3	1.73205080756888
LOC100128505	0	0	0	0	0	0	0	0
LOC100128531	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100128568	0	0	0	0	0	0	0	0
LOC100128573	4	2	1	1	4	2	2.33333333333333	1.52752523165195
LOC100128593	0	0	0	0	0	0	0	0
LOC100128682	3	1	4	1	4	3	2.66666666666667	1.52752523165195
LOC100128714	0	0	0	0	0	0	0	0
LOC100128770	0	0	0	0	0	0	0	0
LOC100128822	1	0	4	0	4	1	1.66666666666667	2.08166599946613
LOC100128881	0	0	0	0	0	0	0	0
LOC100128885	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100129027	0	0	0	0	0	0	0	0
LOC100129034	23	16	17	16	23	17	18.6666666666667	3.78593889720018
LOC100129046	0	0	0	0	0	0	0	0
LOC100129055	0	0	0	0	0	0	0	0
LOC100129138	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100129195	35	25	40	25	40	35	33.3333333333333	7.63762615825973
LOC100129269	1	3	2	1	3	2	2	1
LOC100129316	0	0	0	0	0	0	0	0
LOC100129361	43	27	37	27	43	37	35.6666666666667	8.08290376865476
LOC100129427	0	0	0	0	0	0	0	0
LOC100129518	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100129534	0	0	0	0	0	0	0	0
LOC100129550	1	2	4	1	4	2	2.33333333333333	1.52752523165195
LOC100129617	0	0	0	0	0	0	0	0
LOC100129726	0	0	0	0	0	0	0	0
LOC100129858	2	3	4	2	4	3	3	1
LOC100129917	2	0	3	0	3	2	1.66666666666667	1.52752523165195
LOC100129924	0	0	0	0	0	0	0	0
LOC100129931	4	2	5	2	5	4	3.66666666666667	1.52752523165195
LOC100129935	1	1	5	1	5	1	2.33333333333333	2.3094010767585
LOC100129961	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC100129973	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130000	3	1	6	1	6	3	3.33333333333333	2.51661147842358
LOC100130075	0	0	0	0	0	0	0	0
LOC100130093	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130275	2	1	0	0	2	1	1	1
LOC100130301	0	0	0	0	0	0	0	0
LOC100130348	0	0	0	0	0	0	0	0
LOC100130357	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100130417	0	0	0	0	0	0	0	0
LOC100130451	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100130476	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130480	0	0	0	0	0	0	0	0
LOC100130539	0	0	0	0	0	0	0	0
LOC100130557	3	1	4	1	4	3	2.66666666666667	1.52752523165195
LOC100130691	2	1	1	1	2	1	1.33333333333333	0.577350269189626
LOC100130705	0	0	0	0	0	0	0	0
LOC100130744	0	0	0	0	0	0	0	0
LOC100130849	0	0	0	0	0	0	0	0
LOC100130872	5	2	1	1	5	2	2.66666666666667	2.08166599946613
LOC100130880	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100130899	4	11	15	4	15	11	10	5.56776436283002
LOC100130950	2	2	1	1	2	2	1.66666666666667	0.577350269189626
LOC100130954	9	8	3	3	9	8	6.66666666666667	3.21455025366432
LOC100130987	0	0	0	0	0	0	0	0
LOC100130992	0	0	0	0	0	0	0	0
LOC100131060	0	0	0	0	0	0	0	0
LOC100131067	10	5	6	5	10	6	7	2.64575131106459
LOC100131257	12	26	23	12	26	23	20.3333333333333	7.37111479583199
LOC100131347	4	2	0	0	4	2	2	2
LOC100131496	3	2	2	2	3	2	2.33333333333333	0.577350269189626
LOC100131564	16	16	13	13	16	16	15	1.73205080756888
LOC100131655	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100131691	2	2	2	2	2	2	2	0
LOC100132077	0	2	3	0	3	2	1.66666666666667	1.52752523165195
LOC100132078	0	0	0	0	0	0	0	0
LOC100132111	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100132215	2	2	1	1	2	2	1.66666666666667	0.577350269189626
LOC100132352	27	16	13	13	27	16	18.6666666666667	7.37111479583199
LOC100132354	0	0	0	0	0	0	0	0
LOC100132356	2	0	1	0	2	1	1	1
LOC100132707	7	5	10	5	10	7	7.33333333333333	2.51661147842358
LOC100132735	0	0	0	0	0	0	0	0
LOC100132781	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100132815	8	8	15	8	15	8	10.3333333333333	4.04145188432738
LOC100132832	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100132891	58	37	62	37	62	58	52.3333333333333	13.4288247189891
LOC100133050	0	0	0	0	0	0	0	0
LOC100133091	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100133286	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100133315	3	0	1	0	3	1	1.33333333333333	1.52752523165195
LOC100133612	5	3	8	3	8	5	5.33333333333333	2.51661147842358
LOC100133669	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100133920	0	0	0	0	0	0	0	0
LOC100133957	0	0	0	0	0	0	0	0
LOC100133985	0	0	0	0	0	0	0	0
LOC100134229	2	1	4	1	4	2	2.33333333333333	1.52752523165195
LOC100134259	0	0	3	0	3	0	1	1.73205080756888
LOC100134368	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100134868	11	5	5	5	11	5	7	3.46410161513775
LOC100144595	4	3	2	2	4	3	3	1
LOC100144602	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LOC100188947	3	0	2	0	3	2	1.66666666666667	1.52752523165195
LOC100190940	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100190986	18	13	30	13	30	18	20.3333333333333	8.73689494805411
LOC100216479	4	2	0	0	4	2	2	2
LOC100216545	1	5	3	1	5	3	3	2
LOC100216546	7	3	6	3	7	6	5.33333333333333	2.08166599946613
LOC100233156	7	4	5	4	7	5	5.33333333333333	1.52752523165195
LOC100240734	0	0	0	0	0	0	0	0
LOC100240735	0	0	0	0	0	0	0	0
LOC100268168	11	6	12	6	12	11	9.66666666666667	3.21455025366432
LOC100270746	0	0	0	0	0	0	0	0
LOC100270804	3	4	2	2	4	3	3	1
LOC100271832	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100271836	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100272216	0	0	0	0	0	0	0	0
LOC100272217	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100287015	5	7	10	5	10	7	7.33333333333333	2.51661147842358
LOC100287036	0	0	0	0	0	0	0	0
LOC100287042	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100287072	0	0	0	0	0	0	0	0
LOC100287177	3	3	3	3	3	3	3	0
LOC100287225	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100287632	0	0	0	0	0	0	0	0
LOC100287728	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100287792	7	3	3	3	7	3	4.33333333333333	2.3094010767585
LOC100287846	0	0	0	0	0	0	0	0
LOC100288069	1	1	5	1	5	1	2.33333333333333	2.3094010767585
LOC100288079	0	0	0	0	0	0	0	0
LOC100288142	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LOC100288181	0	0	0	0	0	0	0	0
LOC100288198	1	0	2	0	2	1	1	1
LOC100288255	0	0	0	0	0	0	0	0
LOC100288637	3	2	3	2	3	3	2.66666666666667	0.577350269189626
LOC100288748	3	2	3	2	3	3	2.66666666666667	0.577350269189626
LOC100288778	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100288842	1	2	0	0	2	1	1	1
LOC100288846	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100288911	0	2	3	0	3	2	1.66666666666667	1.52752523165195
LOC100288974	0	0	0	0	0	0	0	0
LOC100289019	9	1	9	1	9	9	6.33333333333333	4.61880215351701
LOC100289092	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100289187	2	0	1	0	2	1	1	1
LOC100289230	3	3	1	1	3	3	2.33333333333333	1.15470053837925
LOC100289361	1	2	3	1	3	2	2	1
LOC100289473	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100289495	2	0	2	0	2	2	1.33333333333333	1.15470053837925
LOC100289511	0	0	0	0	0	0	0	0
LOC100289561	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOC100289580	0	0	0	0	0	0	0	0
LOC100289650	0	0	0	0	0	0	0	0
LOC100289656	0	0	0	0	0	0	0	0
LOC100294145	9	11	4	4	11	9	8	3.60555127546399
LOC100294362	1	2	0	0	2	1	1	1
LOC100303749	0	0	0	0	0	0	0	0
LOC100335030	5	6	7	5	7	6	6	1
LOC100379224	3	2	3	2	3	3	2.66666666666667	0.577350269189626
LOC100499183	0	0	0	0	0	0	0	0
LOC100499194	0	0	0	0	0	0	0	0
LOC100499405	0	0	0	0	0	0	0	0
LOC100499484	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100499489	2	1	1	1	2	1	1.33333333333333	0.577350269189626
LOC100500773	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LOC100505478	0	0	0	0	0	0	0	0
LOC100505495	48	39	49	39	49	48	45.3333333333333	5.5075705472861
LOC100505545	0	0	0	0	0	0	0	0
LOC100505549	2	4	2	2	4	2	2.66666666666667	1.15470053837925
LOC100505622	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC100505625	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100505633	175	151	196	151	196	175	174	22.5166604983954
LOC100505636	0	4	4	0	4	4	2.66666666666667	2.3094010767585
LOC100505658	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100505666	0	0	0	0	0	0	0	0
LOC100505676	4	2	4	2	4	4	3.33333333333333	1.15470053837925
LOC100505679	2	1	0	0	2	1	1	1
LOC100505695	1	4	6	1	6	4	3.66666666666667	2.51661147842358
LOC100505702	4	1	3	1	4	3	2.66666666666667	1.52752523165195
LOC100505715	17	8	14	8	17	14	13	4.58257569495584
LOC100505716	0	0	0	0	0	0	0	0
LOC100505718	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505738	86	67	106	67	106	86	86.3333333333333	19.5021366350801
LOC100505761	1	0	3	0	3	1	1.33333333333333	1.52752523165195
LOC100505768	0	0	0	0	0	0	0	0
LOC100505776	0	0	0	0	0	0	0	0
LOC100505782	0	0	0	0	0	0	0	0
LOC100505795	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LOC100505806	18	17	20	17	20	18	18.3333333333333	1.52752523165195
LOC100505812	9	2	2	2	9	2	4.33333333333333	4.04145188432738
LOC100505835	0	0	0	0	0	0	0	0
LOC100505841	0	0	0	0	0	0	0	0
LOC100505875	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505876	112	51	86	51	112	86	83	30.6104557300279
LOC100505912	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100505918	0	0	0	0	0	0	0	0
LOC100505978	0	0	0	0	0	0	0	0
LOC100505984	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505989	3	9	9	3	9	9	7	3.46410161513775
LOC100506013	0	0	0	0	0	0	0	0
LOC100506023	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LOC100506025	0	0	0	0	0	0	0	0
LOC100506035	0	0	0	0	0	0	0	0
LOC100506050	0	0	0	0	0	0	0	0
LOC100506054	33	32	37	32	37	33	34	2.64575131106459
LOC100506060	2	3	1	1	3	2	2	1
LOC100506071	0	0	0	0	0	0	0	0
LOC100506076	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100506082	0	0	0	0	0	0	0	0
LOC100506083	4	1	10	1	10	4	5	4.58257569495584
LOC100506085	2	2	1	1	2	2	1.66666666666667	0.577350269189626
LOC100506100	11	8	8	8	11	8	9	1.73205080756888
LOC100506123	1	5	1	1	5	1	2.33333333333333	2.3094010767585
LOC100506124	0	0	0	0	0	0	0	0
LOC100506134	0	0	0	0	0	0	0	0
LOC100506136	2	0	3	0	3	2	1.66666666666667	1.52752523165195
LOC100506172	0	0	0	0	0	0	0	0
LOC100506178	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100506207	2	1	1	1	2	1	1.33333333333333	0.577350269189626
LOC100506241	3	1	2	1	3	2	2	1
LOC100506314	3	5	6	3	6	5	4.66666666666667	1.52752523165195
LOC100506321	0	0	0	0	0	0	0	0
LOC100506343	1	2	2	1	2	2	1.66666666666667	0.577350269189626
LOC100506368	2	0	2	0	2	2	1.33333333333333	1.15470053837925
LOC100506385	18	12	19	12	19	18	16.3333333333333	3.78593889720018
LOC100506388	25	31	43	25	43	31	33	9.16515138991168
LOC100506392	2	1	3	1	3	2	2	1
LOC100506394	28	24	39	24	39	28	30.3333333333333	7.76745346515403
LOC100506413	0	0	0	0	0	0	0	0
LOC100506421	0	0	0	0	0	0	0	0
LOC100506422	0	0	0	0	0	0	0	0
LOC100506469	1	2	4	1	4	2	2.33333333333333	1.52752523165195
LOC100506472	10	5	4	4	10	5	6.33333333333333	3.21455025366432
LOC100506474	0	0	0	0	0	0	0	0
LOC100506497	0	0	0	0	0	0	0	0
LOC100506499	0	0	0	0	0	0	0	0
LOC100506548	44	23	21	21	44	23	29.3333333333333	12.7410099024109
LOC100506551	10	3	6	3	10	6	6.33333333333333	3.51188458428425
LOC100506639	0	1	3	0	3	1	1.33333333333333	1.52752523165195
LOC100506655	0	0	0	0	0	0	0	0
LOC100506688	7	1	5	1	7	5	4.33333333333333	3.05505046330389
LOC100506710	61	28	50	28	61	50	46.3333333333333	16.8027775481714
LOC100506713	1	4	5	1	5	4	3.33333333333333	2.08166599946613
LOC100506714	5	3	1	1	5	3	3	2
LOC100506730	4	3	0	0	4	3	2.33333333333333	2.08166599946613
LOC100506746	7	5	3	3	7	5	5	2
LOC100506776	0	2	2	0	2	2	1.33333333333333	1.15470053837925
LOC100506795	4	2	12	2	12	4	6	5.29150262212918
LOC100506801	0	0	0	0	0	0	0	0
LOC100506804	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC100506810	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100506834	7	4	6	4	7	6	5.66666666666667	1.52752523165195
LOC100506844	54	39	64	39	64	54	52.3333333333333	12.5830573921179
LOC100506895	0	0	0	0	0	0	0	0
LOC100506963	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506990	43	28	41	28	43	41	37.3333333333333	8.14452781524708
LOC100507032	3	3	4	3	4	3	3.33333333333333	0.577350269189626
LOC100507053	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100507066	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100507091	0	0	0	0	0	0	0	0
LOC100507117	3	2	0	0	3	2	1.66666666666667	1.52752523165195
LOC100507140	0	0	0	0	0	0	0	0
LOC100507156	1	2	3	1	3	2	2	1
LOC100507173	2	4	3	2	4	3	3	1
LOC100507217	33	17	29	17	33	29	26.3333333333333	8.32666399786453
LOC100507250	0	0	0	0	0	0	0	0
