Gene	DOM.A.4.13.1.B7	DOM.A.4.14.1.B8	DOM.A.5.11.1.C7	Min	Max	Median	Mean	Std
LMO3	0	0	0	0	0	0	0	0
LMO4	45	29	39	29	45	39	37.6666666666667	8.08290376865476
LMO7	170	175	186	170	186	175	177	8.18535277187245
LMOD1	60	59	71	59	71	60	63.3333333333333	6.65832811847939
LMOD3	5	0	3	0	5	3	2.66666666666667	2.51661147842358
LMTK2	13	9	6	6	13	9	9.33333333333333	3.51188458428425
LMTK3	0	0	0	0	0	0	0	0
LMX1B	6	2	1	1	6	2	3	2.64575131106459
LNP1	1	4	6	1	6	4	3.66666666666667	2.51661147842358
LNPEP	7	7	11	7	11	7	8.33333333333333	2.3094010767585
LNX1	14	11	7	7	14	11	10.6666666666667	3.51188458428425
LNX2	7	8	9	7	9	8	8	1
LOC100126784	1	1	1	1	1	1	1	0
LOC100127983	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC100128164	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100128176	0	0	0	0	0	0	0	0
LOC100128233	4	5	12	4	12	5	7	4.35889894354067
LOC100128239	0	0	0	0	0	0	0	0
LOC100128264	0	0	0	0	0	0	0	0
LOC100128288	6	5	3	3	6	5	4.66666666666667	1.52752523165195
LOC100128361	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100128398	4	5	6	4	6	5	5	1
LOC100128505	0	0	0	0	0	0	0	0
LOC100128531	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100128568	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100128573	1	1	1	1	1	1	1	0
LOC100128593	0	0	0	0	0	0	0	0
LOC100128682	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LOC100128714	0	0	0	0	0	0	0	0
LOC100128770	0	0	0	0	0	0	0	0
LOC100128822	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC100128881	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100128885	0	0	0	0	0	0	0	0
LOC100129027	0	0	0	0	0	0	0	0
LOC100129034	26	16	24	16	26	24	22	5.29150262212918
LOC100129046	0	0	0	0	0	0	0	0
LOC100129055	0	0	0	0	0	0	0	0
LOC100129138	2	0	2	0	2	2	1.33333333333333	1.15470053837925
LOC100129195	36	42	42	36	42	42	40	3.46410161513775
LOC100129269	2	4	2	2	4	2	2.66666666666667	1.15470053837925
LOC100129316	0	0	0	0	0	0	0	0
LOC100129361	55	44	43	43	55	44	47.3333333333333	6.65832811847939
LOC100129427	0	0	0	0	0	0	0	0
LOC100129518	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100129534	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100129550	4	2	4	2	4	4	3.33333333333333	1.15470053837925
LOC100129617	0	0	0	0	0	0	0	0
LOC100129726	0	0	0	0	0	0	0	0
LOC100129858	2	8	7	2	8	7	5.66666666666667	3.21455025366432
LOC100129917	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC100129924	0	0	0	0	0	0	0	0
LOC100129931	3	0	3	0	3	3	2	1.73205080756888
LOC100129935	4	3	0	0	4	3	2.33333333333333	2.08166599946613
LOC100129961	1	1	3	1	3	1	1.66666666666667	1.15470053837925
LOC100129973	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100130000	3	2	4	2	4	3	3	1
LOC100130075	0	0	0	0	0	0	0	0
LOC100130093	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130275	2	0	1	0	2	1	1	1
LOC100130301	0	0	0	0	0	0	0	0
LOC100130348	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100130357	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100130417	0	0	0	0	0	0	0	0
LOC100130451	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100130476	0	0	0	0	0	0	0	0
LOC100130480	0	0	0	0	0	0	0	0
LOC100130539	0	0	0	0	0	0	0	0
LOC100130557	3	4	1	1	4	3	2.66666666666667	1.52752523165195
LOC100130691	3	1	2	1	3	2	2	1
LOC100130705	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130744	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100130849	0	0	0	0	0	0	0	0
LOC100130872	2	2	1	1	2	2	1.66666666666667	0.577350269189626
LOC100130880	0	0	0	0	0	0	0	0
LOC100130899	3	10	12	3	12	10	8.33333333333333	4.72581562625261
LOC100130950	2	1	2	1	2	2	1.66666666666667	0.577350269189626
LOC100130954	10	7	9	7	10	9	8.66666666666667	1.52752523165195
LOC100130987	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100130992	0	0	0	0	0	0	0	0
LOC100131060	0	0	0	0	0	0	0	0
LOC100131067	7	12	10	7	12	10	9.66666666666667	2.51661147842358
LOC100131257	29	15	20	15	29	20	21.3333333333333	7.09459888459759
LOC100131347	2	1	0	0	2	1	1	1
LOC100131496	0	6	1	0	6	1	2.33333333333333	3.21455025366432
LOC100131564	10	11	14	10	14	11	11.6666666666667	2.08166599946613
LOC100131655	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100131691	4	0	2	0	4	2	2	2
LOC100132077	2	4	4	2	4	4	3.33333333333333	1.15470053837925
LOC100132078	0	0	0	0	0	0	0	0
LOC100132111	0	0	0	0	0	0	0	0
LOC100132215	1	0	2	0	2	1	1	1
LOC100132352	16	19	17	16	19	17	17.3333333333333	1.52752523165195
LOC100132354	0	0	0	0	0	0	0	0
LOC100132356	1	1	1	1	1	1	1	0
LOC100132707	8	7	7	7	8	7	7.33333333333333	0.577350269189626
LOC100132735	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100132781	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100132815	13	10	10	10	13	10	11	1.73205080756888
LOC100132832	0	0	0	0	0	0	0	0
LOC100132891	43	55	44	43	55	44	47.3333333333333	6.65832811847939
LOC100133050	0	0	0	0	0	0	0	0
LOC100133091	1	3	3	1	3	3	2.33333333333333	1.15470053837925
LOC100133286	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100133315	1	3	0	0	3	1	1.33333333333333	1.52752523165195
LOC100133612	4	1	3	1	4	3	2.66666666666667	1.52752523165195
LOC100133669	0	1	3	0	3	1	1.33333333333333	1.52752523165195
LOC100133920	0	0	0	0	0	0	0	0
LOC100133957	0	0	0	0	0	0	0	0
LOC100133985	0	0	0	0	0	0	0	0
LOC100134229	3	0	3	0	3	3	2	1.73205080756888
LOC100134259	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100134368	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100134868	11	7	8	7	11	8	8.66666666666667	2.08166599946613
LOC100144595	5	2	1	1	5	2	2.66666666666667	2.08166599946613
LOC100144602	2	2	3	2	3	2	2.33333333333333	0.577350269189626
LOC100188947	0	2	1	0	2	1	1	1
LOC100190940	0	0	0	0	0	0	0	0
LOC100190986	16	13	15	13	16	15	14.6666666666667	1.52752523165195
LOC100216479	3	3	1	1	3	3	2.33333333333333	1.15470053837925
LOC100216545	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LOC100216546	7	6	10	6	10	7	7.66666666666667	2.08166599946613
LOC100233156	8	9	2	2	9	8	6.33333333333333	3.78593889720018
LOC100240734	0	0	0	0	0	0	0	0
LOC100240735	0	0	0	0	0	0	0	0
LOC100268168	10	9	6	6	10	9	8.33333333333333	2.08166599946613
LOC100270746	0	2	0	0	2	0	0.666666666666667	1.15470053837925
LOC100270804	2	0	2	0	2	2	1.33333333333333	1.15470053837925
LOC100271832	0	0	0	0	0	0	0	0
LOC100271836	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100272216	0	0	0	0	0	0	0	0
LOC100272217	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100287015	8	4	9	4	9	8	7	2.64575131106459
LOC100287036	0	0	0	0	0	0	0	0
LOC100287042	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100287072	0	0	0	0	0	0	0	0
LOC100287177	3	1	4	1	4	3	2.66666666666667	1.52752523165195
LOC100287225	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100287632	0	0	0	0	0	0	0	0
LOC100287728	0	0	0	0	0	0	0	0
LOC100287792	1	2	2	1	2	2	1.66666666666667	0.577350269189626
LOC100287846	0	1	2	0	2	1	1	1
LOC100288069	3	2	3	2	3	3	2.66666666666667	0.577350269189626
LOC100288079	0	0	0	0	0	0	0	0
LOC100288142	0	1	2	0	2	1	1	1
LOC100288181	0	0	0	0	0	0	0	0
LOC100288198	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100288255	0	0	0	0	0	0	0	0
LOC100288637	2	0	1	0	2	1	1	1
LOC100288748	5	2	6	2	6	5	4.33333333333333	2.08166599946613
LOC100288778	0	0	0	0	0	0	0	0
LOC100288842	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100288846	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100288911	4	3	3	3	4	3	3.33333333333333	0.577350269189626
LOC100288974	0	0	0	0	0	0	0	0
LOC100289019	6	2	2	2	6	2	3.33333333333333	2.3094010767585
LOC100289092	0	0	0	0	0	0	0	0
LOC100289187	1	4	4	1	4	4	3	1.73205080756888
LOC100289230	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100289361	3	0	2	0	3	2	1.66666666666667	1.52752523165195
LOC100289473	0	0	0	0	0	0	0	0
LOC100289495	2	3	2	2	3	2	2.33333333333333	0.577350269189626
LOC100289511	0	0	0	0	0	0	0	0
LOC100289561	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100289580	0	0	0	0	0	0	0	0
LOC100289650	0	0	0	0	0	0	0	0
LOC100289656	0	0	0	0	0	0	0	0
LOC100294145	19	15	13	13	19	15	15.6666666666667	3.05505046330389
LOC100294362	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LOC100303749	0	0	0	0	0	0	0	0
LOC100335030	2	1	8	1	8	2	3.66666666666667	3.78593889720018
LOC100379224	4	1	3	1	4	3	2.66666666666667	1.52752523165195
LOC100499183	0	0	0	0	0	0	0	0
LOC100499194	0	0	0	0	0	0	0	0
LOC100499405	0	0	0	0	0	0	0	0
LOC100499484	0	0	0	0	0	0	0	0
LOC100499489	3	1	2	1	3	2	2	1
LOC100500773	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100505478	0	0	0	0	0	0	0	0
LOC100505495	52	41	36	36	52	41	43	8.18535277187245
LOC100505545	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100505549	2	1	3	1	3	2	2	1
LOC100505622	0	3	3	0	3	3	2	1.73205080756888
LOC100505625	0	0	0	0	0	0	0	0
LOC100505633	165	155	147	147	165	155	155.666666666667	9.01849950564579
LOC100505636	0	2	1	0	2	1	1	1
LOC100505658	0	0	0	0	0	0	0	0
LOC100505666	0	0	0	0	0	0	0	0
LOC100505676	1	3	1	1	3	1	1.66666666666667	1.15470053837925
LOC100505679	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100505695	5	8	1	1	8	5	4.66666666666667	3.51188458428425
LOC100505702	2	2	2	2	2	2	2	0
LOC100505715	14	10	17	10	17	14	13.6666666666667	3.51188458428425
LOC100505716	0	0	0	0	0	0	0	0
LOC100505718	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505738	75	71	75	71	75	75	73.6666666666667	2.3094010767585
LOC100505761	3	2	2	2	3	2	2.33333333333333	0.577350269189626
LOC100505768	0	0	0	0	0	0	0	0
LOC100505776	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505782	0	0	0	0	0	0	0	0
LOC100505795	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505806	18	21	10	10	21	18	16.3333333333333	5.68624070307733
LOC100505812	7	4	1	1	7	4	4	3
LOC100505835	0	0	0	0	0	0	0	0
LOC100505841	0	0	0	0	0	0	0	0
LOC100505875	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505876	82	101	88	82	101	88	90.3333333333333	9.71253485622231
LOC100505912	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505918	0	0	0	0	0	0	0	0
LOC100505978	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100505984	0	0	0	0	0	0	0	0
LOC100505989	5	5	7	5	7	5	5.66666666666667	1.15470053837925
LOC100506013	0	0	0	0	0	0	0	0
LOC100506023	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506025	0	0	0	0	0	0	0	0
LOC100506035	0	0	0	0	0	0	0	0
LOC100506050	0	0	0	0	0	0	0	0
LOC100506054	29	33	40	29	40	33	34	5.56776436283002
LOC100506060	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100506071	0	0	0	0	0	0	0	0
LOC100506076	0	0	0	0	0	0	0	0
LOC100506082	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100506083	1	2	3	1	3	2	2	1
LOC100506085	3	2	1	1	3	2	2	1
LOC100506100	10	11	13	10	13	11	11.3333333333333	1.52752523165195
LOC100506123	2	1	0	0	2	1	1	1
LOC100506124	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100506134	0	0	0	0	0	0	0	0
LOC100506136	0	1	2	0	2	1	1	1
LOC100506172	0	0	0	0	0	0	0	0
LOC100506178	0	0	0	0	0	0	0	0
LOC100506207	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506241	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506314	2	4	2	2	4	2	2.66666666666667	1.15470053837925
LOC100506321	0	0	0	0	0	0	0	0
LOC100506343	1	2	2	1	2	2	1.66666666666667	0.577350269189626
LOC100506368	1	4	3	1	4	3	2.66666666666667	1.52752523165195
LOC100506385	23	12	13	12	23	13	16	6.08276253029822
LOC100506388	20	41	32	20	41	32	31	10.5356537528527
LOC100506392	0	2	2	0	2	2	1.33333333333333	1.15470053837925
LOC100506394	20	25	26	20	26	25	23.6666666666667	3.21455025366432
LOC100506413	0	0	0	0	0	0	0	0
LOC100506421	0	0	0	0	0	0	0	0
LOC100506422	0	0	0	0	0	0	0	0
LOC100506469	2	1	2	1	2	2	1.66666666666667	0.577350269189626
LOC100506472	12	5	4	4	12	5	7	4.35889894354067
LOC100506474	0	0	0	0	0	0	0	0
LOC100506497	0	0	0	0	0	0	0	0
LOC100506499	0	0	0	0	0	0	0	0
LOC100506548	43	42	29	29	43	42	38	7.81024967590665
LOC100506551	8	8	8	8	8	8	8	0
LOC100506639	0	2	3	0	3	2	1.66666666666667	1.52752523165195
LOC100506655	0	0	0	0	0	0	0	0
LOC100506688	5	4	1	1	5	4	3.33333333333333	2.08166599946613
LOC100506710	47	53	35	35	53	47	45	9.16515138991168
LOC100506713	4	2	3	2	4	3	3	1
LOC100506714	2	2	2	2	2	2	2	0
LOC100506730	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LOC100506746	6	7	5	5	7	6	6	1
LOC100506776	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100506795	2	3	3	2	3	3	2.66666666666667	0.577350269189626
LOC100506801	0	0	0	0	0	0	0	0
LOC100506804	3	0	0	0	3	0	1	1.73205080756888
LOC100506810	0	0	0	0	0	0	0	0
LOC100506834	9	3	5	3	9	5	5.66666666666667	3.05505046330389
LOC100506844	32	52	59	32	59	52	47.6666666666667	14.0118997046558
LOC100506895	0	0	0	0	0	0	0	0
LOC100506963	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100506990	25	25	44	25	44	25	31.3333333333333	10.9696551146029
LOC100507032	2	4	3	2	4	3	3	1
LOC100507053	0	0	3	0	3	0	1	1.73205080756888
LOC100507066	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC100507091	0	0	0	0	0	0	0	0
LOC100507117	2	2	0	0	2	2	1.33333333333333	1.15470053837925
LOC100507140	0	0	0	0	0	0	0	0
LOC100507156	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LOC100507173	2	5	9	2	9	5	5.33333333333333	3.51188458428425
LOC100507217	27	21	26	21	27	26	24.6666666666667	3.21455025366432
LOC100507250	0	0	0	0	0	0	0	0
LOC100507254	32	54	32	32	54	32	39.3333333333333	12.7017059221718
LOC100507351	1	0	4	0	4	1	1.66666666666667	2.08166599946613
LOC100507373	2	4	4	2	4	4	3.33333333333333	1.15470053837925
LOC100507377	0	0	0	0	0	0	0	0
LOC100507389	0	0	0	0	0	0	0	0
LOC100507412	3	1	2	1	3	2	2	1
LOC100507424	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100507462	2	0	1	0	2	1	1	1
LOC100507463	0	0	0	0	0	0	0	0
LOC100507489	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100507501	4	2	7	2	7	4	4.33333333333333	2.51661147842358
LOC100507506	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100507537	0	0	0	0	0	0	0	0
LOC100507547	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100507557	3	1	5	1	5	3	3	2
LOC100507564	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC100507577	5	3	3	3	5	3	3.66666666666667	1.15470053837925
LOC100507584	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100507600	0	0	0	0	0	0	0	0
LOC100507602	11	17	12	11	17	12	13.3333333333333	3.21455025366432
LOC100507634	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC100507651	0	0	0	0	0	0	0	0
LOC100508120	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100527964	0	0	0	0	0	0	0	0
LOC100616530	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100630918	0	0	0	0	0	0	0	0
LOC100630923	0	0	0	0	0	0	0	0
LOC100631378	0	0	0	0	0	0	0	0
LOC100652736	0	0	0	0	0	0	0	0
LOC100652739	0	0	0	0	0	0	0	0
LOC100652758	3	3	5	3	5	3	3.66666666666667	1.15470053837925
LOC100652768	0	0	0	0	0	0	0	0
LOC100652772	16	17	13	13	17	16	15.3333333333333	2.08166599946613
LOC100652824	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC100653515	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC100862671	0	4	3	0	4	3	2.33333333333333	2.08166599946613
LOC100996251	10	11	6	6	11	10	9	2.64575131106459
LOC100996255	9	14	14	9	14	14	12.3333333333333	2.88675134594813
LOC100996291	4	4	0	0	4	4	2.66666666666667	2.3094010767585
LOC100996455	1	0	2	0	2	1	1	1
LOC100996485	2	4	0	0	4	2	2	2
LOC100996634	0	0	0	0	0	0	0	0
LOC100996669	0	0	0	0	0	0	0	0
LOC100996702	0	0	0	0	0	0	0	0
LOC101054525	0	0	0	0	0	0	0	0
LOC101241902	0	0	0	0	0	0	0	0
LOC101409256	6	3	2	2	6	3	3.66666666666667	2.08166599946613
LOC101448202	0	0	0	0	0	0	0	0
LOC101559451	0	0	0	0	0	0	0	0
LOC101593348	0	0	0	0	0	0	0	0
LOC113230	0	0	0	0	0	0	0	0
LOC115110	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC143666	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC145474	1	1	1	1	1	1	1	0
LOC145783	0	0	0	0	0	0	0	0
LOC145837	0	0	0	0	0	0	0	0
LOC145845	0	0	0	0	0	0	0	0
LOC146880	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC148413	3	1	1	1	3	1	1.66666666666667	1.15470053837925
LOC148696	0	0	0	0	0	0	0	0
LOC148709	3	0	2	0	3	2	1.66666666666667	1.52752523165195
LOC149134	0	0	0	0	0	0	0	0
LOC150381	14	16	19	14	19	16	16.3333333333333	2.51661147842358
LOC150568	0	0	0	0	0	0	0	0
LOC150577	0	0	0	0	0	0	0	0
LOC150622	6	5	5	5	6	5	5.33333333333333	0.577350269189626
LOC150776	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC150935	0	0	0	0	0	0	0	0
LOC151009	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC151171	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC151174	0	1	2	0	2	1	1	1
LOC151475	4	3	7	3	7	4	4.66666666666667	2.08166599946613
LOC152225	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC152742	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC153684	2	1	1	1	2	1	1.33333333333333	0.577350269189626
LOC154092	0	0	0	0	0	0	0	0
LOC154449	0	0	0	0	0	0	0	0
LOC154761	6	8	6	6	8	6	6.66666666666667	1.15470053837925
LOC155060	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC157273	0	0	0	0	0	0	0	0
LOC158435	0	0	0	0	0	0	0	0
LOC158960	19	19	25	19	25	19	21	3.46410161513775
LOC201651	0	0	0	0	0	0	0	0
LOC202181	0	0	0	0	0	0	0	0
LOC202781	2	4	3	2	4	3	3	1
LOC220729	3	3	4	3	4	3	3.33333333333333	0.577350269189626
LOC221122	0	0	0	0	0	0	0	0
LOC253044	0	0	0	0	0	0	0	0
LOC254128	15	9	10	9	15	10	11.3333333333333	3.21455025366432
LOC254896	2	2	2	2	2	2	2	0
LOC255130	0	0	0	0	0	0	0	0
LOC255167	0	4	2	0	4	2	2	2
LOC255654	0	0	0	0	0	0	0	0
LOC256880	4	2	3	2	4	3	3	1
LOC257358	0	0	0	0	0	0	0	0
LOC257396	6	5	5	5	6	5	5.33333333333333	0.577350269189626
LOC283038	0	1	2	0	2	1	1	1
LOC283070	9	5	5	5	9	5	6.33333333333333	2.3094010767585
LOC283177	0	0	0	0	0	0	0	0
LOC283214	0	0	0	0	0	0	0	0
LOC283299	4	4	3	3	4	4	3.66666666666667	0.577350269189626
LOC283335	3	2	3	2	3	3	2.66666666666667	0.577350269189626
LOC283440	0	0	0	0	0	0	0	0
LOC283585	0	0	0	0	0	0	0	0
LOC283683	4	5	8	4	8	5	5.66666666666667	2.08166599946613
LOC283692	0	0	0	0	0	0	0	0
LOC283693	7	4	5	4	7	5	5.33333333333333	1.52752523165195
LOC283731	1	2	2	1	2	2	1.66666666666667	0.577350269189626
LOC283788	15	8	18	8	18	15	13.6666666666667	5.13160143944688
LOC283856	0	0	0	0	0	0	0	0
LOC283922	0	0	0	0	0	0	0	0
LOC284009	0	0	0	0	0	0	0	0
LOC284023	8	5	6	5	8	6	6.33333333333333	1.52752523165195
LOC284080	0	0	0	0	0	0	0	0
LOC284344	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC284379	3	5	5	3	5	5	4.33333333333333	1.15470053837925
LOC284395	0	0	0	0	0	0	0	0
LOC284412	41	27	29	27	41	29	32.3333333333333	7.57187779440036
LOC284454	14	18	13	13	18	14	15	2.64575131106459
LOC284551	1	1	1	1	1	1	1	0
LOC284581	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC284648	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC284688	0	0	0	0	0	0	0	0
LOC284751	0	0	0	0	0	0	0	0
LOC284757	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC284798	0	0	0	0	0	0	0	0
LOC284801	0	0	0	0	0	0	0	0
LOC284837	0	0	0	0	0	0	0	0
LOC284865	2	4	2	2	4	2	2.66666666666667	1.15470053837925
LOC284889	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LOC284933	0	0	0	0	0	0	0	0
LOC284950	6	3	6	3	6	6	5	1.73205080756888
LOC284998	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC285033	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC285074	4	5	8	4	8	5	5.66666666666667	2.08166599946613
LOC285419	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC285540	2	1	2	1	2	2	1.66666666666667	0.577350269189626
LOC285593	0	0	0	0	0	0	0	0
LOC285696	0	0	0	0	0	0	0	0
LOC285740	0	0	0	0	0	0	0	0
LOC285758	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC285762	0	0	0	0	0	0	0	0
LOC285819	0	0	0	0	0	0	0	0
LOC285847	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC285889	0	0	0	0	0	0	0	0
LOC285972	0	1	3	0	3	1	1.33333333333333	1.52752523165195
LOC286059	0	0	0	0	0	0	0	0
LOC286177	1	1	1	1	1	1	1	0
LOC286184	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC286186	1	3	2	1	3	2	2	1
LOC286189	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC286190	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC286297	0	0	0	0	0	0	0	0
LOC286359	0	0	0	0	0	0	0	0
LOC286367	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC286370	0	0	0	0	0	0	0	0
LOC286437	5	0	1	0	5	1	2	2.64575131106459
LOC286467	1	2	3	1	3	2	2	1
LOC338799	3	1	5	1	5	3	3	2
LOC338817	0	4	1	0	4	1	1.66666666666667	2.08166599946613
LOC338963	0	0	0	0	0	0	0	0
LOC339166	0	0	0	0	0	0	0	0
LOC339298	0	0	0	0	0	0	0	0
LOC339505	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC339524	2	1	0	0	2	1	1	1
LOC339529	0	0	0	0	0	0	0	0
LOC339535	0	0	0	0	0	0	0	0
LOC339622	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC339803	22	6	35	6	35	22	21	14.5258390463339
LOC339874	0	0	0	0	0	0	0	0
LOC340113	0	0	0	0	0	0	0	0
LOC340515	0	0	0	0	0	0	0	0
LOC344887	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC344967	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOC374443	12	29	11	11	29	12	17.3333333333333	10.1159939369957
LOC375196	0	0	0	0	0	0	0	0
LOC375295	0	0	0	0	0	0	0	0
LOC388152	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC388692	12	7	15	7	15	12	11.3333333333333	4.04145188432738
LOC388948	0	0	0	0	0	0	0	0
LOC389033	0	0	0	0	0	0	0	0
LOC389247	0	0	0	0	0	0	0	0
LOC389641	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC389705	0	0	0	0	0	0	0	0
LOC389765	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC389831	76	94	97	76	97	94	89	11.3578166916005
LOC389834	7	11	8	7	11	8	8.66666666666667	2.08166599946613
LOC389906	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC391322	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC392196	0	0	0	0	0	0	0	0
LOC392232	1	2	0	0	2	1	1	1
LOC399715	0	2	1	0	2	1	1	1
LOC399744	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC399815	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC400043	0	0	0	0	0	0	0	0
LOC400456	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC400548	2	5	5	2	5	5	4	1.73205080756888
LOC400655	5	2	3	2	5	3	3.33333333333333	1.52752523165195
LOC400684	1	3	0	0	3	1	1.33333333333333	1.52752523165195
LOC400752	0	0	0	0	0	0	0	0
LOC400891	2	0	4	0	4	2	2	2
LOC400927	0	0	0	0	0	0	0	0
LOC400958	1	3	3	1	3	3	2.33333333333333	1.15470053837925
LOC401052	7	5	10	5	10	7	7.33333333333333	2.51661147842358
LOC401127	0	0	0	0	0	0	0	0
LOC401134	0	0	0	0	0	0	0	0
LOC401320	0	11	7	0	11	7	6	5.56776436283002
LOC401321	3	4	7	3	7	4	4.66666666666667	2.08166599946613
LOC401324	0	0	0	0	0	0	0	0
LOC401397	140	125	132	125	140	132	132.333333333333	7.50555349946513
