Gene	SOR+URS.A.5.7.1.C3	SOR+URS.A.5.8.1.C4	SOR+URS.A.5.9.1.C5	Min	Max	Median	Mean	Std
LOC100652736	0	0	0	0	0	0	0	0
LOC100652739	0	0	0	0	0	0	0	0
LOC100652758	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100652768	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC100652772	4	3	6	3	6	4	4.33333333333333	1.52752523165195
LOC100652824	0	0	0	0	0	0	0	0
LOC100653515	0	0	0	0	0	0	0	0
LOC100862671	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC100996251	4	4	9	4	9	4	5.66666666666667	2.88675134594813
LOC100996255	0	1	5	0	5	1	2	2.64575131106459
LOC100996291	2	1	4	1	4	2	2.33333333333333	1.52752523165195
LOC100996455	0	0	0	0	0	0	0	0
LOC100996485	0	0	0	0	0	0	0	0
LOC100996634	0	0	0	0	0	0	0	0
LOC100996669	0	0	0	0	0	0	0	0
LOC100996702	0	0	0	0	0	0	0	0
LOC101054525	0	0	0	0	0	0	0	0
LOC101241902	0	0	0	0	0	0	0	0
LOC101409256	3	2	7	2	7	3	4	2.64575131106459
LOC101448202	0	0	0	0	0	0	0	0
LOC101559451	0	0	0	0	0	0	0	0
LOC101593348	0	0	0	0	0	0	0	0
LOC113230	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC115110	0	0	0	0	0	0	0	0
LOC143666	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC145474	0	0	0	0	0	0	0	0
LOC145783	0	0	0	0	0	0	0	0
LOC145837	0	0	0	0	0	0	0	0
LOC145845	0	0	0	0	0	0	0	0
LOC146880	0	0	0	0	0	0	0	0
LOC148413	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC148696	0	0	0	0	0	0	0	0
LOC148709	1	0	3	0	3	1	1.33333333333333	1.52752523165195
LOC149134	0	0	0	0	0	0	0	0
LOC150381	1	2	5	1	5	2	2.66666666666667	2.08166599946613
LOC150568	0	0	0	0	0	0	0	0
LOC150577	0	0	0	0	0	0	0	0
LOC150622	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC150776	0	0	0	0	0	0	0	0
LOC150935	0	0	0	0	0	0	0	0
LOC151009	0	0	0	0	0	0	0	0
LOC151171	0	0	0	0	0	0	0	0
LOC151174	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC151475	0	1	5	0	5	1	2	2.64575131106459
LOC152225	0	0	0	0	0	0	0	0
LOC152742	0	0	0	0	0	0	0	0
LOC153684	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOC154092	0	0	0	0	0	0	0	0
LOC154449	0	0	0	0	0	0	0	0
LOC154761	2	3	1	1	3	2	2	1
LOC155060	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC157273	0	0	0	0	0	0	0	0
LOC158435	0	0	0	0	0	0	0	0
LOC158960	4	0	3	0	4	3	2.33333333333333	2.08166599946613
LOC201651	0	0	0	0	0	0	0	0
LOC202181	0	0	0	0	0	0	0	0
LOC202781	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC220729	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC221122	0	0	0	0	0	0	0	0
LOC253044	0	0	0	0	0	0	0	0
LOC254128	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LOC254896	0	0	0	0	0	0	0	0
LOC255130	0	0	0	0	0	0	0	0
LOC255167	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC255654	0	0	0	0	0	0	0	0
LOC256880	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC257358	0	0	0	0	0	0	0	0
LOC257396	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC283038	0	0	0	0	0	0	0	0
LOC283070	1	2	5	1	5	2	2.66666666666667	2.08166599946613
LOC283177	0	0	0	0	0	0	0	0
LOC283214	0	0	0	0	0	0	0	0
LOC283299	1	0	3	0	3	1	1.33333333333333	1.52752523165195
LOC283335	1	4	5	1	5	4	3.33333333333333	2.08166599946613
LOC283440	0	0	0	0	0	0	0	0
LOC283585	0	0	0	0	0	0	0	0
LOC283683	2	2	8	2	8	2	4	3.46410161513775
LOC283692	0	0	0	0	0	0	0	0
LOC283693	1	1	3	1	3	1	1.66666666666667	1.15470053837925
LOC283731	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC283788	3	1	13	1	13	3	5.66666666666667	6.42910050732864
LOC283856	0	0	0	0	0	0	0	0
LOC283922	0	0	0	0	0	0	0	0
LOC284009	0	0	0	0	0	0	0	0
LOC284023	3	1	6	1	6	3	3.33333333333333	2.51661147842358
LOC284080	0	0	0	0	0	0	0	0
LOC284344	0	0	0	0	0	0	0	0
LOC284379	0	3	3	0	3	3	2	1.73205080756888
LOC284395	0	0	0	0	0	0	0	0
LOC284412	6	8	8	6	8	8	7.33333333333333	1.15470053837925
LOC284454	1	2	2	1	2	2	1.66666666666667	0.577350269189626
LOC284551	0	0	0	0	0	0	0	0
LOC284581	0	0	0	0	0	0	0	0
LOC284648	0	0	0	0	0	0	0	0
LOC284688	0	0	0	0	0	0	0	0
LOC284751	0	0	0	0	0	0	0	0
LOC284757	0	0	0	0	0	0	0	0
LOC284798	0	0	0	0	0	0	0	0
LOC284801	0	0	0	0	0	0	0	0
LOC284837	0	0	0	0	0	0	0	0
LOC284865	0	1	3	0	3	1	1.33333333333333	1.52752523165195
LOC284889	0	0	0	0	0	0	0	0
LOC284933	0	0	0	0	0	0	0	0
LOC284950	0	2	1	0	2	1	1	1
LOC284998	0	0	0	0	0	0	0	0
LOC285033	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC285074	1	2	6	1	6	2	3	2.64575131106459
LOC285419	0	0	0	0	0	0	0	0
LOC285540	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC285593	0	0	0	0	0	0	0	0
LOC285696	0	0	0	0	0	0	0	0
LOC285740	0	0	0	0	0	0	0	0
LOC285758	0	0	0	0	0	0	0	0
LOC285762	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC285819	0	0	0	0	0	0	0	0
LOC285847	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC285889	0	0	0	0	0	0	0	0
LOC285972	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC286059	0	0	0	0	0	0	0	0
LOC286177	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC286184	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC286186	0	2	2	0	2	2	1.33333333333333	1.15470053837925
LOC286189	0	0	0	0	0	0	0	0
LOC286190	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC286297	0	0	0	0	0	0	0	0
LOC286359	0	0	0	0	0	0	0	0
LOC286367	0	0	0	0	0	0	0	0
LOC286370	0	0	0	0	0	0	0	0
LOC286437	1	1	1	1	1	1	1	0
LOC286467	3	2	2	2	3	2	2.33333333333333	0.577350269189626
LOC338799	0	1	2	0	2	1	1	1
LOC338817	2	0	1	0	2	1	1	1
LOC338963	0	0	0	0	0	0	0	0
LOC339166	0	0	0	0	0	0	0	0
LOC339298	0	0	0	0	0	0	0	0
LOC339505	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC339524	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC339529	0	0	0	0	0	0	0	0
LOC339535	0	0	0	0	0	0	0	0
LOC339622	0	0	0	0	0	0	0	0
LOC339803	2	4	8	2	8	4	4.66666666666667	3.05505046330389
LOC339874	0	0	0	0	0	0	0	0
LOC340113	0	0	0	0	0	0	0	0
LOC340515	0	0	0	0	0	0	0	0
LOC344887	0	1	4	0	4	1	1.66666666666667	2.08166599946613
LOC344967	0	0	0	0	0	0	0	0
LOC374443	3	4	5	3	5	4	4	1
LOC375196	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC375295	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC388152	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC388692	1	1	6	1	6	1	2.66666666666667	2.88675134594813
LOC388948	0	0	0	0	0	0	0	0
LOC389033	0	0	0	0	0	0	0	0
LOC389247	0	0	0	0	0	0	0	0
LOC389641	0	0	3	0	3	0	1	1.73205080756888
LOC389705	0	0	0	0	0	0	0	0
LOC389765	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOC389831	11	14	18	11	18	14	14.3333333333333	3.51188458428425
LOC389834	1	3	4	1	4	3	2.66666666666667	1.52752523165195
LOC389906	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC391322	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC392196	0	0	0	0	0	0	0	0
LOC392232	0	0	0	0	0	0	0	0
LOC399715	2	0	1	0	2	1	1	1
LOC399744	0	0	0	0	0	0	0	0
LOC399815	0	0	0	0	0	0	0	0
LOC400043	0	0	0	0	0	0	0	0
LOC400456	0	0	0	0	0	0	0	0
LOC400548	6	0	4	0	6	4	3.33333333333333	3.05505046330389
LOC400655	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LOC400684	0	0	0	0	0	0	0	0
LOC400752	0	0	0	0	0	0	0	0
LOC400891	3	0	0	0	3	0	1	1.73205080756888
LOC400927	0	0	0	0	0	0	0	0
LOC400958	1	1	3	1	3	1	1.66666666666667	1.15470053837925
LOC401052	2	2	5	2	5	2	3	1.73205080756888
LOC401127	0	0	0	0	0	0	0	0
LOC401134	0	0	0	0	0	0	0	0
LOC401320	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC401321	1	1	3	1	3	1	1.66666666666667	1.15470053837925
LOC401324	0	0	0	0	0	0	0	0
LOC401397	10	7	19	7	19	10	12	6.2449979983984
LOC401557	0	0	0	0	0	0	0	0
LOC401980	0	0	0	0	0	0	0	0
LOC439994	0	0	0	0	0	0	0	0
LOC440028	0	0	0	0	0	0	0	0
LOC440173	0	0	0	0	0	0	0	0
LOC440243	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOC440300	2	5	6	2	6	5	4.33333333333333	2.08166599946613
LOC440311	0	0	0	0	0	0	0	0
LOC440434	0	0	0	0	0	0	0	0
LOC440461	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC440600	0	0	0	0	0	0	0	0
LOC440700	0	0	0	0	0	0	0	0
LOC440704	0	0	0	0	0	0	0	0
LOC440894	0	0	0	0	0	0	0	0
LOC440896	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC440905	0	0	0	0	0	0	0	0
LOC440910	0	0	0	0	0	0	0	0
LOC441009	0	0	0	0	0	0	0	0
LOC441081	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOC441155	0	0	0	0	0	0	0	0
LOC441204	0	0	0	0	0	0	0	0
LOC441242	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC441454	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC441455	0	0	0	0	0	0	0	0
LOC441461	0	0	0	0	0	0	0	0
LOC441666	1	2	3	1	3	2	2	1
LOC442028	0	0	0	0	0	0	0	0
LOC442132	0	0	0	0	0	0	0	0
LOC442497	0	0	0	0	0	0	0	0
LOC493754	3	2	6	2	6	3	3.66666666666667	2.08166599946613
LOC494141	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC541471	6	10	25	6	25	10	13.6666666666667	10.0166528008778
LOC541473	0	0	0	0	0	0	0	0
LOC550112	0	1	7	0	7	1	2.66666666666667	3.78593889720018
LOC550643	21	19	35	19	35	21	25	8.71779788708135
LOC553103	0	0	0	0	0	0	0	0
LOC554206	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC554223	0	0	0	0	0	0	0	0
LOC574538	0	0	0	0	0	0	0	0
LOC595101	0	0	0	0	0	0	0	0
LOC606724	0	0	0	0	0	0	0	0
LOC613037	0	0	0	0	0	0	0	0
LOC619207	0	0	0	0	0	0	0	0
LOC641367	0	0	0	0	0	0	0	0
LOC642236	3	2	11	2	11	3	5.33333333333333	4.93288286231625
LOC642361	0	0	0	0	0	0	0	0
LOC642366	0	0	0	0	0	0	0	0
LOC642846	0	0	0	0	0	0	0	0
LOC642852	0	0	0	0	0	0	0	0
LOC643201	0	0	0	0	0	0	0	0
LOC643339	0	0	0	0	0	0	0	0
LOC643355	0	0	0	0	0	0	0	0
LOC643401	2	3	6	2	6	3	3.66666666666667	2.08166599946613
LOC643406	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC643542	0	0	0	0	0	0	0	0
LOC643623	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC643648	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC643711	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC643723	0	0	0	0	0	0	0	0
LOC643733	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOC643770	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC643802	0	0	0	0	0	0	0	0
LOC643837	0	0	3	0	3	0	1	1.73205080756888
LOC643923	0	0	0	0	0	0	0	0
LOC644172	0	0	0	0	0	0	0	0
LOC644248	0	0	0	0	0	0	0	0
LOC644554	0	0	0	0	0	0	0	0
LOC644656	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC644669	0	0	0	0	0	0	0	0
LOC644838	0	0	0	0	0	0	0	0
LOC644936	0	0	0	0	0	0	0	0
LOC644961	2	1	2	1	2	2	1.66666666666667	0.577350269189626
LOC645166	2	0	6	0	6	2	2.66666666666667	3.05505046330389
LOC645434	0	0	0	0	0	0	0	0
LOC645513	0	0	0	0	0	0	0	0
LOC645638	7	18	14	7	18	14	13	5.56776436283002
LOC645752	0	0	0	0	0	0	0	0
LOC646214	0	0	0	0	0	0	0	0
LOC646268	0	0	0	0	0	0	0	0
LOC646278	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC646329	0	0	0	0	0	0	0	0
LOC646471	2	8	6	2	8	6	5.33333333333333	3.05505046330389
LOC646626	0	0	0	0	0	0	0	0
LOC646719	0	1	2	0	2	1	1	1
LOC646736	0	0	0	0	0	0	0	0
LOC646762	2	2	1	1	2	2	1.66666666666667	0.577350269189626
LOC646903	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC646938	0	0	0	0	0	0	0	0
LOC646999	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOC648691	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC648987	4	8	19	4	19	8	10.3333333333333	7.76745346515403
LOC650226	0	0	0	0	0	0	0	0
LOC650293	0	0	0	0	0	0	0	0
LOC650368	0	2	1	0	2	1	1	1
LOC652276	2	2	6	2	6	2	3.33333333333333	2.3094010767585
LOC653160	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC653501	0	0	0	0	0	0	0	0
LOC653513	0	0	0	0	0	0	0	0
LOC653653	0	0	0	0	0	0	0	0
LOC653712	2	1	1	1	2	1	1.33333333333333	0.577350269189626
LOC654342	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LOC654433	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC654841	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC727677	0	0	0	0	0	0	0	0
LOC727751	0	0	0	0	0	0	0	0
LOC727896	1	3	5	1	5	3	3	2
LOC727982	0	0	0	0	0	0	0	0
LOC728024	0	0	0	0	0	0	0	0
LOC728084	0	0	0	0	0	0	0	0
LOC728175	0	0	0	0	0	0	0	0
LOC728228	0	0	0	0	0	0	0	0
LOC728323	1	1	1	1	1	1	1	0
LOC728342	0	2	1	0	2	1	1	1
LOC728392	0	1	2	0	2	1	1	1
LOC728407	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC728431	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOC728463	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC728537	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC728606	1	3	5	1	5	3	3	2
LOC728613	0	2	1	0	2	1	1	1
LOC728730	6	6	15	6	15	6	9	5.19615242270663
LOC728743	0	0	0	0	0	0	0	0
LOC728752	0	0	0	0	0	0	0	0
LOC728819	0	0	0	0	0	0	0	0
LOC729020	0	0	0	0	0	0	0	0
LOC729041	0	0	0	0	0	0	0	0
LOC729121	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LOC729176	0	0	0	0	0	0	0	0
LOC729177	0	0	0	0	0	0	0	0
LOC729444	0	0	0	0	0	0	0	0
LOC729506	0	0	0	0	0	0	0	0
LOC729603	8	8	18	8	18	8	11.3333333333333	5.77350269189626
LOC729609	0	0	0	0	0	0	0	0
LOC729683	0	0	0	0	0	0	0	0
LOC729732	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC729737	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC729739	0	0	0	0	0	0	0	0
LOC729852	0	1	2	0	2	1	1	1
LOC729950	0	0	0	0	0	0	0	0
LOC729970	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC729987	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LOC730101	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LOC730102	0	0	0	0	0	0	0	0
LOC730183	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LOC730227	1	2	0	0	2	1	1	1
LOC730668	0	0	0	0	0	0	0	0
LOC731223	0	0	0	0	0	0	0	0
LOC731275	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LOC731424	2	5	13	2	13	5	6.66666666666667	5.68624070307733
LOC731779	0	0	0	0	0	0	0	0
LOC79015	4	1	5	1	5	4	3.33333333333333	2.08166599946613
LOC80154	0	0	0	0	0	0	0	0
LOC81691	0	2	2	0	2	2	1.33333333333333	1.15470053837925
LOC90246	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LOC90784	1	3	6	1	6	3	3.33333333333333	2.51661147842358
LOC90834	2	2	7	2	7	2	3.66666666666667	2.88675134594813
LOC91450	0	0	0	0	0	0	0	0
LOC92249	2	3	11	2	11	3	5.33333333333333	4.93288286231625
LOC93622	2	2	1	1	2	2	1.66666666666667	0.577350269189626
LOC96610	3	1	2	1	3	2	2	1
LOH12CR1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LOH12CR2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LONP1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
LONP2	7	4	12	4	12	7	7.66666666666667	4.04145188432738
LONRF1	0	3	4	0	4	3	2.33333333333333	2.08166599946613
LONRF2	1	2	2	1	2	2	1.66666666666667	0.577350269189626
LONRF3	0	0	0	0	0	0	0	0
LOX	65	70	117	65	117	70	84	28.6879765755621
LOXL1	3	5	2	2	5	3	3.33333333333333	1.52752523165195
LOXL1-AS1	1	2	2	1	2	2	1.66666666666667	0.577350269189626
LOXL2	31	49	102	31	102	49	60.6666666666667	36.909799963334
LOXL3	0	0	0	0	0	0	0	0
LOXL4	0	1	3	0	3	1	1.33333333333333	1.52752523165195
LPAL2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LPAR1	5	3	9	3	9	5	5.66666666666667	3.05505046330389
LPAR2	0	0	0	0	0	0	0	0
LPAR3	0	0	0	0	0	0	0	0
LPAR4	0	0	0	0	0	0	0	0
LPAR5	0	0	0	0	0	0	0	0
LPAR6	2	3	5	2	5	3	3.33333333333333	1.52752523165195
LPCAT1	1	2	0	0	2	1	1	1
LPCAT2	4	8	16	4	16	8	9.33333333333333	6.11010092660779
LPCAT3	0	1	2	0	2	1	1	1
LPCAT4	1	0	5	0	5	1	2	2.64575131106459
LPGAT1	4	3	13	3	13	4	6.66666666666667	5.5075705472861
LPHN1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LPHN2	1	1	4	1	4	1	2	1.73205080756888
LPHN3	0	0	0	0	0	0	0	0
LPIN1	2	7	13	2	13	7	7.33333333333333	5.5075705472861
LPIN2	5	3	19	3	19	5	9	8.71779788708135
LPIN3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LPL	4	1	0	0	4	1	1.66666666666667	2.08166599946613
LPO	0	0	0	0	0	0	0	0
LPP	18	36	52	18	52	36	35.3333333333333	17.0098010962308
LPP-AS2	0	0	0	0	0	0	0	0
LPPR2	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LPPR4	0	0	0	0	0	0	0	0
LPPR5	0	0	0	0	0	0	0	0
LPXN	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRAT	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRBA	2	1	9	1	9	2	4	4.35889894354067
LRCH1	1	5	4	1	5	4	3.33333333333333	2.08166599946613
LRCH2	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LRCH3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
LRCH4	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRFN1	0	0	0	0	0	0	0	0
LRFN3	0	0	0	0	0	0	0	0
LRFN4	0	0	0	0	0	0	0	0
LRFN5	0	0	0	0	0	0	0	0
LRG1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LRGUK	0	0	0	0	0	0	0	0
LRIF1	5	5	10	5	10	5	6.66666666666667	2.88675134594813
LRIG1	1	3	1	1	3	1	1.66666666666667	1.15470053837925
LRIG2	2	2	8	2	8	2	4	3.46410161513775
LRIG3	1	1	1	1	1	1	1	0
LRIT3	0	0	0	0	0	0	0	0
LRMP	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRP1	14	15	36	14	36	15	21.6666666666667	12.4230967690561
LRP10	7	10	11	7	11	10	9.33333333333333	2.08166599946613
LRP11	2	3	4	2	4	3	3	1
LRP12	8	5	12	5	12	8	8.33333333333333	3.51188458428425
LRP2	0	0	0	0	0	0	0	0
LRP2BP	5	1	2	1	5	2	2.66666666666667	2.08166599946613
LRP3	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LRP4	0	0	0	0	0	0	0	0
LRP4-AS1	0	0	0	0	0	0	0	0
LRP5	1	1	0	0	1	1	0.666666666666667	0.577350269189626
LRP5L	1	1	1	1	1	1	1	0
LRP6	5	5	7	5	7	5	5.66666666666667	1.15470053837925
LRP8	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRPAP1	4	10	21	4	21	10	11.6666666666667	8.62167810425171
LRPPRC	7	8	11	7	11	8	8.66666666666667	2.08166599946613
LRR1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
LRRC1	0	1	2	0	2	1	1	1
LRRC10	0	0	0	0	0	0	0	0
LRRC14	1	2	0	0	2	1	1	1
LRRC15	2	1	0	0	2	1	1	1
LRRC16A	2	3	4	2	4	3	3	1
LRRC16B	0	0	0	0	0	0	0	0
LRRC17	43	54	80	43	80	54	59	19
LRRC19	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRRC2	1	2	5	1	5	2	2.66666666666667	2.08166599946613
LRRC20	0	0	0	0	0	0	0	0
LRRC23	1	0	0	0	1	0	0.333333333333333	0.577350269189626
LRRC25	2	1	0	0	2	1	1	1
LRRC27	4	3	8	3	8	4	5	2.64575131106459
LRRC28	0	2	5	0	5	2	2.33333333333333	2.51661147842358
LRRC29	0	0	0	0	0	0	0	0
LRRC3	1	1	3	1	3	1	1.66666666666667	1.15470053837925
LRRC3-AS1	0	0	0	0	0	0	0	0
LRRC31	0	0	0	0	0	0	0	0
LRRC32	6	4	8	4	8	6	6	2
LRRC34	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRRC36	0	0	0	0	0	0	0	0
LRRC37A11P	0	0	0	0	0	0	0	0
LRRC37A2	0	0	0	0	0	0	0	0
LRRC37A3	3	1	4	1	4	3	2.66666666666667	1.52752523165195
LRRC37A4P	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LRRC37A6P	0	0	0	0	0	0	0	0
LRRC37B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRRC37BP1	5	6	7	5	7	6	6	1
LRRC39	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRRC4	0	0	0	0	0	0	0	0
LRRC40	4	1	5	1	5	4	3.33333333333333	2.08166599946613
LRRC41	5	7	8	5	8	7	6.66666666666667	1.52752523165195
LRRC42	1	1	2	1	2	1	1.33333333333333	0.577350269189626
LRRC43	0	0	0	0	0	0	0	0
LRRC45	0	0	0	0	0	0	0	0
LRRC46	0	0	0	0	0	0	0	0
LRRC47	2	3	12	2	12	3	5.66666666666667	5.5075705472861
LRRC48	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRRC49	1	2	6	1	6	2	3	2.64575131106459
LRRC4B	0	0	0	0	0	0	0	0
LRRC4C	0	0	0	0	0	0	0	0
LRRC56	1	1	3	1	3	1	1.66666666666667	1.15470053837925
LRRC57	3	6	8	3	8	6	5.66666666666667	2.51661147842358
LRRC58	6	8	21	6	21	8	11.6666666666667	8.14452781524708
LRRC59	9	10	15	9	15	10	11.3333333333333	3.21455025366432
LRRC6	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LRRC61	0	0	0	0	0	0	0	0
LRRC66	0	0	0	0	0	0	0	0
LRRC69	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LRRC7	0	0	0	0	0	0	0	0
LRRC70	0	0	0	0	0	0	0	0
LRRC71	0	0	0	0	0	0	0	0
LRRC73	0	0	0	0	0	0	0	0
LRRC8A	1	2	7	1	7	2	3.33333333333333	3.21455025366432
LRRC8B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRRC8C	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LRRC8D	1	2	1	1	2	1	1.33333333333333	0.577350269189626
LRRC8E	1	3	0	0	3	1	1.33333333333333	1.52752523165195
LRRC9	0	0	0	0	0	0	0	0
LRRCC1	2	3	2	2	3	2	2.33333333333333	0.577350269189626
LRRD1	0	0	0	0	0	0	0	0
LRRFIP1	24	35	71	24	71	35	43.3333333333333	24.5831920899897
LRRFIP2	7	9	24	7	24	9	13.3333333333333	9.29157324317757
LRRIQ1	0	0	0	0	0	0	0	0
LRRIQ3	0	0	0	0	0	0	0	0
LRRIQ4	0	0	0	0	0	0	0	0
LRRK1	0	0	0	0	0	0	0	0
LRRK2	0	0	3	0	3	0	1	1.73205080756888
LRRN1	0	0	0	0	0	0	0	0
LRRN2	0	0	0	0	0	0	0	0
LRRN3	0	0	0	0	0	0	0	0
LRRN4	0	0	0	0	0	0	0	0
LRRN4CL	0	2	2	0	2	2	1.33333333333333	1.15470053837925
LRRTM2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
LRRTM4	0	0	0	0	0	0	0	0
LRSAM1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
LRTM1	0	0	0	0	0	0	0	0
LRTOMT	9	11	23	9	23	11	14.3333333333333	7.57187779440036
LRWD1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
LSAMP	0	0	0	0	0	0	0	0
LSG1	5	7	13	5	13	7	8.33333333333333	4.16333199893227
LSM1	5	10	14	5	14	10	9.66666666666667	4.50924975282289
LSM10	4	10	5	4	10	5	6.33333333333333	3.21455025366432
LSM11	0	0	0	0	0	0	0	0
LSM12	8	26	23	8	26	23	19	9.64365076099295
LSM14A	8	10	21	8	21	10	13	7
LSM14B	2	1	2	1	2	2	1.66666666666667	0.577350269189626
LSM2	6	6	18	6	18	6	10	6.92820323027551
LSM3	24	31	49	24	49	31	34.6666666666667	12.8970280814354
LSM4	8	12	2	2	12	8	7.33333333333333	5.03322295684717
LSM5	23	32	40	23	40	32	31.6666666666667	8.50490054811538
LSM6	11	13	12	11	13	12	12	1
LSM7	2	0	7	0	7	2	3	3.60555127546399
LSMD1	16	19	29	16	29	19	21.3333333333333	6.80685928555405
LSMEM1	0	0	4	0	4	0	1.33333333333333	2.3094010767585
LSP1	0	0	0	0	0	0	0	0
LSR	0	0	0	0	0	0	0	0
LSS	2	1	3	1	3	2	2	1
